par_id,surface,start,end,identifier,type,match,pattern

https://digitalzibaldone.net/node/p1000_1,Asia,390,394,Q48,LOC,exact,

https://digitalzibaldone.net/node/p1000_1,Roma,792,796,Q1747689,LOC,exact,

https://digitalzibaldone.net/node/p1000_1,Giuseppe Ebreo,19,33,Q134461,PER,exact,

https://digitalzibaldone.net/node/p1000_1,Ittigio,181,188,Q2424927,PER,exact,

https://digitalzibaldone.net/node/p1000_1,Ittigio,1049,1056,Q2424927,PER,exact,

https://digitalzibaldone.net/node/p1000_1,Giosef.,195,202,Q134461,PER,exact,

https://digitalzibaldone.net/node/p1000_1,Havercamp,208,217,Q3483509,PER,exact,

https://digitalzibaldone.net/node/p1000_1,Basnag.,290,297,Q56006766,PER,exact,

https://digitalzibaldone.net/node/p1000_1,Fabric.,325,332,Q61894,PER,exact,

https://digitalzibaldone.net/node/p1000_1,Fabric.,606,613,Q61894,PER,exact,

https://digitalzibaldone.net/node/p1000_1,Fabric.,825,832,Q61894,PER,exact,

https://digitalzibaldone.net/node/p1000_1,Fabric.,1064,1071,Q61894,PER,exact,

https://digitalzibaldone.net/node/p1000_1,Gioseffo,620,628,Q134461,PER,exact,

https://digitalzibaldone.net/node/p1000_1,Vespasiano,1013,1023,Q1419,PER,exact,

https://digitalzibaldone.net/node/p1000_1,Tito,1028,1032,Q1421,PER,exact,

https://digitalzibaldone.net/node/p1000_1,Tillemont,1089,1098,Q1361139,PER,exact,

https://digitalzibaldone.net/node/p1001_2,Mad. di Staël,761,774,Q123041,PER,exact,

https://digitalzibaldone.net/node/p1004_2,Numanzia,222,230,Q623407,LOC,exact,

https://digitalzibaldone.net/node/p1004_2,Numanzia,1206,1214,Q623407,LOC,exact,

https://digitalzibaldone.net/node/p1009_3,Milano,347,353,Q490,LOC,exact,

https://digitalzibaldone.net/node/p1010_1,Andrès,38,44,Q2758559,PER,exact,

https://digitalzibaldone.net/node/p1010_1,Vitto,116,121,viaf99337123,PER,exact,

https://digitalzibaldone.net/node/p1010_1,Loschi,169,175,Q97065959,PER,exact,

https://digitalzibaldone.net/node/p1010_1,Celso,253,258,Q312420,PER,exact,

https://digitalzibaldone.net/node/p1010_2,Morofio,143,150,Q99609,PER,exact,

https://digitalzibaldone.net/node/p1010_2,Andrès,293,299,Q2758559,PER,exact,

