surface,_id,par_id
Platone,https://digitalzibaldone.net/node/Q859,https://digitalzibaldone.net/node/p3000_2
Astii,https://digitalzibaldone.net/node/Q77636,https://digitalzibaldone.net/node/p3000_2
Astio,https://digitalzibaldone.net/node/Q77636,https://digitalzibaldone.net/node/p3000_2
Festo,https://digitalzibaldone.net/node/Q302723,https://digitalzibaldone.net/node/p3001_3
Forc.,https://digitalzibaldone.net/node/Q550353,https://digitalzibaldone.net/node/p3001_3
Forc.,https://digitalzibaldone.net/node/Q550353,https://digitalzibaldone.net/node/p3001_3
Livio,https://digitalzibaldone.net/node/Q2039,https://digitalzibaldone.net/node/p3001_3
Plinio,https://digitalzibaldone.net/node/Q82778,https://digitalzibaldone.net/node/p3001_3
Forc.,https://digitalzibaldone.net/node/Q550353,https://digitalzibaldone.net/node/p3001_3
Plinio,https://digitalzibaldone.net/node/Q82778,https://digitalzibaldone.net/node/p3001_3
Apollo,https://digitalzibaldone.net/node/Q37340,https://digitalzibaldone.net/node/p3001_3
Prassitele,https://digitalzibaldone.net/node/Q105290,https://digitalzibaldone.net/node/p3001_3
Plinio,https://digitalzibaldone.net/node/Q82778,https://digitalzibaldone.net/node/p3001_3
Seneca,https://digitalzibaldone.net/node/Q2054,https://digitalzibaldone.net/node/p3004_1
Oraz.,https://digitalzibaldone.net/node/Q6197,https://digitalzibaldone.net/node/p3004_1
Seneca,https://digitalzibaldone.net/node/Q2054,https://digitalzibaldone.net/node/p3004_1
Claudiano,https://digitalzibaldone.net/node/Q205947,https://digitalzibaldone.net/node/p3004_1
Cang.,https://digitalzibaldone.net/node/Q442240,https://digitalzibaldone.net/node/p3005_1
Salvini,https://digitalzibaldone.net/node/Q349065,https://digitalzibaldone.net/node/p3005_2
Ariosto,https://digitalzibaldone.net/node/Q48900,https://digitalzibaldone.net/node/p3008_1
Perticari,https://digitalzibaldone.net/node/Q3769747,https://digitalzibaldone.net/node/p3010_1
Dante,https://digitalzibaldone.net/node/Q1067,https://digitalzibaldone.net/node/p3010_1
Dante,https://digitalzibaldone.net/node/Q1067,https://digitalzibaldone.net/node/p3010_1
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p3010_1
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p3010_1
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p3010_1
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p3010_1
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p3010_1
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p3010_1
Dante,https://digitalzibaldone.net/node/Q1067,https://digitalzibaldone.net/node/p3010_1
Saffo,https://digitalzibaldone.net/node/Q17892,https://digitalzibaldone.net/node/p3010_1
Teocrito,https://digitalzibaldone.net/node/Q219484,https://digitalzibaldone.net/node/p3010_1
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p3010_1
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p3010_1
Dante,https://digitalzibaldone.net/node/Q1067,https://digitalzibaldone.net/node/p3010_1
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p3010_1
Wetstenio,https://digitalzibaldone.net/node/Q55996246,https://digitalzibaldone.net/node/p3010_1
Dante,https://digitalzibaldone.net/node/Q1067,https://digitalzibaldone.net/node/p3010_1
Fazio degli Uberti,https://digitalzibaldone.net/node/Q1399161,https://digitalzibaldone.net/node/p3010_1
Federico Frezzi,https://digitalzibaldone.net/node/Q2034402,https://digitalzibaldone.net/node/p3010_1
Varano,https://digitalzibaldone.net/node/Q3611259,https://digitalzibaldone.net/node/p3010_1
Petrarca,https://digitalzibaldone.net/node/Q1401,https://digitalzibaldone.net/node/p3010_1
Dante,https://digitalzibaldone.net/node/Q1067,https://digitalzibaldone.net/node/p3010_1
M. Dow,https://digitalzibaldone.net/node/Q2833104,https://digitalzibaldone.net/node/p3017_1
Filippo Sassetti,https://digitalzibaldone.net/node/Q1413989,https://digitalzibaldone.net/node/p3018_1
Luigi Alamanni,https://digitalzibaldone.net/node/Q104145408,https://digitalzibaldone.net/node/p3018_1
Filippo Sassetti,https://digitalzibaldone.net/node/Q1413989,https://digitalzibaldone.net/node/p3018_1
Tiraboschi,https://digitalzibaldone.net/node/Q978614,https://digitalzibaldone.net/node/p3018_1
Sassetti,https://digitalzibaldone.net/node/Q1413989,https://digitalzibaldone.net/node/p3018_1
P. Paolino da S. Bartolommeo,https://digitalzibaldone.net/node/Q154827,https://digitalzibaldone.net/node/p3018_1
Cang.,https://digitalzibaldone.net/node/Q442240,https://digitalzibaldone.net/node/p3018_2
Stazio,https://digitalzibaldone.net/node/Q243203,https://digitalzibaldone.net/node/p3020_2
Fedro,https://digitalzibaldone.net/node/Q52166,https://digitalzibaldone.net/node/p3020_2
