surface,_id,par_id
Malta,https://www.wikidata.org/wiki/Q193896,https://digitalzibaldone.net/node/p3342_1
Roma,https://www.wikidata.org/wiki/Q1747689,https://digitalzibaldone.net/node/p3344_1
Germania,https://www.wikidata.org/wiki/Q183,https://digitalzibaldone.net/node/p3347_1
europa,https://www.wikidata.org/wiki/Q46,https://digitalzibaldone.net/node/p3347_1
Germania,https://www.wikidata.org/wiki/Q183,https://digitalzibaldone.net/node/p3347_1
mezzogiorno d'Europa,https://www.wikidata.org/wiki/Q27449,https://digitalzibaldone.net/node/p3347_1
San-Marino,https://www.wikidata.org/wiki/Q238,https://digitalzibaldone.net/node/p3347_1
Germania,https://www.wikidata.org/wiki/Q183,https://digitalzibaldone.net/node/p3347_1
grecia,https://www.wikidata.org/wiki/Q11772,https://digitalzibaldone.net/node/p3355_1
Louisiane,https://www.wikidata.org/wiki/Q658054,https://digitalzibaldone.net/node/p3365_1
France,https://www.wikidata.org/wiki/Q142,https://digitalzibaldone.net/node/p3365_1
Cirey,https://www.wikidata.org/wiki/Q817024,https://digitalzibaldone.net/node/p3365_1
europa,https://www.wikidata.org/wiki/Q46,https://digitalzibaldone.net/node/p3366_1
Spagna,https://www.wikidata.org/wiki/Q29,https://digitalzibaldone.net/node/p3366_1
Gallie,https://www.wikidata.org/wiki/Q38060,https://digitalzibaldone.net/node/p3366_1
Roma,https://www.wikidata.org/wiki/Q1747689,https://digitalzibaldone.net/node/p3366_1
Le Gallie,https://www.wikidata.org/wiki/Q38060,https://digitalzibaldone.net/node/p3366_1
Germania,https://www.wikidata.org/wiki/Q183,https://digitalzibaldone.net/node/p3366_1
impero latino,https://www.wikidata.org/wiki/Q2277,https://digitalzibaldone.net/node/p3366_1
Germania,https://www.wikidata.org/wiki/Q183,https://digitalzibaldone.net/node/p3366_1
impero romano,https://www.wikidata.org/wiki/Q2277,https://digitalzibaldone.net/node/p3366_1
Germania,https://www.wikidata.org/wiki/Q183,https://digitalzibaldone.net/node/p3366_1
italia,https://www.wikidata.org/wiki/Q38,https://digitalzibaldone.net/node/p3366_1
Francia,https://www.wikidata.org/wiki/Q142,https://digitalzibaldone.net/node/p3366_1
Spagna,https://www.wikidata.org/wiki/Q29,https://digitalzibaldone.net/node/p3366_1
Germania,https://www.wikidata.org/wiki/Q183,https://digitalzibaldone.net/node/p3366_1
Spagna,https://www.wikidata.org/wiki/Q29,https://digitalzibaldone.net/node/p3366_1
le Gallie,https://www.wikidata.org/wiki/Q38060,https://digitalzibaldone.net/node/p3366_1
europa,https://www.wikidata.org/wiki/Q46,https://digitalzibaldone.net/node/p3366_1
Ispagna,https://www.wikidata.org/wiki/Q29,https://digitalzibaldone.net/node/p3366_1
Francia,https://www.wikidata.org/wiki/Q142,https://digitalzibaldone.net/node/p3366_1
inghilterra,https://www.wikidata.org/wiki/Q21,https://digitalzibaldone.net/node/p3366_1
Inghilterra,https://www.wikidata.org/wiki/Q21,https://digitalzibaldone.net/node/p3366_1
Asia,https://www.wikidata.org/wiki/Q48,https://digitalzibaldone.net/node/p3366_1
grecia,https://www.wikidata.org/wiki/Q41,https://digitalzibaldone.net/node/p3366_1
italia,https://www.wikidata.org/wiki/Q38,https://digitalzibaldone.net/node/p3366_1
impero latino,https://www.wikidata.org/wiki/Q2277,https://digitalzibaldone.net/node/p3366_1
inghilterra,https://www.wikidata.org/wiki/Q21,https://digitalzibaldone.net/node/p3366_1
Gallie,https://www.wikidata.org/wiki/Q38060,https://digitalzibaldone.net/node/p3366_1
Gallie,https://www.wikidata.org/wiki/Q38060,https://digitalzibaldone.net/node/p3366_1
italia,https://www.wikidata.org/wiki/Q38,https://digitalzibaldone.net/node/p3366_1
Ispagna,https://www.wikidata.org/wiki/Q29,https://digitalzibaldone.net/node/p3366_1
italia,https://www.wikidata.org/wiki/Q38,https://digitalzibaldone.net/node/p3366_1
Francia,https://www.wikidata.org/wiki/Q142,https://digitalzibaldone.net/node/p3366_1
ispagna,https://www.wikidata.org/wiki/Q29,https://digitalzibaldone.net/node/p3366_1
Germania,https://www.wikidata.org/wiki/Q183,https://digitalzibaldone.net/node/p3366_1
Italia,https://www.wikidata.org/wiki/Q38,https://digitalzibaldone.net/node/p3366_1
Francia,https://www.wikidata.org/wiki/Q142,https://digitalzibaldone.net/node/p3366_1
Spagna,https://www.wikidata.org/wiki/Q29,https://digitalzibaldone.net/node/p3366_1
inghilterra,https://www.wikidata.org/wiki/Q21,https://digitalzibaldone.net/node/p3366_1
inghilterra,https://www.wikidata.org/wiki/Q21,https://digitalzibaldone.net/node/p3366_1
Germania,https://www.wikidata.org/wiki/Q183,https://digitalzibaldone.net/node/p3366_1
Inghilterra,https://www.wikidata.org/wiki/Q21,https://digitalzibaldone.net/node/p3366_1
europa,https://www.wikidata.org/wiki/Q46,https://digitalzibaldone.net/node/p3366_1
impero romano,https://www.wikidata.org/wiki/Q2277,https://digitalzibaldone.net/node/p3366_1
Roma,https://www.wikidata.org/wiki/Q1747689,https://digitalzibaldone.net/node/p3366_1
Lazio,https://www.wikidata.org/wiki/Q1048669,https://digitalzibaldone.net/node/p3366_1
Grecia,https://www.wikidata.org/wiki/Q11772,https://digitalzibaldone.net/node/p3366_1
europa,https://www.wikidata.org/wiki/Q46,https://digitalzibaldone.net/node/p3366_1
Roma,https://www.wikidata.org/wiki/Q1747689,https://digitalzibaldone.net/node/p3366_1
Germania,https://www.wikidata.org/wiki/Q183,https://digitalzibaldone.net/node/p3366_1
Inghilterra,https://www.wikidata.org/wiki/Q21,https://digitalzibaldone.net/node/p3372_1
Scozia,https://www.wikidata.org/wiki/Q22,https://digitalzibaldone.net/node/p3372_1
Irlanda,https://www.wikidata.org/wiki/Q27,https://digitalzibaldone.net/node/p3372_1
Cordova,https://www.wikidata.org/wiki/Q5818,https://digitalzibaldone.net/node/p3372_2
Spagna,https://www.wikidata.org/wiki/Q29,https://digitalzibaldone.net/node/p3372_2
