surface,_id,par_id
Sofista,Q471715,https://digitalzibaldone.net/node/p3000_2
Forcell.,Q15851274,https://digitalzibaldone.net/node/p3001_1
Gloss.,Q1240983,https://digitalzibaldone.net/node/p3001_1
la Crusca,Q4015911,https://digitalzibaldone.net/node/p3001_2
Forcell.,Q15851274,https://digitalzibaldone.net/node/p3001_2
Glossar.,Q1240983,https://digitalzibaldone.net/node/p3001_2
Forcell.,Q15851274,https://digitalzibaldone.net/node/p3001_3
Forc.,Q15851274,https://digitalzibaldone.net/node/p3001_3
Forc.,Q15851274,https://digitalzibaldone.net/node/p3001_3
Forcell.,Q15851274,https://digitalzibaldone.net/node/p3001_3
Forcell.,Q15851274,https://digitalzibaldone.net/node/p3001_3
Forcell.,Q15851274,https://digitalzibaldone.net/node/p3001_3
Apollo Saurottono,Q619265,https://digitalzibaldone.net/node/p3001_3
Forc.,Q15851274,https://digitalzibaldone.net/node/p3001_3
Forc.,Q15851274,https://digitalzibaldone.net/node/p3004_1
Sat.,Q1226154,https://digitalzibaldone.net/node/p3004_1
Gloss.,Q1240983,https://digitalzibaldone.net/node/p3005_1
la Crusca,Q4015911,https://digitalzibaldone.net/node/p3005_1
il Forc.,Q15851274,https://digitalzibaldone.net/node/p3005_1
Gloss.,Q1240983,https://digitalzibaldone.net/node/p3005_1
Crus.,Q4015911,https://digitalzibaldone.net/node/p3005_2
Crusca,Q4015911,https://digitalzibaldone.net/node/p3005_2
Gloss.,Q1240983,https://digitalzibaldone.net/node/p3005_2
Forcellini,Q15851274,https://digitalzibaldone.net/node/p3006_1
Gloss.,Q1240983,https://digitalzibaldone.net/node/p3006_1
la Crusca,Q4015911,https://digitalzibaldone.net/node/p3008_1
Apologia,viaf1849165326510516290005,https://digitalzibaldone.net/node/p3010_1
Laerz.,Q1282359,https://digitalzibaldone.net/node/p3010_1
Quadriregio,viaf202979076,https://digitalzibaldone.net/node/p3010_1
"l'Encyclop. méthodique, Grammaire et littérature, article Samskret",Q1340217,https://digitalzibaldone.net/node/p3017_1
Orazione,zibbibl068,https://digitalzibaldone.net/node/p3018_1
Prose fiorentine,viaf9836658,https://digitalzibaldone.net/node/p3018_1
Storia della letterat. ital.,viaf202963757,https://digitalzibaldone.net/node/p3018_1
lettere,Q19135842,https://digitalzibaldone.net/node/p3018_1
Bibliot. ital.,zibbibl147,https://digitalzibaldone.net/node/p3018_1
Gloss.,Q1240983,https://digitalzibaldone.net/node/p3018_2
Forcell.,Q15851274,https://digitalzibaldone.net/node/p3020_2
Forcell.,Q15851274,https://digitalzibaldone.net/node/p3023_1
Gloss.,Q1240983,https://digitalzibaldone.net/node/p3023_1
Forcell.,Q15851274,https://digitalzibaldone.net/node/p3023_1
Gloss.,Q1240983,https://digitalzibaldone.net/node/p3023_1
Vecchiezza,Q1051232,https://digitalzibaldone.net/node/p3027_2
p. 2893. sqq.,seq179,https://digitalzibaldone.net/node/p3032_1
Glossario,Q1240983,https://digitalzibaldone.net/node/p3032_1
il Glossario,Q1240983,https://digitalzibaldone.net/node/p3032_1
p. 2894. e seg.,seq180,https://digitalzibaldone.net/node/p3032_2
p. 3352-60.,seq181,https://digitalzibaldone.net/node/p3032_2
cod. 158.,Q20552068,https://digitalzibaldone.net/node/p3041_1
Viaggio d'Anacar.,Q4010942,https://digitalzibaldone.net/node/p3041_1
B. G.,Q20552068,https://digitalzibaldone.net/node/p3044_1
Empedocle,Q20552068,https://digitalzibaldone.net/node/p3044_1
Empedocle,viaf175441787,https://digitalzibaldone.net/node/p3044_1
pp. 1411. sgg.,seq182,https://digitalzibaldone.net/node/p3047_1
Glossar.,Q1240983,https://digitalzibaldone.net/node/p3052_1
Gloss.,Q1240983,https://digitalzibaldone.net/node/p3052_1
Forcell.,Q15851274,https://digitalzibaldone.net/node/p3053_1
il Glossar.,Q1240983,https://digitalzibaldone.net/node/p3053_1
Gloss.,Q1240983,https://digitalzibaldone.net/node/p3054_1
Phaedr.,Q3738146,https://digitalzibaldone.net/node/p3055_1
Sermone Quod nemo laedatur nisi a seipso,viaf276125522,https://digitalzibaldone.net/node/p3057_1
Crusca,Q4015911,https://digitalzibaldone.net/node/p3057_2
Nov. 17,Q16438,https://digitalzibaldone.net/node/p3057_2
la Crusca,Q4015911,https://digitalzibaldone.net/node/p3057_2
Giornale di Milano,Q3099810,https://digitalzibaldone.net/node/p3058_1
Forcell.,Q15851274,https://digitalzibaldone.net/node/p3060_2
Forcell.,Q15851274,https://digitalzibaldone.net/node/p3060_3
Fedro,Q3738146,https://digitalzibaldone.net/node/p3060_3
ad fam.,Q428132,https://digitalzibaldone.net/node/p3060_3
Forcell.,Q15851274,https://digitalzibaldone.net/node/p3060_4
Fab.,Q3738146,https://digitalzibaldone.net/node/p3062_2
Trist.,Q287323,https://digitalzibaldone.net/node/p3062_2
Fedro,Q3738146,https://digitalzibaldone.net/node/p3062_2
Forcell.,Q15851274,https://digitalzibaldone.net/node/p3063_1
Forcell.,Q15851274,https://digitalzibaldone.net/node/p3064_2
il Glossario,Q1240983,https://digitalzibaldone.net/node/p3064_2
Novelle,Q555699,https://digitalzibaldone.net/node/p3066_1
Stor. della letterat.,viaf3844152684015723430008,https://digitalzibaldone.net/node/p3066_1
Vita,zibbibl111,https://digitalzibaldone.net/node/p3066_1
Orazione,zibbibl069,https://digitalzibaldone.net/node/p3066_1
prose fiorentine,viaf9836658,https://digitalzibaldone.net/node/p3066_1
Raccolta di prose ad uso delle regie scuole,zibbibl075,https://digitalzibaldone.net/node/p3066_1
prose fior.,viaf9836658,https://digitalzibaldone.net/node/p3066_1
Orazioni,viaf175457986,https://digitalzibaldone.net/node/p3066_1
La Canzone de' Gigli,viaf174717093,https://digitalzibaldone.net/node/p3066_1
il Commento alla medesima,viaf202970742,https://digitalzibaldone.net/node/p3066_1
Canzone,viaf2565277,https://digitalzibaldone.net/node/p3066_1
Vita dell'Alamanni,viaf63995699,https://digitalzibaldone.net/node/p3066_1
Orazione delle lodi della lingua toscana,viaf205792742,https://digitalzibaldone.net/node/p3070_1
Raccolta,zibbibl075,https://digitalzibaldone.net/node/p3070_1
Gramatica,viaf205792742,https://digitalzibaldone.net/node/p3070_1
de Rep.,Q656161,https://digitalzibaldone.net/node/p3071_1
Diz.,Q19164497,https://digitalzibaldone.net/node/p3071_1
il Glossar.,Q1240983,https://digitalzibaldone.net/node/p3071_1
nell'Omil. o sermone (λόγος) περὶ εὐχαριστίας,viaf204611850,https://digitalzibaldone.net/node/p3071_2
Forcell.,Q15851274,https://digitalzibaldone.net/node/p3071_2
Gloss. lat.,Q1240983,https://digitalzibaldone.net/node/p3071_2
il greco,Q12900086,https://digitalzibaldone.net/node/p3071_2
lo Scapula,viaf182607198,https://digitalzibaldone.net/node/p3071_2
Orazione in morte del Gran Duca di Toscana Cosimo primo.,zibbibl070,https://digitalzibaldone.net/node/p3072_3
ib.,zibbibl070,https://digitalzibaldone.net/node/p3073_1
de repub.,Q656161,https://digitalzibaldone.net/node/p3073_2
Forcell.,Q15851274,https://digitalzibaldone.net/node/p3073_2
Gloss.,Q1240983,https://digitalzibaldone.net/node/p3073_3
