par_id,surface,start,end,identifier,type,match,pattern
https://digitalzibaldone.net/node/p2700_1,Apologia di Dante,1541,1558,viaf1849165326510516290005,WORK,exact,
https://digitalzibaldone.net/node/p2703_1,Richelet,809,817,Q1236889,PER,exact,
https://digitalzibaldone.net/node/p2703_1,Saggio sugli errori popolari,156,184,viaf6764165271301010690009,WORK,exact,
https://digitalzibaldone.net/node/p2703_1,la Crusca,969,978,Q4015911,WORK,exact,
https://digitalzibaldone.net/node/p2703_1,la Crusca,1282,1291,Q4015911,WORK,exact,
https://digitalzibaldone.net/node/p2703_1,Forcellini,1303,1313,Q15851274,WORK,exact,
https://digitalzibaldone.net/node/p2705_1,Apologia di Dante,137,154,viaf1849165326510516290005,WORK,exact,
https://digitalzibaldone.net/node/p2705_2,Degli scrittori del 300,43,66,viaf34613848,WORK,exact,
https://digitalzibaldone.net/node/p2705_3,Perticari,589,598,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2705_3,Monti,623,628,Q723643,PER,exact,
https://digitalzibaldone.net/node/p2705_3,Locke,2172,2177,Q9353,PER,exact,
https://digitalzibaldone.net/node/p2705_3,Trattati,577,585,viaf1849165326510516290005,WORK,exact,
https://digitalzibaldone.net/node/p2705_3,Proposta,611,619,Q42194678,WORK,exact,
https://digitalzibaldone.net/node/p2709_1,Wieland,1309,1316,Q154010,PER,exact,
https://digitalzibaldone.net/node/p2715_1,Degli Scritt. del 300,11,32,viaf34613848,WORK,exact,
https://digitalzibaldone.net/node/p2715_2,Perticari,147,156,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2715_2,Degli Scritt. del 300,157,178,viaf34613848,WORK,exact,
https://digitalzibaldone.net/node/p2715_2,Apologia di Dante,259,276,viaf1849165326510516290005,WORK,exact,
https://digitalzibaldone.net/node/p2717_1,Fedro,262,267,Q554535,PER,exact,
https://digitalzibaldone.net/node/p2717_1,Fedro,398,403,Q554535,PER,exact,
https://digitalzibaldone.net/node/p2717_1,Dialogo,376,383,Q555862,WORK,exact,
https://digitalzibaldone.net/node/p2717_1,Dialoghi,757,765,Q3026037,WORK,exact,
https://digitalzibaldone.net/node/p2718_1,italia,1892,1898,Q38,LOC,exact,
https://digitalzibaldone.net/node/p2718_1,Perticari,2199,2208,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2718_1,Degli Scritt. del 300.,149,171,viaf34613848,WORK,exact,
https://digitalzibaldone.net/node/p2721_1,Perticari,31,40,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2721_1,Degli Scritt. del Trecento,41,67,viaf34613848,WORK,exact,
https://digitalzibaldone.net/node/p2721_4,de finibus,224,234,Q1180629,WORK,exact,
https://digitalzibaldone.net/node/p2722_1,Lezioni sulle Doti di una colta favella,1194,1233,viaf90228090,WORK,exact,
https://digitalzibaldone.net/node/p2722_1,Lezioni,1419,1426,viaf90228090,WORK,exact,
https://digitalzibaldone.net/node/p2722_1,Lezioni,1563,1570,viaf90228090,WORK,exact,
https://digitalzibaldone.net/node/p2728_1,Giordani,1766,1774,Q1092339,PER,exact,
https://digitalzibaldone.net/node/p2728_1,Buffon,1812,1818,Q229264,PER,exact,
https://digitalzibaldone.net/node/p2728_1,Buffon,2656,2662,Q229264,PER,exact,
https://digitalzibaldone.net/node/p2728_1,Buffon,3153,3159,Q229264,PER,exact,
https://digitalzibaldone.net/node/p2728_1,Bailly,2201,2207,Q1685301,PER,exact,
https://digitalzibaldone.net/node/p2728_1,Vita del Cardinale Pallavicino,1776,1806,viaf4899893,WORK,exact,
https://digitalzibaldone.net/node/p2728_1,Astronomia,2213,2223,viaf1934165326510716290002,WORK,exact,
https://digitalzibaldone.net/node/p2731_1,Ven.,208,212,Q641,LOC,exact,
https://digitalzibaldone.net/node/p2731_1,Dial.i,201,207,viaf185573955,WORK,exact,
https://digitalzibaldone.net/node/p2731_2,impero,493,499,Q2277,LOC,exact,
https://digitalzibaldone.net/node/p2731_2,impero,2104,2110,Q2277,LOC,exact,
https://digitalzibaldone.net/node/p2731_2,Vite degli Augusti,603,621,Q722678,WORK,exact,
https://digitalzibaldone.net/node/p2734_1,Pad.,363,367,Q617,LOC,exact,
https://digitalzibaldone.net/node/p2734_1,una Dissert.,297,309,zibbibl022,WORK,exact,
https://digitalzibaldone.net/node/p2734_1,opp.,276,280,zibbibl134,WORK,exact,
https://digitalzibaldone.net/node/p2734_1,opp.,332,336,zibbibl134,WORK,exact,
https://digitalzibaldone.net/node/p2734_1,le Croniche,382,393,Q42187924,WORK,exact,
https://digitalzibaldone.net/node/p2734_1,Cronica,948,955,viaf2823954,WORK,exact,
https://digitalzibaldone.net/node/p2735_1,Orat. pro Archia poeta,380,402,Q3922215,WORK,exact,
https://digitalzibaldone.net/node/p2738_1,René,357,361,Q1097238,WORK,exact,
https://digitalzibaldone.net/node/p2739_1,Rom.,220,224,Q220,LOC,exact,
https://digitalzibaldone.net/node/p2739_1,de Repub.,187,196,Q656161,WORK,exact,
https://digitalzibaldone.net/node/p2740_1,Plinio,4180,4186,Q82778,PER,exact,
https://digitalzibaldone.net/node/p2740_1,Simonide,4317,4325,Q273003,PER,exact,
https://digitalzibaldone.net/node/p2740_1,Palamede,4198,4206,Q252387,PER,exact,
https://digitalzibaldone.net/node/p2747_1,China,2979,2984,Q29520,LOC,exact,
https://digitalzibaldone.net/node/p2757_1,Venet.,282,288,Q641,LOC,exact,
https://digitalzibaldone.net/node/p2757_1,Cassiod.,269,277,Q192365,PER,exact,
https://digitalzibaldone.net/node/p2757_1,la Crusca,52,61,Q4015911,WORK,exact,
https://digitalzibaldone.net/node/p2757_1,De artibus ac disciplinis liberalium litterarum.,192,240,Q3799231,WORK,exact,
https://digitalzibaldone.net/node/p2757_1,il Forcell.,581,592,Q15851274,WORK,exact,
https://digitalzibaldone.net/node/p2757_1,Il Glossario,608,620,Q1240983,WORK,exact,
https://digitalzibaldone.net/node/p2757_2,Il Torto e 'l diritto del non si può,551,587,viaf40159474182827661590,WORK,exact,
https://digitalzibaldone.net/node/p2759_2,Eneide,540,546,Q60220,WORK,exact,
https://digitalzibaldone.net/node/p2762_1,Omero,1912,1917,Q6691,PER,exact,
https://digitalzibaldone.net/node/p2762_1,Omero,1968,1973,Q6691,PER,exact,
https://digitalzibaldone.net/node/p2762_1,Omero,2096,2101,Q6691,PER,exact,
https://digitalzibaldone.net/node/p2762_1,Omero,2695,2700,Q6691,PER,exact,
https://digitalzibaldone.net/node/p2762_1,Virgilio,2338,2346,Q1398,PER,exact,
https://digitalzibaldone.net/node/p2762_1,Enea,1814,1818,Q82732,PER,exact,
https://digitalzibaldone.net/node/p2762_1,Enea,2375,2379,Q82732,PER,exact,
https://digitalzibaldone.net/node/p2762_1,Didone,2529,2535,Q905162,PER,exact,
https://digitalzibaldone.net/node/p2762_1,Chateaubriand,2587,2600,Q49767,PER,exact,
https://digitalzibaldone.net/node/p2762_1,Luciano,2715,2722,Q177847,PER,exact,
https://digitalzibaldone.net/node/p2762_1,Martiri,2605,2612,Q3233736,WORK,exact,
https://digitalzibaldone.net/node/p2767_1,Omero,2262,2267,Q6691,PER,exact,
https://digitalzibaldone.net/node/p2767_1,Achille,2298,2305,Q41746,PER,exact,
https://digitalzibaldone.net/node/p2767_1,Achille,2523,2530,Q41746,PER,exact,
https://digitalzibaldone.net/node/p2771_3,Senofon.,2548,2556,Q129772,PER,exact,
https://digitalzibaldone.net/node/p2771_3,Simpos.,2557,2564,Q278658,WORK,exact,
https://digitalzibaldone.net/node/p2774_1,Gell.,634,639,Q294800,PER,exact,
https://digitalzibaldone.net/node/p2776_1,Scap.,849,854,Q3179685,PER,exact,
https://digitalzibaldone.net/node/p2776_1,Cic.,2113,2117,Q1541,PER,exact,
https://digitalzibaldone.net/node/p2778_1,Ammon.,1690,1696,Q695923,PER,exact,
https://digitalzibaldone.net/node/p2778_1,Plat.,1742,1747,Q859,PER,exact,
https://digitalzibaldone.net/node/p2778_1,Demost.,1753,1760,Q117253,PER,exact,
