id,surface_form,start_pos,end_pos,type
https://digitalzibaldone.net/node/p2700_1,Dante,1553,1558,persona
https://digitalzibaldone.net/node/p2705_1,Dante,149,154,persona
https://digitalzibaldone.net/node/p2709_1,Storia,1318,1324,opera
https://digitalzibaldone.net/node/p2712_1,filosofia moderna,16,33,opera
https://digitalzibaldone.net/node/p2712_1,filosofia moderna,503,520,opera
https://digitalzibaldone.net/node/p2715_2,Dante,271,276,persona
https://digitalzibaldone.net/node/p2717_1,Fedro,262,267,opera
https://digitalzibaldone.net/node/p2734_1,Storia Ecclesiastica,10,30,opera
https://digitalzibaldone.net/node/p2738_1,René,357,361,persona
https://digitalzibaldone.net/node/p2739_1,Forcell.,45,53,opera
https://digitalzibaldone.net/node/p2755_1,scrittore italiano,406,424,persona
https://digitalzibaldone.net/node/p2755_1,Corpus Domini,1298,1311,opera
https://digitalzibaldone.net/node/p2757_1,Forcellini,143,153,opera
https://digitalzibaldone.net/node/p2757_1,Albinus,418,425,persona
https://digitalzibaldone.net/node/p2771_1,vol. 1,256,262,opera
https://digitalzibaldone.net/node/p2775_1,Scapula,734,741,opera
https://digitalzibaldone.net/node/p2776_1,Scap.,849,854,opera
https://digitalzibaldone.net/node/p2779_1,teoria de' continuativi,79,102,opera
https://digitalzibaldone.net/node/p2779_2,Pad.,487,491,persona
https://digitalzibaldone.net/node/p2783_2,sascrita,211,219,opera
https://digitalzibaldone.net/node/p2786_1,Scapula,406,413,opera
https://digitalzibaldone.net/node/p2786_1,Forcell.,548,556,opera
https://digitalzibaldone.net/node/p2788_1,Tusano,359,365,opera
https://digitalzibaldone.net/node/p2788_1,Etym.,398,403,opera
https://digitalzibaldone.net/node/p2790_1,Forcell.,43,51,opera
https://digitalzibaldone.net/node/p2791_1,autore,219,225,persona
https://digitalzibaldone.net/node/p2792_1,Forcell.,233,241,opera
https://digitalzibaldone.net/node/p2792_1,Scapula,557,564,opera
https://digitalzibaldone.net/node/p2792_2,Forcellini,321,331,opera
https://digitalzibaldone.net/node/p2804_1,poeta,1141,1146,persona
https://digitalzibaldone.net/node/p2804_1,poeta,1744,1749,persona
https://digitalzibaldone.net/node/p2808_1,commedie,277,285,opera
https://digitalzibaldone.net/node/p2809_1,Forcell.,233,241,opera
https://digitalzibaldone.net/node/p2809_1,Papa Leone X,1127,1139,persona
https://digitalzibaldone.net/node/p2809_1,Venez.,1349,1355,opera
https://digitalzibaldone.net/node/p2818_1,Forc.,687,692,opera
https://digitalzibaldone.net/node/p2818_1,Beto,696,700,persona
https://digitalzibaldone.net/node/p2821_2,Forcellini,323,333,opera
https://digitalzibaldone.net/node/p2821_3,Forcell.,1172,1180,opera
https://digitalzibaldone.net/node/p2823_1,mss.,722,726,opera
https://digitalzibaldone.net/node/p2823_1,Forcellini,1004,1014,opera
https://digitalzibaldone.net/node/p2825_1,Codicibus,71,80,opera
https://digitalzibaldone.net/node/p2825_1,Commentarios in Evangelia,282,307,opera
https://digitalzibaldone.net/node/p2825_2,Etimologico,47,58,opera
https://digitalzibaldone.net/node/p2833_1,città,878,883,luogo
https://digitalzibaldone.net/node/p2833_1,nazione,886,893,luogo
https://digitalzibaldone.net/node/p2836_1,Urbis,45,50,luogo
https://digitalzibaldone.net/node/p2841_1,Forc.,405,410,opera
https://digitalzibaldone.net/node/p2841_1,Forc.,683,688,opera
https://digitalzibaldone.net/node/p2841_1,Forcellini,699,709,opera
https://digitalzibaldone.net/node/p2842_1,Hymno de vitae aeternae gaudiis,243,274,opera
https://digitalzibaldone.net/node/p2852_1,Settanta,235,243,persona
https://digitalzibaldone.net/node/p2852_1,Settanta,922,930,persona
https://digitalzibaldone.net/node/p2852_1,Settanta,1816,1824,persona
https://digitalzibaldone.net/node/p2864_3,Forcell.,348,356,opera
https://digitalzibaldone.net/node/p2865_1,Canz.,199,204,opera
https://digitalzibaldone.net/node/p2865_2,Forcell.,40,48,opera
https://digitalzibaldone.net/node/p2866_1,Vocabolarietto,68,82,opera
https://digitalzibaldone.net/node/p2869_1,Dante,1727,1732,persona
https://digitalzibaldone.net/node/p2879_2,Ηρακλέα,366,373,persona
https://digitalzibaldone.net/node/p2879_2,Aργος,419,424,luogo
https://digitalzibaldone.net/node/p2879_2,Iταλίᾳ,478,484,luogo
https://digitalzibaldone.net/node/p2879_2,Σικελίαν,569,577,luogo
https://digitalzibaldone.net/node/p2879_2,ἑλλάδος,737,744,luogo
https://digitalzibaldone.net/node/p2881_1,Dionigi,155,162,persona
https://digitalzibaldone.net/node/p2884_1,Canz.,747,752,opera
https://digitalzibaldone.net/node/p2889_2,Forcell.,714,722,opera
https://digitalzibaldone.net/node/p2895_1,Forcellini,374,384,persona
https://digitalzibaldone.net/node/p2895_1,Dante,834,839,persona
https://digitalzibaldone.net/node/p2899_2,uomo,920,924,persona
https://digitalzibaldone.net/node/p2918_1,Forcell.,848,856,opera
https://digitalzibaldone.net/node/p2919_2,Scapula,483,490,opera
https://digitalzibaldone.net/node/p2919_2,Corinto,510,517,luogo
https://digitalzibaldone.net/node/p2919_2,Fedro,603,608,persona
https://digitalzibaldone.net/node/p2919_2,Scapula,737,744,opera
https://digitalzibaldone.net/node/p2919_2,Synes.,1081,1087,opera
https://digitalzibaldone.net/node/p2919_2,Scapula,1168,1175,opera
https://digitalzibaldone.net/node/p2919_2,Fedro,1309,1314,persona
https://digitalzibaldone.net/node/p2923_3,Attica,414,420,opera
https://digitalzibaldone.net/node/p2923_3,Terentia,462,470,persona
https://digitalzibaldone.net/node/p2923_3,Forcell.,552,560,opera
https://digitalzibaldone.net/node/p2925_1,Forcellini,138,148,opera
https://digitalzibaldone.net/node/p2925_1,Forcellini,438,448,opera
https://digitalzibaldone.net/node/p2925_2,Forcell.,794,802,opera
https://digitalzibaldone.net/node/p2926_1,Forcell.,68,76,opera
https://digitalzibaldone.net/node/p2928_2,Forc.,759,764,opera
https://digitalzibaldone.net/node/p2930_2,Forcell.,55,63,opera
https://digitalzibaldone.net/node/p2932_1,Forcell.,399,407,opera
https://digitalzibaldone.net/node/p2932_1,Forcell.,887,895,opera
https://digitalzibaldone.net/node/p2932_1,Anonimo,1060,1067,persona
https://digitalzibaldone.net/node/p2932_1,Forcell.,1720,1728,opera
https://digitalzibaldone.net/node/p2932_1,anonimo,1742,1749,persona
https://digitalzibaldone.net/node/p2932_1,Forcellini,1824,1834,opera
https://digitalzibaldone.net/node/p2935_2,Forcellini,43,53,opera
https://digitalzibaldone.net/node/p2949_1,poeta,1313,1318,persona
https://digitalzibaldone.net/node/p2962_1,fanciullo,3,12,persona
https://digitalzibaldone.net/node/p2965_1,paesi meridionali,868,885,luogo
https://digitalzibaldone.net/node/p2972_2,Forcell.,541,549,opera
https://digitalzibaldone.net/node/p2974_3,Forcell.,839,847,opera
https://digitalzibaldone.net/node/p2983_2,Forcell.,455,463,opera
https://digitalzibaldone.net/node/p2985_1,Forcell.,696,704,opera
https://digitalzibaldone.net/node/p2986_2,Pavolo,117,123,persona
https://digitalzibaldone.net/node/p2986_2,Pavlo,126,131,persona
https://digitalzibaldone.net/node/p2987_1,Fray Gerundio de Campazas,177,202,persona
https://digitalzibaldone.net/node/p2987_2,Grammatici,104,114,opera
https://digitalzibaldone.net/node/p2991_1,Veggasi,294,301,persona
https://digitalzibaldone.net/node/p2991_1,Forcell.,305,313,opera
https://digitalzibaldone.net/node/p2991_1,Quintil.,475,483,opera
https://digitalzibaldone.net/node/p2991_1,Forcell.,488,496,opera
https://digitalzibaldone.net/node/p2995_1,Buommattei,405,415,opera
https://digitalzibaldone.net/node/p2996_1,Forcell.,758,766,opera
https://digitalzibaldone.net/node/p2996_1,Forc.,833,838,opera
https://digitalzibaldone.net/node/p2998_3,Forc.,149,154,opera
https://digitalzibaldone.net/node/p2998_3,Forc.,294,299,opera
