id,surface_form,start_pos,end_pos,type
https://digitalzibaldone.net/node/p2700_1,nazione,721,728,luogo
https://digitalzibaldone.net/node/p2700_1,Dante,1553,1558,persona
https://digitalzibaldone.net/node/p2702_1,uomo,248,252,persona
https://digitalzibaldone.net/node/p2702_1,uomo,561,565,persona
https://digitalzibaldone.net/node/p2702_1,uomo,631,635,persona
https://digitalzibaldone.net/node/p2702_1,uomo,877,881,persona
https://digitalzibaldone.net/node/p2702_1,uomo,1065,1069,persona
https://digitalzibaldone.net/node/p2702_1,festa,1100,1105,luogo
https://digitalzibaldone.net/node/p2702_1,festa,1274,1279,luogo
https://digitalzibaldone.net/node/p2705_1,Dante,149,154,persona
https://digitalzibaldone.net/node/p2705_3,filosofi,21,29,persona
https://digitalzibaldone.net/node/p2705_3,filosofi,1007,1015,persona
https://digitalzibaldone.net/node/p2708_1,peripatetici,34,46,persona
https://digitalzibaldone.net/node/p2708_1,edifizio,325,333,luogo
https://digitalzibaldone.net/node/p2708_1,scuole,486,492,luogo
https://digitalzibaldone.net/node/p2711_1,filosofi antichi,2,18,persona
https://digitalzibaldone.net/node/p2711_1,uomo,870,874,persona
https://digitalzibaldone.net/node/p2711_1,fanciullo,1244,1253,persona
https://digitalzibaldone.net/node/p2712_1,sole,739,743,luogo
https://digitalzibaldone.net/node/p2712_1,filosofo,1915,1923,persona
https://digitalzibaldone.net/node/p2715_2,Dante,271,276,persona
https://digitalzibaldone.net/node/p2715_3,scrittore,979,988,persona
https://digitalzibaldone.net/node/p2715_3,scrittore,1197,1206,persona
https://digitalzibaldone.net/node/p2717_1,scrittore,220,229,persona
https://digitalzibaldone.net/node/p2717_1,scrittore,1136,1145,persona
https://digitalzibaldone.net/node/p2725_1,scienziati,61,71,persona
https://digitalzibaldone.net/node/p2725_1,grandi maestri,836,850,persona
https://digitalzibaldone.net/node/p2725_1,scienziati,1069,1079,persona
https://digitalzibaldone.net/node/p2725_1,scienziati,1432,1442,persona
https://digitalzibaldone.net/node/p2725_1,grandi maestri,1930,1944,persona
https://digitalzibaldone.net/node/p2728_1,dimora,939,945,luogo
https://digitalzibaldone.net/node/p2735_1,gentibus,154,162,luogo
https://digitalzibaldone.net/node/p2735_1,orbis terrae regionibus,245,268,luogo
https://digitalzibaldone.net/node/p2735_1,gentibus,620,628,luogo
https://digitalzibaldone.net/node/p2735_1,nazioni,645,652,luogo
https://digitalzibaldone.net/node/p2735_1,mondo,718,723,luogo
https://digitalzibaldone.net/node/p2736_1,giovani,24,31,persona
https://digitalzibaldone.net/node/p2736_1,giovani,510,517,persona
https://digitalzibaldone.net/node/p2738_1,René,357,361,persona
https://digitalzibaldone.net/node/p2739_1,Forcell,45,52,persona
https://digitalzibaldone.net/node/p2745_1,settentrionali,110,124,luogo
https://digitalzibaldone.net/node/p2746_1,scrivani,445,453,persona
https://digitalzibaldone.net/node/p2746_1,nazione,848,855,luogo
https://digitalzibaldone.net/node/p2746_1,indiani,1133,1140,luogo
https://digitalzibaldone.net/node/p2747_1,uomo,779,783,persona
https://digitalzibaldone.net/node/p2747_1,mondo,1558,1563,luogo
https://digitalzibaldone.net/node/p2747_1,uomo,1586,1590,persona
https://digitalzibaldone.net/node/p2747_1,nazioni,1814,1821,luogo
https://digitalzibaldone.net/node/p2747_1,uomo,1835,1839,persona
https://digitalzibaldone.net/node/p2750_1,nazione,405,412,luogo
https://digitalzibaldone.net/node/p2755_1,scrittore italiano,406,424,persona
https://digitalzibaldone.net/node/p2757_1,Crusca,55,61,persona
https://digitalzibaldone.net/node/p2757_1,Forcellini,143,153,persona
https://digitalzibaldone.net/node/p2757_1,Albinus,418,425,persona
https://digitalzibaldone.net/node/p2757_2,volgo latino,1256,1268,luogo
https://digitalzibaldone.net/node/p2759_1,uomo di campagna,18,34,persona
https://digitalzibaldone.net/node/p2759_2,Eneide,540,546,luogo
https://digitalzibaldone.net/node/p2759_2,troiano,1115,1122,persona
https://digitalzibaldone.net/node/p2770_1,eziandio,759,767,luogo
https://digitalzibaldone.net/node/p2771_2,Matto,0,5,persona
https://digitalzibaldone.net/node/p2771_3,poeti,560,565,persona
https://digitalzibaldone.net/node/p2774_1,poeti,732,737,persona
https://digitalzibaldone.net/node/p2780_1,lingua madre,131,143,luogo
https://digitalzibaldone.net/node/p2780_1,Forcellini,234,244,persona
https://digitalzibaldone.net/node/p2781_1,madre,141,146,persona
https://digitalzibaldone.net/node/p2781_1,nazioni,175,182,luogo
https://digitalzibaldone.net/node/p2781_1,sorella,515,522,persona
https://digitalzibaldone.net/node/p2782_1,forestiere,382,392,persona
https://digitalzibaldone.net/node/p2783_1,eziandio,6,14,persona
https://digitalzibaldone.net/node/p2783_2,latina,116,122,luogo
https://digitalzibaldone.net/node/p2786_1,Forcell,548,555,persona
https://digitalzibaldone.net/node/p2786_1,odissea,643,650,luogo
