id,surface_form,start_pos,end_pos,type
https://digitalzibaldone.net/node/p2700_1,nazione,721,728,luogo
https://digitalzibaldone.net/node/p2700_1,Dante,1553,1558,persona
https://digitalzibaldone.net/node/p2702_1,uomo,248,252,persona
https://digitalzibaldone.net/node/p2702_1,uomo,561,565,persona
https://digitalzibaldone.net/node/p2702_1,uomo,631,635,persona
https://digitalzibaldone.net/node/p2702_1,uomo,877,881,persona
https://digitalzibaldone.net/node/p2702_1,uomo,1065,1069,persona
https://digitalzibaldone.net/node/p2703_1,Dizionario di Richelet,795,817,opera
https://digitalzibaldone.net/node/p2703_1,Forcellini,1303,1313,persona
https://digitalzibaldone.net/node/p2705_1,Dante,149,154,persona
https://digitalzibaldone.net/node/p2709_1,Danischmend,1336,1347,persona
https://digitalzibaldone.net/node/p2712_1,filosofia moderna,16,33,opera
https://digitalzibaldone.net/node/p2712_1,filosofia moderna,503,520,opera
https://digitalzibaldone.net/node/p2712_1,filosofia moderna,1792,1809,opera
https://digitalzibaldone.net/node/p2712_1,filosofo,1915,1923,persona
https://digitalzibaldone.net/node/p2715_2,Dante,271,276,persona
https://digitalzibaldone.net/node/p2715_3,ciascheduno scrittore,967,988,persona
https://digitalzibaldone.net/node/p2715_3,ciascheduno scrittore,1185,1206,persona
https://digitalzibaldone.net/node/p2717_1,Fedro,262,267,opera
https://digitalzibaldone.net/node/p2721_2,loc. cit.,205,214,opera
https://digitalzibaldone.net/node/p2721_3,loc. cit.,70,79,luogo
https://digitalzibaldone.net/node/p2725_1,scienziati,61,71,persona
https://digitalzibaldone.net/node/p2725_1,scienziati,1069,1079,persona
https://digitalzibaldone.net/node/p2734_1,Storia Ecclesiastica,10,30,opera
https://digitalzibaldone.net/node/p2738_1,romanzo,230,237,opera
https://digitalzibaldone.net/node/p2738_1,René,357,361,persona
https://digitalzibaldone.net/node/p2739_1,Forcell.,45,53,opera
https://digitalzibaldone.net/node/p2739_1,Mai.,253,257,opera
https://digitalzibaldone.net/node/p2744_1,grammatica,864,874,opera
https://digitalzibaldone.net/node/p2746_1,sascrito,173,181,opera
https://digitalzibaldone.net/node/p2746_1,scrivani,445,453,persona
https://digitalzibaldone.net/node/p2747_1,uomo,779,783,persona
https://digitalzibaldone.net/node/p2747_1,uomo,1586,1590,persona
https://digitalzibaldone.net/node/p2747_1,uomo,1835,1839,persona
https://digitalzibaldone.net/node/p2750_1,nazione,405,412,luogo
https://digitalzibaldone.net/node/p2751_1,alfabeto fenicio,325,341,opera
https://digitalzibaldone.net/node/p2751_1,nazione,552,559,luogo
https://digitalzibaldone.net/node/p2752_1,uomo antico,1706,1717,persona
https://digitalzibaldone.net/node/p2755_1,scrittore italiano,406,424,persona
https://digitalzibaldone.net/node/p2755_1,Corpus Domini,1298,1311,opera
https://digitalzibaldone.net/node/p2757_1,Forcellini,143,153,persona
https://digitalzibaldone.net/node/p2757_1,Albinus,418,425,persona
https://digitalzibaldone.net/node/p2759_1,campagna,26,34,luogo
https://digitalzibaldone.net/node/p2765_1,sgg.,588,592,opera
https://digitalzibaldone.net/node/p2765_1,sgg.,602,606,opera
https://digitalzibaldone.net/node/p2767_1,poema,333,338,opera
https://digitalzibaldone.net/node/p2767_1,poema,1188,1193,opera
https://digitalzibaldone.net/node/p2771_1,vol. 1,256,262,opera
https://digitalzibaldone.net/node/p2771_3,poeti,560,565,persona
https://digitalzibaldone.net/node/p2774_1,V. Gell.,631,639,opera
https://digitalzibaldone.net/node/p2774_1,poeti,732,737,persona
https://digitalzibaldone.net/node/p2776_1,Scap.,849,854,opera
https://digitalzibaldone.net/node/p2780_1,Forcellini,234,244,persona
https://digitalzibaldone.net/node/p2781_1,madre,141,146,persona
https://digitalzibaldone.net/node/p2783_1,eziandio,6,14,persona
https://digitalzibaldone.net/node/p2783_2,sascrita,211,219,opera
https://digitalzibaldone.net/node/p2786_1,Scapula,406,413,opera
https://digitalzibaldone.net/node/p2786_1,Forcell.,548,556,opera
https://digitalzibaldone.net/node/p2788_1,Tusano,359,365,luogo
https://digitalzibaldone.net/node/p2788_1,Etym.,398,403,opera
https://digitalzibaldone.net/node/p2788_1,Etimologico,692,703,opera
https://digitalzibaldone.net/node/p2788_1,Lessici,1226,1233,opera
https://digitalzibaldone.net/node/p2790_1,Forcell.,43,51,opera
https://digitalzibaldone.net/node/p2791_1,autore,219,225,persona
https://digitalzibaldone.net/node/p2792_1,Forcell.,233,241,opera
https://digitalzibaldone.net/node/p2792_1,Scapula,557,564,opera
https://digitalzibaldone.net/node/p2792_2,Forcellini,321,331,persona
https://digitalzibaldone.net/node/p2793_2,B. G.,238,243,luogo
https://digitalzibaldone.net/node/p2796_1,Γάζης,517,522,luogo
https://digitalzibaldone.net/node/p2796_1,B. G.,630,635,luogo
https://digitalzibaldone.net/node/p2796_2,nazione,1901,1908,luogo
