par_id,surface,start,end,identifier,type,match,pattern
https://digitalzibaldone.net/node/p2705_3,Locke,2172,2177,Q9353,PER,exact,
https://digitalzibaldone.net/node/p2718_1,italia,1892,1898,Q38,LOC,exact,
https://digitalzibaldone.net/node/p2718_1,Perticari,2199,2208,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2728_1,Buffon,1812,1818,Q229264,PER,exact,
https://digitalzibaldone.net/node/p2728_1,Buffon,2656,2662,Q229264,PER,exact,
https://digitalzibaldone.net/node/p2728_1,Buffon,3153,3159,Q229264,PER,exact,
https://digitalzibaldone.net/node/p2728_1,Bailly,2201,2207,Q1685301,PER,exact,
https://digitalzibaldone.net/node/p2731_2,impero,493,499,Q2277,LOC,exact,
https://digitalzibaldone.net/node/p2731_2,impero,2104,2110,Q2277,LOC,exact,
https://digitalzibaldone.net/node/p2734_1,Europa latina,482,495,Q1064023,LOC,exact,
https://digitalzibaldone.net/node/p2734_1,Oriente,792,799,Q205653,LOC,exact,
https://digitalzibaldone.net/node/p2734_1,Oriente,832,839,Q205653,LOC,exact,
https://digitalzibaldone.net/node/p2735_1,impero latino,880,893,Q2277,LOC,exact,
https://digitalzibaldone.net/node/p2740_1,Plinio,4180,4186,Q82778,PER,exact,
https://digitalzibaldone.net/node/p2740_1,Simonide,4317,4325,Q273003,PER,exact,
https://digitalzibaldone.net/node/p2740_1,Palamede,4198,4206,Q252387,PER,exact,
https://digitalzibaldone.net/node/p2747_1,China,2979,2984,Q29520,LOC,exact,
https://digitalzibaldone.net/node/p2762_1,Omero,1912,1917,Q6691,PER,exact,
https://digitalzibaldone.net/node/p2762_1,Omero,1968,1973,Q6691,PER,exact,
https://digitalzibaldone.net/node/p2762_1,Omero,2096,2101,Q6691,PER,exact,
https://digitalzibaldone.net/node/p2762_1,Omero,2695,2700,Q6691,PER,exact,
https://digitalzibaldone.net/node/p2762_1,Virgilio,2338,2346,Q1398,PER,exact,
https://digitalzibaldone.net/node/p2762_1,Enea,1814,1818,Q82732,PER,exact,
https://digitalzibaldone.net/node/p2762_1,Enea,2375,2379,Q82732,PER,exact,
https://digitalzibaldone.net/node/p2762_1,Didone,2529,2535,Q905162,PER,exact,
https://digitalzibaldone.net/node/p2762_1,Chateaubriand,2587,2600,Q49767,PER,exact,
https://digitalzibaldone.net/node/p2762_1,Luciano,2715,2722,Q177847,PER,exact,
https://digitalzibaldone.net/node/p2767_1,Omero,2262,2267,Q6691,PER,exact,
https://digitalzibaldone.net/node/p2767_1,Achille,2298,2305,Q41746,PER,exact,
https://digitalzibaldone.net/node/p2767_1,Achille,2523,2530,Q41746,PER,exact,
https://digitalzibaldone.net/node/p2767_1,Patroclo,553,561,Q186271,PER,exact,
https://digitalzibaldone.net/node/p2771_3,Senofon.,2548,2556,Q129772,PER,exact,
https://digitalzibaldone.net/node/p2776_1,Scap.,849,854,Q3179685,PER,exact,
https://digitalzibaldone.net/node/p2776_1,Cic.,2113,2117,Q1541,PER,exact,
https://digitalzibaldone.net/node/p2778_1,Ammon.,1690,1696,Q695923,PER,exact,
https://digitalzibaldone.net/node/p2778_1,Plat.,1742,1747,Q859,PER,exact,
https://digitalzibaldone.net/node/p2778_1,Demost.,1753,1760,Q117253,PER,exact,
https://digitalzibaldone.net/node/p2786_1,Scapula,2187,2194,Q3179685,PER,exact,
https://digitalzibaldone.net/node/p2786_1,Visconti,2057,2065,Q691834,PER,exact,
https://digitalzibaldone.net/node/p2786_1,Visconti,2231,2239,Q691834,PER,exact,
https://digitalzibaldone.net/node/p2786_1,Tucidide,1814,1822,Q41683,PER,exact,
https://digitalzibaldone.net/node/p2786_1,Platone,1828,1835,Q859,PER,exact,
https://digitalzibaldone.net/node/p2786_1,Tusano,2200,2206,Q21543031,PER,exact,
https://digitalzibaldone.net/node/p2788_1,Tusano,359,365,Q21543031,PER,exact,
https://digitalzibaldone.net/node/p2793_2,Porfirio,2553,2561,Q203445,PER,exact,
https://digitalzibaldone.net/node/p2793_2,Holstenio,2626,2635,Q322331,PER,exact,
https://digitalzibaldone.net/node/p2796_1,Procopium,543,552,Q557776,PER,exact,
https://digitalzibaldone.net/node/p2799_1,Fabric.,1302,1309,Q61894,PER,exact,
https://digitalzibaldone.net/node/p2804_1,Tebe,2200,2204,Q11225429,LOC,exact,
https://digitalzibaldone.net/node/p2804_1,Teseo,2171,2176,Q1320718,PER,exact,
https://digitalzibaldone.net/node/p2804_1,Edipo,2187,2192,Q130890,PER,exact,
https://digitalzibaldone.net/node/p2804_1,Oraz.,3152,3157,Q6197,PER,exact,
https://digitalzibaldone.net/node/p2809_1,Marca,662,667,Q1279,LOC,exact,
https://digitalzibaldone.net/node/p2809_1,Venez.,1349,1355,Q641,LOC,exact,
https://digitalzibaldone.net/node/p2809_1,Ven.,1673,1677,Q641,LOC,exact,
https://digitalzibaldone.net/node/p2823_1,Perticari,2136,2145,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2836_2,Petrarca,3220,3228,Q1401,PER,exact,
https://digitalzibaldone.net/node/p2836_2,Petrarca,3356,3364,Q1401,PER,exact,
https://digitalzibaldone.net/node/p2836_2,Petrarca,4133,4141,Q1401,PER,exact,
https://digitalzibaldone.net/node/p2836_2,Petrarca,4186,4194,Q1401,PER,exact,
https://digitalzibaldone.net/node/p2836_2,Boccaccio,3967,3976,Q1402,PER,exact,
https://digitalzibaldone.net/node/p2836_2,Caro,4926,4930,Q566851,PER,exact,
https://digitalzibaldone.net/node/p2842_1,Cang.,286,291,Q442240,PER,exact,
https://digitalzibaldone.net/node/p2842_1,Cang.,840,845,Q442240,PER,exact,
https://digitalzibaldone.net/node/p2842_1,Cang.,3304,3309,Q442240,PER,exact,
https://digitalzibaldone.net/node/p2842_1,Cange,4666,4671,Q442240,PER,exact,
https://digitalzibaldone.net/node/p2842_1,Giordani,1737,1745,Q1092339,PER,exact,
https://digitalzibaldone.net/node/p2842_1,Monti,1776,1781,Q723643,PER,exact,
https://digitalzibaldone.net/node/p2842_1,Hickesio,4647,4655,Q5540582,PER,exact,
https://digitalzibaldone.net/node/p2849_1,mad. di Staël,2100,2113,Q123041,PER,exact,
https://digitalzibaldone.net/node/p2859_1,Canova,1994,2000,Q5547,PER,exact,
https://digitalzibaldone.net/node/p2865_3,Plat.,663,668,Q859,PER,exact,
https://digitalzibaldone.net/node/p2866_1,Socratica,907,916,Q913,PER,exact,
https://digitalzibaldone.net/node/p2869_1,Francia,2915,2922,Q142,LOC,exact,
https://digitalzibaldone.net/node/p2869_1,Francia,3404,3411,Q142,LOC,exact,
https://digitalzibaldone.net/node/p2869_1,Provenza,2982,2990,Q101081,LOC,exact,
