id,surface_form,start_pos,end_pos,type
https://digitalzibaldone.net/node/p2700_1,Dante,1553,1558,persona
https://digitalzibaldone.net/node/p2702_1,uomo,248,252,persona
https://digitalzibaldone.net/node/p2702_1,uomo,561,565,persona
https://digitalzibaldone.net/node/p2702_1,uomo,631,635,persona
https://digitalzibaldone.net/node/p2702_1,uomo,877,881,persona
https://digitalzibaldone.net/node/p2702_1,uomo,1065,1069,persona
https://digitalzibaldone.net/node/p2703_1,Forcellini,1303,1313,persona
https://digitalzibaldone.net/node/p2705_1,Dante,149,154,persona
https://digitalzibaldone.net/node/p2712_1,filosofo,1915,1923,persona
https://digitalzibaldone.net/node/p2715_2,Dante,271,276,persona
https://digitalzibaldone.net/node/p2715_3,ciascheduno scrittore,967,988,persona
https://digitalzibaldone.net/node/p2715_3,ciascheduno scrittore,1185,1206,persona
https://digitalzibaldone.net/node/p2721_2,loc. cit.,205,214,luogo
https://digitalzibaldone.net/node/p2721_3,loc. cit.,70,79,luogo
https://digitalzibaldone.net/node/p2738_1,René,357,361,persona
https://digitalzibaldone.net/node/p2739_1,Repub.,190,196,luogo
https://digitalzibaldone.net/node/p2747_1,uomo,779,783,persona
https://digitalzibaldone.net/node/p2747_1,uomo,1586,1590,persona
https://digitalzibaldone.net/node/p2750_1,nazione,405,412,luogo
https://digitalzibaldone.net/node/p2755_1,scrittore italiano,406,424,persona
https://digitalzibaldone.net/node/p2757_1,Forcellini,143,153,persona
https://digitalzibaldone.net/node/p2757_1,Albinus,418,425,persona
https://digitalzibaldone.net/node/p2757_1,Forcell.,584,592,persona
https://digitalzibaldone.net/node/p2759_1,campagna,26,34,luogo
https://digitalzibaldone.net/node/p2759_2,Eneide,540,546,persona
https://digitalzibaldone.net/node/p2780_1,Forcellini,234,244,persona
https://digitalzibaldone.net/node/p2781_1,madre,141,146,persona
https://digitalzibaldone.net/node/p2786_1,Forcell.,548,556,persona
https://digitalzibaldone.net/node/p2788_1,Tusano,359,365,luogo
https://digitalzibaldone.net/node/p2791_1,autore,219,225,persona
https://digitalzibaldone.net/node/p2792_1,Forcell.,233,241,persona
https://digitalzibaldone.net/node/p2793_2,B. G.,238,243,luogo
https://digitalzibaldone.net/node/p2796_1,Γάζης,517,522,luogo
https://digitalzibaldone.net/node/p2796_1,B. G.,630,635,luogo
https://digitalzibaldone.net/node/p2799_1,Pitagorici,784,794,persona
https://digitalzibaldone.net/node/p2799_1,B. G.,812,817,luogo
https://digitalzibaldone.net/node/p2800_1,sapiente,89,97,persona
https://digitalzibaldone.net/node/p2800_1,sapiente,420,428,persona
https://digitalzibaldone.net/node/p2803_1,uomo,298,302,persona
https://digitalzibaldone.net/node/p2804_1,poeta,1141,1146,persona
https://digitalzibaldone.net/node/p2804_1,poeta,1744,1749,persona
https://digitalzibaldone.net/node/p2809_1,Papa Leone X,1127,1139,persona
