id,surface_form,start_pos,end_pos,type
https://digitalzibaldone.net/node/p2700_1,Lettere nazionali,985,1002,opera
https://digitalzibaldone.net/node/p2700_1,Tiraboschi,1510,1520,persona
https://digitalzibaldone.net/node/p2700_1,Perticari,1530,1539,persona
https://digitalzibaldone.net/node/p2700_1,Dante,1553,1558,persona
https://digitalzibaldone.net/node/p2702_1,uomo,248,252,persona
https://digitalzibaldone.net/node/p2702_1,uomo,631,635,persona
https://digitalzibaldone.net/node/p2702_1,uomo,1065,1069,persona
https://digitalzibaldone.net/node/p2703_1,Saggio sugli errori popolari,156,184,opera
https://digitalzibaldone.net/node/p2703_1,Richelet,809,817,persona
https://digitalzibaldone.net/node/p2703_1,Forcellini,1303,1313,persona
https://digitalzibaldone.net/node/p2705_1,Italia,114,120,luogo
https://digitalzibaldone.net/node/p2705_1,Perticari,127,136,persona
https://digitalzibaldone.net/node/p2705_1,Apologia,137,145,opera
https://digitalzibaldone.net/node/p2705_1,Dante,149,154,persona
https://digitalzibaldone.net/node/p2705_2,Perticari,33,42,persona
https://digitalzibaldone.net/node/p2705_2,Degli scrittori,43,58,opera
https://digitalzibaldone.net/node/p2705_3,Perticari,589,598,persona
https://digitalzibaldone.net/node/p2705_3,Monti,623,628,persona
https://digitalzibaldone.net/node/p2708_1,Cartesio,0,8,persona
https://digitalzibaldone.net/node/p2708_1,Cartesio,171,179,persona
https://digitalzibaldone.net/node/p2708_1,Newton,426,432,persona
https://digitalzibaldone.net/node/p2708_1,Platone,591,598,persona
https://digitalzibaldone.net/node/p2709_1,Cartesio,473,481,persona
https://digitalzibaldone.net/node/p2709_1,Newton,484,490,persona
https://digitalzibaldone.net/node/p2709_1,Wieland,1309,1316,persona
https://digitalzibaldone.net/node/p2709_1,Danischmend,1336,1347,persona
https://digitalzibaldone.net/node/p2711_1,California,1276,1286,luogo
https://digitalzibaldone.net/node/p2712_1,filosofia moderna,16,33,opera
https://digitalzibaldone.net/node/p2712_1,filosofia moderna,503,520,opera
https://digitalzibaldone.net/node/p2712_1,filosofia moderna,1792,1809,opera
https://digitalzibaldone.net/node/p2712_1,filosofo,1915,1923,persona
https://digitalzibaldone.net/node/p2715_1,Perticari,0,9,persona
https://digitalzibaldone.net/node/p2715_1,Degli Scritt.,11,24,opera
https://digitalzibaldone.net/node/p2715_2,Petrarca,89,97,persona
https://digitalzibaldone.net/node/p2715_2,Boccaccio,131,140,persona
https://digitalzibaldone.net/node/p2715_2,Perticari,147,156,persona
https://digitalzibaldone.net/node/p2715_2,Degli Scritt.,157,170,opera
https://digitalzibaldone.net/node/p2715_2,Apologia,259,267,opera
https://digitalzibaldone.net/node/p2715_2,Dante,271,276,persona
https://digitalzibaldone.net/node/p2715_3,ciascheduno scrittore,967,988,persona
https://digitalzibaldone.net/node/p2715_3,ciascheduno scrittore,1185,1206,persona
https://digitalzibaldone.net/node/p2717_1,Fedro,262,267,opera
https://digitalzibaldone.net/node/p2717_1,Platone,271,278,persona
https://digitalzibaldone.net/node/p2717_1,Socrate,388,395,persona
https://digitalzibaldone.net/node/p2717_1,Fedro,398,403,persona
https://digitalzibaldone.net/node/p2717_1,Platone,439,446,persona
https://digitalzibaldone.net/node/p2717_1,Lisia,505,510,persona
https://digitalzibaldone.net/node/p2717_1,Socrate,516,523,persona
https://digitalzibaldone.net/node/p2717_1,Platone,589,596,persona
https://digitalzibaldone.net/node/p2717_1,Platone,1370,1377,persona
https://digitalzibaldone.net/node/p2718_1,Perticari,132,141,persona
https://digitalzibaldone.net/node/p2718_1,Degli Scritt. del 300,149,170,opera
https://digitalzibaldone.net/node/p2721_1,Gelli,9,14,persona
https://digitalzibaldone.net/node/p2721_1,Perticari,31,40,persona
https://digitalzibaldone.net/node/p2721_1,Degli Scritt.,41,54,opera
https://digitalzibaldone.net/node/p2721_2,Perticari,195,204,persona
https://digitalzibaldone.net/node/p2721_2,loc. cit.,205,214,opera
https://digitalzibaldone.net/node/p2721_3,Aristotele,0,10,persona
https://digitalzibaldone.net/node/p2721_3,Perticari,60,69,persona
https://digitalzibaldone.net/node/p2721_4,Cicerone,215,223,persona
https://digitalzibaldone.net/node/p2721_4,de finibus,224,234,opera
https://digitalzibaldone.net/node/p2722_1,Orazio,868,874,persona
https://digitalzibaldone.net/node/p2722_1,Abate Colombo,1175,1188,persona
https://digitalzibaldone.net/node/p2722_1,Abate Colombo,1339,1352,persona
https://digitalzibaldone.net/node/p2722_1,Parma,1355,1360,luogo
https://digitalzibaldone.net/node/p2722_1,Giuseppe Paganino,1365,1382,persona
https://digitalzibaldone.net/node/p2723_1,Bembo,272,277,persona
