par_id,surface,start,end,wikidata,type,match,pattern
p884_1,Temistio,41,49,Q365183,PER,exact,
p3438_1,Voltaire,1325,1333,Q9068,PER,exact,
p3472_1,Aristotele,2272,2282,Q868,PER,exact,
p3472_1,Isocrate,876,884,Q221182,PER,exact,
p511_2,Venetia,1907,1914,Q641,LOC,exact,
p511_2,Floro,20,25,Q316483,PER,exact,
p2759_2,Eneide,540,546,Q60220,PER,exact,
p3960_1,Maria,87,92,Q345,PER,exact,
p64_3,Cremona,61,68,Q6231,LOC,exact,
p641_1,grecia,993,999,Q11772,LOC,exact,
p4479_3,Mil.,571,575,Q490,LOC,exact,
p961_1,grecia,803,809,Q11772,LOC,exact,
p961_1,Omero,1325,1330,Q6691,PER,exact,
p2974_3,Gellio,771,777,Q294800,PER,exact,
p4491_2,Amsterd.,354,362,Q727,LOC,exact,
p2809_1,Marca,662,667,Q1279,LOC,exact,
p2809_1,Venez.,1349,1355,Q641,LOC,exact,
p2809_1,Venez.,1530,1536,Q641,LOC,exact,
p2809_1,Ven.,1673,1677,Q641,LOC,exact,
p109_4,Bossuet,1257,1264,Q294100,PER,exact,
p2076_2,du Cange,1301,1309,Q442240,PER,exact,
p4090_1,Ven.,100,104,Q641,LOC,exact,
p4308_2,Rom.,56,60,Q220,LOC,exact,
p4000_1,Petrarca,450,458,Q1401,PER,exact,
p4524_9,Socrate,206,213,Q913,PER,exact,
p2226_2,Plauto,583,589,Q47160,PER,exact,
p360_1,Nep.,92,96,Q109594,PER,exact,
p4214_3,Bolog.,1585,1591,Q1891,LOC,exact,
p2148_1,Ducange,790,797,Q442240,PER,exact,
p4010_5,Ateneo,1359,1365,Q294923,PER,exact,
p4010_5,Euripide,1622,1630,Q48305,PER,exact,
p4454_1,Corsicam,568,576,Q14112,LOC,exact,
p111_1,Arriano,116,123,Q31845,PER,exact,
p4076_3,grecia,3889,3895,Q11772,LOC,exact,
p4076_3,Mercurio,2790,2798,Q1150,PER,exact,
p4076_3,Venere,2779,2785,Q47652,PER,exact,
p4406_2,Scandinavie,211,222,Q21195,LOC,exact,
p4406_2,Finlande,465,473,Q33,LOC,exact,
p3884_1,Rémusberg,294,303,Q537268,LOC,exact,
p3884_1,Metastasio,1099,1109,Q29473,PER,exact,
p4073_1,Affrica,209,216,Q15,LOC,exact,
p4153_1,Erodoto,128,135,Q26825,PER,exact,
p2460_1,Venez.,1265,1271,Q641,LOC,exact,
p2460_1,Venez.,1711,1717,Q641,LOC,exact,
p2460_1,Gualteruzzi,1657,1668,Q3659468,PER,exact,
p1043_1,L'inghilterra,0,13,Q21,LOC,exact,
p1043_1,italia,1034,1040,Q38,LOC,exact,
p1043_1,spagna,1062,1068,Q29,LOC,exact,
p1043_1,Montesquieu,456,467,Q15975,PER,exact,
p4117_1,Oxon.,163,168,Q34217,LOC,exact,
p4435_1,Ateneo,33,39,Q294923,PER,exact,
p3245_1,Cartesio,803,811,Q9191,PER,exact,
p3245_1,Platone,495,502,Q859,PER,exact,
p4103_4,Milan,122,127,Q490,LOC,exact,
p4103_4,Cervantes,92,101,Q5682,PER,exact,
p743_1,grecia,736,742,Q11772,LOC,exact,
p1145_1,Romę,416,420,Q220,LOC,exact,
p2677_1,Fir.,1751,1755,Q2044,LOC,exact,
p2677_1,Demo,2411,2415,Q651941,PER,exact,
p4319_2,Troie,65,70,Q22647,LOC,exact,
p4319_2,Athènes,2420,2427,Q844930,LOC,exact,
p4319_2,Férussac,3579,3587,Q32376,PER,exact,
p358_2,inghilterra,1141,1152,Q21,LOC,exact,
p4208_3,Bolog.,257,263,Q1891,LOC,exact,
p2656_1,Rom.,98,102,Q220,LOC,exact,
p95_2,Troia,531,536,Q22647,LOC,exact,
p4163_5,Basileae,254,262,Q78,LOC,exact,
p1671_1,Omero,1240,1245,Q6691,PER,exact,
p4245_5,Ven.,27,31,Q641,LOC,exact,
p3390_1,Ven.,806,810,Q641,LOC,exact,
p3390_1,Redi,431,435,Q311187,PER,exact,
p490_1,Talete,118,124,Q36303,PER,exact,
p4049_3,Plauto,975,981,Q47160,PER,exact,
p4112_4,Milan,80,85,Q490,LOC,exact,
p2876_2,Rom.,2752,2756,Q220,LOC,exact,
p2876_2,Apuleio,1206,1213,Q170512,PER,exact,
p2876_2,Marziano Capella,1265,1281,Q348408,PER,exact,
p2876_2,Ovidio,2623,2629,Q7198,PER,exact,
p2876_2,Vitruvio,1235,1243,Q47163,PER,exact,
p2876_2,Vitruvio,1498,1506,Q47163,PER,exact,
p3980_1,Amberes,704,711,Q12892,LOC,exact,
p2302_1,Frontone,2712,2720,Q317055,PER,exact,
p3885_2,Venetia,203,210,Q641,LOC,exact,
p3989_1,Europe,189,195,Q46,LOC,exact,
p1701_1,Le,0,2,Q1043,PER,exact,
p1701_1,Le,1603,1605,Q1043,PER,exact,
p1701_1,La,1637,1639,Q1043,PER,exact,
p4169_2,Fedro,25,30,Q52166,PER,exact,
p1014_2,Beda,513,517,Q154938,PER,exact,
p989_1,Appiano,1120,1127,Q190368,PER,exact,
p4121_1,Mil.,104,108,Q490,LOC,exact,
p1023_2,impero greco,52,64,Q2497438,LOC,exact,
p1023_2,Virgilio,262,270,Q1398,PER,exact,
p3186_1,Donato,4973,4979,Q247137,PER,exact,
p2650_1,Italia,1878,1884,Q38,LOC,exact,
p4433_2,Maleventum,40,50,Q105706880,LOC,exact,
p4433_2,Maleventum,351,361,Q105706880,LOC,exact,
p4433_2,Samnium,100,107,Q105706880,LOC,exact,
p4433_2,Beneventum,520,530,Q105706880,LOC,exact,
p4433_2,Maleventũ,556,565,Q105706880,LOC,exact,
p1281_3,Basileę,579,586,Q78,LOC,exact,
p1281_3,Ducange,1762,1769,Q442240,PER,exact,
p4482_2,Lips.,658,663,Q2079,LOC,exact,
p4397_2,Esiodo,344,350,Q44233,PER,exact,
p1_2,Aviano,5,11,Q185732,PER,exact,
p883_1,Cambridge,871,880,Q350,LOC,exact,
p883_1,Isocrate,261,269,Q221182,PER,exact,
p4312_2,Copenhague,101,111,Q1748,LOC,exact,
p3_5,Ariosto,1527,1534,Q48900,PER,exact,
p3_5,Ariosto,2978,2985,Q48900,PER,exact,
p3_5,Dante,1507,1512,Q1067,PER,exact,
p3_5,Omero,2640,2645,Q6691,PER,exact,
p3_5,Petrarca,1516,1524,Q1401,PER,exact,
p3_5,Petrarca,2659,2667,Q1401,PER,exact,
p1444_1,Minerva,106,113,Q126916,PER,exact,
p4302_1,Pisa,412,416,Q13375,LOC,exact,
p501_2,Clusio,279,285,Q843729,LOC,exact,
p501_2,Romamque,287,295,Q220,LOC,exact,
p3954_2,Maria,253,258,Q345,PER,exact,
p2325_1,Frontone,290,298,Q317055,PER,exact,
p456_1,imperio Romano,468,482,Q2277,LOC,exact,
p342_2,Giove,320,325,Q4649,PER,exact,
p109_1,Frontone,615,623,Q317055,PER,exact,
p4470_1,Esculapio,442,451,Q83223,PER,exact,
p979_1,Oriente,234,241,Q205653,LOC,exact,
p979_1,Pisis,971,976,Q13375,LOC,exact,
p1121_1,Frontone,693,701,Q317055,PER,exact,
p2654_1,imperium rom.,865,878,Q2277,LOC,exact,
p4214_4,Bolog.,2942,2948,Q1891,LOC,exact,
p4214_4,Galileo,2676,2683,Q307,PER,exact,
p2245_1,roma,397,401,Q1747689,LOC,exact,
p4399_1,Londr.,113,119,Q84,LOC,exact,
p2734_1,Pad.,363,367,Q617,LOC,exact,
p2734_1,Oriente,792,799,Q205653,LOC,exact,
p2734_1,Oriente,832,839,Q205653,LOC,exact,
p2734_1,grecia,893,899,Q11772,LOC,exact,
p4377_1,Mars,1410,1414,Q1116491,LOC,exact,
p4377_1,Champollion-Figeac,1384,1402,Q545045,PER,exact,
p2589_1,india,515,520,Q668,LOC,exact,
p2589_1,grecia,2734,2740,Q11772,LOC,exact,
p2589_1,Italia,2800,2806,Q38,LOC,exact,
p2589_1,Arriano,2502,2509,Q31845,PER,exact,
p2589_1,Plutarco,2516,2524,Q41523,PER,exact,
p2354_1,Virgilio,632,640,Q1398,PER,exact,
p3062_2,Manheim,187,194,Q2119,LOC,exact,
p3062_2,Fedro,166,171,Q52166,PER,exact,
p169_1,Omero,871,876,Q6691,PER,exact,
p3561_1,Ven.,1318,1322,Q641,LOC,exact,
p1352_1,Tacito,1753,1759,Q2161,PER,exact,
p1029_2,Manhemii,327,335,Q2119,LOC,exact,
p28_1,italia,72,78,Q38,LOC,exact,
p28_1,Anacreonte,191,201,Q213484,PER,exact,
p4122_12,Ven.,134,138,Q641,LOC,exact,
p1962_1,France,1964,1970,Q142,LOC,exact,
p4400_1,Vindobonae,97,107,Q1741,LOC,exact,
p1226_1,italia,3810,3816,Q38,LOC,exact,
p4411_2,Europe latine,44,57,Q1064023,LOC,exact,
p4411_2,Mars,465,469,Q1116491,LOC,exact,
p4469_8,Lips.,192,197,Q2079,LOC,exact,
p2804_1,Tebe,2200,2204,Q11225429,LOC,exact,
p2804_1,Anacarsi,125,133,Q325026,PER,exact,
p4213_4,Bolog.,294,300,Q1891,LOC,exact,
p983_3,Indie,333,338,Q668,LOC,exact,
p107_4,Arriano,47,54,Q31845,PER,exact,
p54_2,grecia,686,692,Q11772,LOC,exact,
p54_2,grecia,751,757,Q11772,LOC,exact,
p54_2,gallia,886,892,Q38060,LOC,exact,
p54_2,gallia,972,978,Q38060,LOC,exact,
p4194_1,impero,28,34,Q2277,LOC,exact,
p4194_1,impero,191,197,Q2277,LOC,exact,
p1402_1,Galileo,675,682,Q307,PER,exact,
p3158_1,Omero,1261,1266,Q6691,PER,exact,
p3158_1,Omero,1680,1685,Q6691,PER,exact,
p3797_1,impero messicano,1567,1583,Q2608489,LOC,exact,
p2619_2,China,1202,1207,Q29520,LOC,exact,
p2619_2,grecia,1722,1728,Q11772,LOC,exact,
p2619_2,grecia,2165,2171,Q11772,LOC,exact,
p2619_2,fenicia,1762,1769,Q41642,LOC,exact,
p2619_2,fenicia,2190,2197,Q41642,LOC,exact,
p2619_2,Confucio,1291,1299,Q4604,PER,exact,
