id,surface_form,start_pos,end_pos,type
p4103_5,Guicc.,30,36,PER
p4103_5,Giovanni Battista,160,177,PER
p480_1,Heinsio,405,412,PER
p109_1,Baggeo,0,6,PER
p109_1,Frontone,615,623,LOC
p501_1,Suida,321,326,PER
p88_1,Corinna,143,150,PER
p88_1,Corinna,329,336,PER
p1965_1,France,218,224,PER
p4201_1,Anguillara,27,37,LOC
p3988_2,Gramm,56,61,PER
p3988_2,Lips.,75,80,PER
p3988_2,Forcell,215,222,PER
p3988_2,Dium,227,231,LOC
p2923_3,Terentia,462,470,PER
p2923_3,Forcell,552,559,PER
p2923_3,Belle,564,569,LOC
p4229_4,Dio,2385,2388,PER
p4229_4,Loreto,2644,2650,LOC
p3996_4,V. Forc,139,146,PER
p4227_4,Varchi,42,48,LOC
p4227_4,Ercolano,50,58,LOC
p4227_4,Venez.,60,66,LOC
p3735_1,V. Forc,62,69,PER
p3735_1,Ruo,227,230,PER
p3735_1,Ruta caesa,241,251,LOC
p3735_1,Parnas.,575,582,PER
p21_5,Longino,8,15,PER
p21_5,Longino,2471,2478,PER
p473_2,Artageram,77,86,PER
p4282_8,Culter,0,6,PER
p4282_8,V. Forcell.,55,66,PER
p4282_8,Spagnuoli,72,81,PER
p4232_3,Athenae,105,112,LOC
p3005_2,Crusca,765,771,PER
p4475_2,Goffredo,245,253,PER
p4475_2,Lusiadi,298,305,PER
p1043_1,Greci,446,451,PER
p4004_5,Setola,0,6,PER
p3852_5,Forcell,192,199,PER
p342_2,Giove,320,325,LOC
p4246_1,Spino,156,161,PER
p4246_1,Mauro,218,223,PER
p1961_2,Scalda,96,102,PER
p1961_2,Andrès,108,114,PER
p1961_2,Scaldi,181,187,PER
p2138_1,Forc,369,373,PER
p4248_8,V. Crusca,24,33,PER
p1447_3,Vit,408,411,PER
p2384_1,Omero,676,681,LOC
p520_1,Lucano,2580,2586,LOC
p3682_1,Lupo,480,484,PER
p4382_1,Pindem,111,117,PER
p4382_1,Carmina Homerica,230,246,PER
p4382_1,Prolegomena,248,259,PER
p4030_5,Faventia,0,8,LOC
p4030_5,Faenza,11,17,LOC
p4030_5,Guicc.,49,55,PER
p4030_5,Faventini,75,84,PER
p4030_5,Fayence,100,107,LOC
p4030_5,Faenza,112,118,LOC
p4030_5,Faventia,152,160,LOC
p2709_1,Danischmend,1336,1347,PER
p4124_7,Apollon,19,26,PER
p4124_7,Dyscol,28,34,PER
p4124_7,Histor,36,42,PER
p943_1,Rèmusat,716,723,PER
p239_2,Latina,220,226,LOC
p239_2,Numidica,2724,2732,PER
p239_2,Mad,3560,3563,PER
p239_2,Laonde,4466,4472,PER
p4219_1,Phyth,590,595,PER
p4219_1,Versio Andreae Schotti,1355,1377,PER
p4219_1,Antiquissimos,2224,2237,PER
p4219_1,διακαϑαίρειν,3266,3278,PER
p4046_3,Sui,433,436,LOC
p4046_3,V.,458,460,PER
p553_2,Germani,893,900,PER
p595_1,Crusca,136,142,PER
p595_1,Tite,241,245,PER
p4126_1,Forcell,137,144,PER
p63_4,belle Amadriadi,226,241,LOC
p63_4,Pane,266,270,PER
p4025_5,Crusca,53,59,PER
p4025_5,D. Quij,216,223,PER
p3494_1,Dei,441,444,PER
p3494_1,Forcell,1512,1519,PER
p3494_1,Nympha,1683,1689,LOC
p3494_1,Pani,1977,1981,PER
p3494_1,V. Forcell,2011,2021,PER
p3494_1,Indigetes,2033,2042,PER
p3494_1,Semideus,2044,2052,PER
p3494_1,Astii,2080,2085,PER
p3494_1,V.,2141,2143,PER
p4122_6,Recanati,60,68,LOC
p205_1,Caroso,130,136,PER
p4102_5,Recanati,592,600,LOC
p3080_2,gramm,1759,1764,PER
p4482_2,Orell,624,629,PER
p4482_2,Apophthegm,903,913,PER
p4482_2,Ebraeor,915,922,PER
p4482_2,Drusio,946,952,PER
p4482_2,Franequerae,955,966,PER
p4482_2,Quodam,976,982,PER
p4482_2,Cur,1000,1003,PER
p4482_2,Orell,1128,1133,PER
p4062_3,Lucian,42,48,PER
p1760_1,Rocca,550,555,LOC
p1760_1,Pirotta,574,581,PER
p1858_1,Copernico,20,29,LOC
p1858_1,Samo,305,309,LOC
p3169_1,Santa Chiara,109,121,PER
p4140_3,Crus,26,30,PER
p4140_3,Entendu,32,39,PER
p4140_3,Canz,136,140,PER
p4163_9,Augustin de Roxas,132,149,PER
p4153_2,Forcell,18,25,PER
p1028_3,Andrès loc,47,57,PER
p981_1,Longin.,362,369,LOC
p981_1,Alexandr,814,822,PER
p981_1,Bonon,854,859,PER
p981_1,typis Laelii,861,873,PER
p981_1,Vulpe,876,881,PER
p981_1,Johannis Aloysii Mingarellii,919,947,PER
p981_1,Mons,986,990,PER
p981_1,dai Romani,1788,1798,PER
p981_1,Romani,2535,2541,PER
p981_1,Greci,2613,2618,PER
p212_3,De la délicatesse,346,363,PER
p697_1,Crusca,240,246,PER
p697_1,Crusca,412,418,LOC
p3702_2,Adoleo,0,6,PER
p3702_2,Adoleo,93,99,LOC
p3595_1,Gerusalemme,61,72,LOC
p3595_1,Gerusalemme,982,993,LOC
p3595_1,Gerusalemme,1285,1296,LOC
p3595_1,Gerusalemme,1515,1526,LOC
p3595_1,Eroi,2032,2036,PER
p3060_2,Forcell,79,86,PER
p1153_1,Caveo,519,524,PER
p1153_1,V.,625,627,PER
p4478_1,Dei,28,31,PER
