par_id,surface,start,end,wikidata,type,match,pattern
p1108_2,Catone,174,180,Q180081,PER,partial,Marco Porcio Catone Censore
p1108_2,Forcellini,500,510,Q550353,PER,partial,Egidio Forcellini
p1108_2,Forcellini,846,856,Q550353,PER,partial,Egidio Forcellini
p4157_3,Bologna,88,95,Q1891,LOC,exact,
p4157_3,S. F. Saverio,113,126,Q163900,PER,partial,San Francesco Saverio
p198_1,Correggio,7393,7402,Q8457,PER,exact,
p198_1,Montesquieu,0,11,Q15975,PER,exact,
p198_1,Montesquieu,779,790,Q15975,PER,exact,
p198_1,Montesquieu,1943,1954,Q15975,PER,exact,
p198_1,Montesquieu,2581,2592,Q15975,PER,exact,
p198_1,Montesquieu,4562,4573,Q15975,PER,exact,
p198_1,Montesquieu,5325,5336,Q15975,PER,exact,
p198_1,Montesquieu,7329,7340,Q15975,PER,exact,
p198_1,Raffaello,7381,7390,Q5597,PER,exact,
p198_1,Alfieri,3572,3579,Q296244,PER,partial,Vittorio Amedeo Alfieri
p198_1,Frugoni,4340,4347,Q2259161,PER,partial,Carlo Innocenzo Frugoni
p198_1,Marmontel,3343,3352,Q379923,PER,partial,Jean-François Marmontel
p4154_5,V. Forcellini,21,34,Q550353,PER,partial,Egidio Forcellini
p2995_1,Buommattei,405,415,Q3638052,PER,partial,Benedetto Buommattei
p884_1,Temistio,982,990,Q365183,PER,exact,
p884_1,Angelo Maio},775,787,Q304825,PER,levenshtein,Angelo Maj
p884_1,Teodosio,1151,1159,Q365183,PER,levenshtein,Temistio
p2740_1,Claudio,470,477,Q1411,PER,exact,
p2740_1,Palamede,4198,4206,Q252387,PER,exact,
p2740_1,Simonide,423,431,Q273003,PER,exact,
p2740_1,Simonide,4317,4325,Q273003,PER,exact,
p2740_1,Plinio,412,418,Q82778,PER,partial,Gaio Plinio Secondo
p2740_1,Plinio,4180,4186,Q82778,PER,partial,Gaio Plinio Secondo
p1055_2,Venezia,190,197,Q641,LOC,exact,
p1055_2,Locke,183,188,Q9353,PER,partial,Giovanni Locke
p1055_2,Soave,128,133,Q3081091,PER,partial,Giovanni Francesco Soave
p3344_1,Roma,515,519,Q1747689,LOC,exact,
p3344_1,Giulio Cesare,543,556,Q1048,PER,exact,
p3344_1,Cesare,764,770,Q1048,PER,exact,
p3344_1,Svetonio,417,425,Q10133,PER,exact,
p3344_1,Svetonio,586,594,Q10133,PER,exact,
p3344_1,Svetonio,698,706,Q10133,PER,exact,
p3438_1,italia,428,434,Q38,LOC,exact,
p3438_1,Roma,452,456,Q220,LOC,exact,
p3438_1,Voltaire,1404,1412,Q9068,PER,exact,
p3438_1,Algarotti,1229,1238,Q439081,PER,partial,Francesco Algarotti
p323_1,Staël,486,491,Q123041,PER,partial,Anne Louise Germaine de Staël
p4523_1,Piladi,398,404,Q494886,PER,levenshtein,Pilade
p4523_1,Piritoi,407,414,Q502156,PER,levenshtein,Piritoo
p3472_1,Isocrate,3312,3320,Q221182,PER,exact,
p3472_1,Plutarco,3325,3333,Q41523,PER,exact,
p3472_1,Senofonte,889,898,Q129772,PER,exact,
p3472_1,Senofonte,2432,2441,Q129772,PER,exact,
p3472_1,Senofonte,2579,2588,Q129772,PER,exact,
p3472_1,Senofonte,2676,2685,Q129772,PER,exact,
p3472_1,Senofonte,3298,3307,Q129772,PER,exact,
p3472_1,Socrate,2922,2929,Q913,PER,exact,
p3472_1,Socrate,3286,3293,Q913,PER,exact,
p3472_1,Teofrasto,2306,2315,Q160362,PER,exact,
p1655_2,Cartesio,477,485,Q9191,PER,exact,
p1655_2,Dutens,493,499,Q947504,PER,partial,Louis Dutens
p511_2,Bernardino Baldi,1818,1834,Q560613,PER,exact,
p511_2,Floro,528,533,Q316483,PER,exact,
p511_2,Floro,695,700,Q316483,PER,exact,
p511_2,Floro,1649,1654,Q316483,PER,exact,
p511_2,Virgilio,1393,1401,Q1398,PER,exact,
p511_2,Bern. Baldi,1894,1905,Q560613,PER,partial,Bernardino Baldi
p511_2,Forcellini,1481,1491,Q550353,PER,partial,Egidio Forcellini
p511_2,Forcellini,1597,1607,Q550353,PER,partial,Egidio Forcellini
p511_2,Sallust,936,943,Q7170,PER,levenshtein,Sallustio
p511_2,Virgil,988,994,Q1398,PER,levenshtein,Vergilius
p511_2,V. la Crusca,598,610,Q1398,PER,partial,P. V. M.
p4483_2,Petr,195,199,Q1401,PER,levenshtein,Petrarca
p2759_2,Achille,487,494,Q41746,PER,exact,
p2759_2,Agamennone,1070,1080,Q128176,PER,exact,
p2759_2,Enea,508,512,Q82732,PER,exact,
p2759_2,Enea,564,568,Q82732,PER,exact,
p2759_2,Magone,583,589,Q60220,PER,exact,
p2759_2,Menelao,998,1005,Q171839,PER,exact,
p2759_2,Omero,57,62,Q6691,PER,exact,
p2759_2,Omero,972,977,Q6691,PER,exact,
p2759_2,Pallante,734,742,Q2048018,PER,exact,
p2759_2,Rutuli,765,771,Q579014,PER,exact,
p2759_2,Virgilio,76,84,Q1398,PER,exact,
p2608_2,italia,121,127,Q38,LOC,exact,
