id,surface_form,start_pos,end_pos,type
https://digitalzibaldone.net/node/p2700_1,Dante,1553,1558,PER
https://digitalzibaldone.net/node/p2703_1,Crusca,972,978,PER
https://digitalzibaldone.net/node/p2703_1,Bobò,1005,1009,PER
https://digitalzibaldone.net/node/p2703_1,V. Forcellini,1300,1313,PER
https://digitalzibaldone.net/node/p2705_1,Dante,149,154,PER
https://digitalzibaldone.net/node/p2709_1,Danischmend,1336,1347,PER
https://digitalzibaldone.net/node/p2715_1,Degli Scritt,11,23,PER
https://digitalzibaldone.net/node/p2715_2,Dante,271,276,PER
https://digitalzibaldone.net/node/p2728_1,Pallavicino,1795,1806,PER
https://digitalzibaldone.net/node/p2731_1,Dial.i,201,207,PER
https://digitalzibaldone.net/node/p2734_1,V.,253,255,PER
https://digitalzibaldone.net/node/p2735_1,Nam,0,3,PER
https://digitalzibaldone.net/node/p2735_1,Orat,380,384,PER
https://digitalzibaldone.net/node/p2738_1,Cristiano,1030,1039,PER
https://digitalzibaldone.net/node/p2739_1,Forcell,45,52,PER
https://digitalzibaldone.net/node/p2739_1,de Repub,187,195,PER
https://digitalzibaldone.net/node/p2740_1,Cadmeo,4237,4243,PER
https://digitalzibaldone.net/node/p2740_1,Fenicio,4246,4253,PER
https://digitalzibaldone.net/node/p2757_1,Crusca,55,61,PER
https://digitalzibaldone.net/node/p2757_1,V. Forcellini,140,153,PER
https://digitalzibaldone.net/node/p2757_1,Venet.,282,288,PER
https://digitalzibaldone.net/node/p2757_2,Torto,554,559,PER
https://digitalzibaldone.net/node/p2757_2,Odorus,1115,1121,PER
https://digitalzibaldone.net/node/p2762_1,Laonde,1619,1625,PER
https://digitalzibaldone.net/node/p2771_2,Matto,0,5,PER
https://digitalzibaldone.net/node/p2771_3,Lateo,2325,2330,PER
https://digitalzibaldone.net/node/p2771_3,Simpos.,2557,2564,PER
https://digitalzibaldone.net/node/p2771_3,Dori,2581,2585,PER
https://digitalzibaldone.net/node/p2771_3,Patior,2626,2632,PER
https://digitalzibaldone.net/node/p2771_3,Eol,2744,2747,PER
https://digitalzibaldone.net/node/p2776_1,Γιγνώσκω,981,989,PER
https://digitalzibaldone.net/node/p2778_1,Bastimi,570,577,PER
https://digitalzibaldone.net/node/p2779_2,Gramm,477,482,PER
https://digitalzibaldone.net/node/p2780_1,Forcellini,234,244,PER
https://digitalzibaldone.net/node/p2784_1,Ella,130,134,PER
https://digitalzibaldone.net/node/p2786_1,Forcell,548,555,PER
https://digitalzibaldone.net/node/p2788_1,Etym.,398,403,PER
https://digitalzibaldone.net/node/p2788_1,Iliade,968,974,PER
https://digitalzibaldone.net/node/p2788_1,Harpyia,1083,1090,PER
https://digitalzibaldone.net/node/p2788_1,Raptim,1150,1156,PER
https://digitalzibaldone.net/node/p2788_1,Rapinoso,1796,1804,PER
https://digitalzibaldone.net/node/p2790_1,Forcell,43,50,PER
https://digitalzibaldone.net/node/p2790_1,Teogonia,191,199,PER
https://digitalzibaldone.net/node/p2790_1,Iliade,1442,1448,PER
https://digitalzibaldone.net/node/p2791_1,Nótisi,371,377,PER
https://digitalzibaldone.net/node/p2792_1,Forcell,233,240,PER
https://digitalzibaldone.net/node/p2792_1,Arpie,781,786,PER
https://digitalzibaldone.net/node/p2792_2,Forcellini,321,331,PER
https://digitalzibaldone.net/node/p2793_2,B. G.,238,243,PER
https://digitalzibaldone.net/node/p2793_2,Plotino,2604,2611,PER
https://digitalzibaldone.net/node/p2793_2,Porphyrii,2656,2665,PER
https://digitalzibaldone.net/node/p2796_1,Gazaeum,563,570,PER
