id,surface_form,start_pos,end_pos,type
https://digitalzibaldone.net/node/p2700_1,Tiraboschi,1510,1520,PER
https://digitalzibaldone.net/node/p2700_1,Perticari,1530,1539,PER
https://digitalzibaldone.net/node/p2700_1,Dante,1553,1558,PER
https://digitalzibaldone.net/node/p2703_1,Richelet,809,817,WORK
https://digitalzibaldone.net/node/p2703_1,Crusca,972,978,PER
https://digitalzibaldone.net/node/p2703_1,Forcellini,1303,1313,PER
https://digitalzibaldone.net/node/p2705_1,Perticari Apologia di Dante,127,154,WORK
https://digitalzibaldone.net/node/p2705_3,Perticari,589,598,PER
https://digitalzibaldone.net/node/p2705_3,Monti,623,628,PER
https://digitalzibaldone.net/node/p2705_3,Locke,2172,2177,PER
https://digitalzibaldone.net/node/p2708_1,Cartesio,0,8,PER
https://digitalzibaldone.net/node/p2708_1,Cartesio,171,179,PER
https://digitalzibaldone.net/node/p2708_1,Newton,426,432,PER
https://digitalzibaldone.net/node/p2708_1,Platone,591,598,PER
https://digitalzibaldone.net/node/p2709_1,Cartesio,473,481,PER
https://digitalzibaldone.net/node/p2709_1,Newton,484,490,PER
https://digitalzibaldone.net/node/p2709_1,Wieland,1309,1316,PER
https://digitalzibaldone.net/node/p2715_2,Perticari Degli Scritt.,147,170,WORK
https://digitalzibaldone.net/node/p2715_2,Apologia di Dante,259,276,WORK
https://digitalzibaldone.net/node/p2715_3, scrittore,978,988,PER
https://digitalzibaldone.net/node/p2715_3,ottimi,1556,1562,PER
https://digitalzibaldone.net/node/p2715_3,originali,1565,1574,PER
https://digitalzibaldone.net/node/p2717_1,Fedro,262,267,WORK
https://digitalzibaldone.net/node/p2717_1,Platone,271,278,PER
https://digitalzibaldone.net/node/p2717_1,Lisia,505,510,PER
https://digitalzibaldone.net/node/p2717_1,Socrate,516,523,PER
https://digitalzibaldone.net/node/p2718_1,Perticari,132,141,PER
https://digitalzibaldone.net/node/p2718_1,Degli Scritt. del 300,149,170,WORK
https://digitalzibaldone.net/node/p2721_3,Aristotele,0,10,PER
https://digitalzibaldone.net/node/p2721_3,Perticari,60,69,PER
https://digitalzibaldone.net/node/p2721_4,Cicerone de finibus,215,234,WORK
https://digitalzibaldone.net/node/p2722_1,Lezioni sulle Doti di una colta favella,1194,1233,WORK
https://digitalzibaldone.net/node/p2722_1,Parma,1355,1360,LOC
https://digitalzibaldone.net/node/p2722_1,Giuseppe Paganino,1365,1382,PER
