id,surface_form,start_pos,end_pos,type
https://digitalzibaldone.net/node/p2700_1,Tiraboschi,1510,1520,PER
https://digitalzibaldone.net/node/p2700_1,Perticari,1530,1539,PER
https://digitalzibaldone.net/node/p2700_1,Dante,1553,1558,PER
https://digitalzibaldone.net/node/p2703_1,bobò,17,21,PER
https://digitalzibaldone.net/node/p2703_1,μορμώ,90,95,WORK
https://digitalzibaldone.net/node/p2703_1,Lammie,116,122,WORK
https://digitalzibaldone.net/node/p2703_1,Saggio sugli errori popolari,156,184,WORK
https://digitalzibaldone.net/node/p2703_1,bau bau,239,246,PER
https://digitalzibaldone.net/node/p2703_1,bau bau,405,412,PER
https://digitalzibaldone.net/node/p2703_1,βαΰζειν,541,548,WORK
https://digitalzibaldone.net/node/p2703_1,baubari,602,609,WORK
https://digitalzibaldone.net/node/p2703_1,baiare,640,646,PER
https://digitalzibaldone.net/node/p2703_1,abbaiare,656,664,PER
https://digitalzibaldone.net/node/p2703_1,abaïer,744,750,PER
https://digitalzibaldone.net/node/p2703_1,aboyer,764,770,PER
https://digitalzibaldone.net/node/p2703_1,Dizionario di Richelet,795,817,WORK
https://digitalzibaldone.net/node/p2703_1,bau bau,895,902,PER
https://digitalzibaldone.net/node/p2703_1,Crusca,972,978,WORK
https://digitalzibaldone.net/node/p2703_1,Bau,982,985,PER
https://digitalzibaldone.net/node/p2703_1,Bobò,1005,1009,PER
https://digitalzibaldone.net/node/p2703_1,petit mal,1100,1109,PER
https://digitalzibaldone.net/node/p2703_1,bua,1150,1153,PER
https://digitalzibaldone.net/node/p2705_1,Apologia di Dante,137,154,WORK
https://digitalzibaldone.net/node/p2705_2,Perticari Degli scrittori del 300,33,66,WORK
https://digitalzibaldone.net/node/p2705_3,persone,35,42,PER
https://digitalzibaldone.net/node/p2705_3,umanità,77,84,LOC
https://digitalzibaldone.net/node/p2705_3,nazioni,92,99,LOC
https://digitalzibaldone.net/node/p2705_3,intelletto,384,394,PER
https://digitalzibaldone.net/node/p2705_3,libri,468,473,WORK
https://digitalzibaldone.net/node/p2705_3,libro,484,489,WORK
https://digitalzibaldone.net/node/p2705_3,Trattati,577,585,WORK
https://digitalzibaldone.net/node/p2705_3,Perticari,589,598,PER
https://digitalzibaldone.net/node/p2705_3,Proposta,611,619,WORK
https://digitalzibaldone.net/node/p2705_3,Monti,623,628,PER
https://digitalzibaldone.net/node/p2705_3,spirito umano,697,710,PER
