par_id,surface,start,end,wikidata,type,match,pattern
p2793_2,Porfirio,2562,2570,Q203445,PER,exact,
p2739_1,Rom.,229,233,Q220,LOC,exact,
p2740_1,Claudio,479,486,Q1411,PER,exact,
p2759_2,Eneide,549,555,Q60220,PER,exact,
p2718_1,italia,1901,1907,Q38,LOC,exact,
p2786_1,Schrevel,545,553,Q377100,PER,partial,
p2792_2,Forcellini,330,340,Q550353,PER,partial,
p2735_1,impero latino,889,902,Q2277,LOC,exact,
p2735_1,Cicerone,953,961,Q1541,PER,exact,
p2731_2,impero,502,508,Q2277,LOC,exact,
p2731_2,impero,2113,2119,Q2277,LOC,exact,
p2731_2,grecia,1578,1584,Q11772,LOC,exact,
p2731_2,grecia,1888,1894,Q11772,LOC,exact,
p2731_2,Appiano,331,338,Q190368,PER,exact,
p2731_2,Erodiano,347,355,Q313056,PER,exact,
p2731_2,Ammiano,688,695,Q172198,PER,exact,
p2731_2,Erodoto,961,968,Q26825,PER,exact,
p2731_2,Dione,340,345,Q185223,PER,partial,
p2788_1,Omero,888,893,Q6691,PER,exact,
p2788_1,Omero,1152,1157,Q6691,PER,exact,
p2788_1,Sofocle,1423,1430,Q7235,PER,exact,
p2788_1,Tusano,368,374,Q21543031,PER,partial,
p2731_1,Ven.,217,221,Q641,LOC,exact,
p2731_1,Buffon,796,802,Q229264,PER,exact,
p2705_1,Italia,123,129,Q38,LOC,exact,
p2705_3,Locke,2181,2186,Q9353,PER,partial,
p2775_1,Scapula,743,750,Q3179685,PER,partial,
p2703_1,Richelet,818,826,Q1236889,PER,partial,
p2703_1,Forcellini,1312,1322,Q550353,PER,partial,
p2715_2,Petrarca,98,106,Q1401,PER,exact,
p2767_1,Patroclo,562,570,Q186271,PER,exact,
p2723_1,Petrarca,404,412,Q1401,PER,exact,
p2723_1,Boccaccio,423,432,Q1402,PER,exact,
p2734_1,Pad.,372,376,Q617,LOC,exact,
p2734_1,Europa latina,491,504,Q1064023,LOC,exact,
p2734_1,Italia,651,657,Q38,LOC,exact,
p2734_1,Oriente,801,808,Q205653,LOC,exact,
p2734_1,Oriente,841,848,Q205653,LOC,exact,
p2734_1,grecia,902,908,Q11772,LOC,exact,
p2734_1,Maffei,323,329,Q1587432,PER,partial,
p2734_1,Africano,405,413,Q317014,PER,partial,
p2734_1,Eusebio,418,425,Q142999,PER,partial,
p2722_1,Parma,1364,1369,Q2683,LOC,exact,
p2722_1,Abate,1184,1189,Q19357820,PER,partial,
p2722_1,Colombo,1190,1197,Q19357820,PER,partial,
p2722_1,Abate,1348,1353,Q19357820,PER,partial,
p2722_1,Colombo,1354,1361,Q19357820,PER,partial,
p2778_1,Ammon,1699,1704,Q695923,PER,levenshtein,ammonio
p2778_1,Plat,1751,1755,Q859,PER,levenshtein,platone
p2778_1,Demost,1762,1768,Q117253,PER,levenshtein,demostene
p2783_1,francia,118,125,Q142,LOC,exact,
p2783_1,Perticari,745,754,Q3769747,PER,partial,
p2728_1,Aristotele,612,622,Q868,PER,exact,
p2728_1,Teofrasto,628,637,Q160362,PER,exact,
p2728_1,Domini,2633,2639,Q520487,PER,levenshtein,solino
p2757_2,Virgilio,855,863,Q1398,PER,exact,
p2757_2,Bartoli,552,559,Q2283604,PER,partial,
p2792_1,Amstel.,884,891,Q727,LOC,exact,
p2792_1,Luciano,870,877,Q177847,PER,partial,
p2790_1,Omero,1228,1233,Q6691,PER,exact,
p2790_1,Dante,1273,1278,Q1067,PER,exact,
p2790_1,Monti,1299,1304,Q723643,PER,partial,
p2881_1,Giovanni Silvestri,208,226,Q16938780,PER,exact,
p2840_1,Ennio,928,933,Q47130,PER,exact,
p2840_1,Lucrezio,981,989,Q47154,PER,exact,
p2840_1,Catone,1014,1020,Q180081,PER,partial,
p2840_1,Cincio,1022,1028,Q867394,PER,partial,
p2809_1,Marca,671,676,Q1279,LOC,exact,
p2809_1,Torino,1212,1218,Q495,LOC,exact,
p2809_1,Ven.,1682,1686,Q641,LOC,exact,
p2809_1,Comin da Trino,1691,1705,Q59629485,PER,exact,
p2809_1,Papa,1136,1140,Q49237,PER,partial,
p2809_1,Prose,1193,1198,Q2635090,PER,levenshtein,roscoe
p2890_2,Homeri,352,358,Q6691,PER,levenshtein,omero
p2865_3,Crisostomo,452,462,Q43706,PER,partial,
p2865_3,Plat.,672,677,Q859,PER,levenshtein,platone
p2821_3,Festo,30,35,Q302723,PER,partial,
p2821_3,Festo,1336,1341,Q302723,PER,partial,
p2813_1,Virgilio,1155,1163,Q1398,PER,exact,
p2893_1,Orazio,189,195,Q6197,PER,exact,
p2815_1,Forcellini,239,249,Q550353,PER,partial,
p2865_1,de' Conti,187,196,Q3771771,PER,partial,
p2859_1,Canova,2003,2009,Q5547,PER,partial,
p2882_1,Festo,637,642,Q302723,PER,partial,
p2882_1,Agostino,992,1000,Q8018,PER,partial,
p2876_2,Rom.,2910,2914,Q220,LOC,exact,
p2876_2,Marziano Capella,1220,1236,Q348408,PER,exact,
p2876_2,Gellio,1117,1123,Q294800,PER,exact,
p2876_2,Vitruvio,1157,1165,Q47163,PER,exact,
p2876_2,Censorino,1189,1198,Q707449,PER,exact,
p2876_2,Apuleio,1364,1371,Q170512,PER,exact,
p2876_2,Vitruvio,1656,1664,Q47163,PER,exact,
p2876_2,Marziale,1693,1701,Q2098,PER,exact,
p2876_2,Apuleio,2075,2082,Q170512,PER,exact,
p2876_2,Seneca,2101,2107,Q2054,PER,exact,
p2876_2,Ausonio,2187,2194,Q234593,PER,exact,
