id,surface,type,start_pos,end_pos,left_context,right_context
p4103_5,Guicc.,PER,30,36,"Altro per nulla, cosa alcuna. ", t. 4. p. 50. edizione di Friburgo: innanzi tentasse altro: * e non aveva ancora tentato niente. (23. Giugno. Vigilia di S. Giovanni Battista. 1824.)
p480_1,Heinsio,PER,405,412,"Che il nostro pensare non sia altro che il pensare latino, perduto il significato proprio, e conservato il metaforico di ponderare col pensiero, come appunto il ponderare latino e italiano oggidì non ritiene se non la significazione traslata di considerare o meditare; e come gli antichi latini adoperassero veramente il loro pensare in maniera similissima alla presente italiana, vedilo in una nota dell'"," a Velleio II. 129. sect. 2. Consulta ancora il Forcellini, e l'Appendice."
p480_1,Forcellini,PER,460,470,"Che il nostro pensare non sia altro che il pensare latino, perduto il significato proprio, e conservato il metaforico di ponderare col pensiero, come appunto il ponderare latino e italiano oggidì non ritiene se non la significazione traslata di considerare o meditare; e come gli antichi latini adoperassero veramente il loro pensare in maniera similissima alla presente italiana, vedilo in una nota dell'Heinsio a Velleio II. 129. sect. 2. Consulta ancora il ",", e l'Appendice."
p983_3,Paolino,PER,46,53,Un nostro missionario * (cioè italiano) il P. ," da S. Bartolomeo, mostrò l'affinità della lingua tedesca con una lingua indiana non solo, ma che da una lunga serie di secoli ha cessato di essere vernacola, con la samscrdamica * (cioè sascrita: così la nomina anche p. 208. samscrdamica) che è la madre di tutte le lingue delle Indie. * Bibliot. Ital. vol. 8. p. 206. (25. Aprile 1821.)."
p983_3,S. Bartolomeo,LOC,57,70,Un nostro missionario * (cioè italiano) il P. Paolino da ,", mostrò l'affinità della lingua tedesca con una lingua indiana non solo, ma che da una lunga serie di secoli ha cessato di essere vernacola, con la samscrdamica * (cioè sascrita: così la nomina anche p. 208. samscrdamica) che è la madre di tutte le lingue delle Indie. * Bibliot. Ital. vol. 8. p. 206. (25. Aprile 1821.)."
p501_1,Crate Cinico,PER,176,188,"Alla p. 497. Ἔρωτα παύειλιμὸς, εἰ δὲ μὴ, χρόνος Ἐὰν δὲ τούτοις μὴ δύνῃ χρῆσθαι, βρόχος. * Amorem sedat fames; sin minus, tempus: Eis vero si uti non vales, laqueus. * Detto di "," presso il Laerzio (VI. 86. in Cratete Thebano) mentovato anche da altri scrittori, e riferito con qualche diversità da Stobeo, e da Suida. V. il Menagio e l'Aldobrandini. (13. Gen. 1821.). "
p501_1,Suida,PER,321,326,"Alla p. 497. Ἔρωτα παύειλιμὸς, εἰ δὲ μὴ, χρόνος Ἐὰν δὲ τούτοις μὴ δύνῃ χρῆσθαι, βρόχος. * Amorem sedat fames; sin minus, tempus: Eis vero si uti non vales, laqueus. * Detto di Crate Cinico presso il Laerzio (VI. 86. in Cratete Thebano) mentovato anche da altri scrittori, e riferito con qualche diversità da Stobeo, e da ",. V. il Menagio e l'Aldobrandini. (13. Gen. 1821.). 
p501_1,Aldobrandini,PER,346,358,"Alla p. 497. Ἔρωτα παύειλιμὸς, εἰ δὲ μὴ, χρόνος Ἐὰν δὲ τούτοις μὴ δύνῃ χρῆσθαι, βρόχος. * Amorem sedat fames; sin minus, tempus: Eis vero si uti non vales, laqueus. * Detto di Crate Cinico presso il Laerzio (VI. 86. in Cratete Thebano) mentovato anche da altri scrittori, e riferito con qualche diversità da Stobeo, e da Suida. V. il Menagio e l'",. (13. Gen. 1821.). 
p88_1,Corinna,PER,143,150,"﻿ 88 Je vous l'ai dit souvent, la douleur me tuerait; il y a trop de lutte en moi contre elle; il faut lui céder pour n'en pas mourir * , dice "," presso la Staël liv. 14. ch. 3. t. 2. p. 361. dell'edizione citata qui dietro. E da questo venia che gli antichi al carattere dei quali l'autrice ha voluto ravvicinare quello di Corinna quanto era compatibile coi costumi e la filosofia moderna di cui l'arricchisce a piena mano, erano vinti dall'infelicità in modo che esprimevano la loro disperazione cogli atti e le azioni più terribili, e la sventura li mandava fuori di se stessi, e gli uccideva. Quel se réposer sur sa douleur * , quel piacere perfino provato dai moderni per la stessa sventura e {per} la considerazione di essere sventurato, era cosa ignota a quelli che secondo l'istinto della natura non ancora del tutto alterata, correvano sempre dritto alla felicità, non come a un fantasma, ma cosa reale, e trovavano il loro diletto dove la natura primitivamente l'ha posto, cioè nella buona e non nella cattiva fortuna, la quale quando loro sopravvenniva, la riguardavano come propria, non come universale e inevitabile. Nè il desiderio della felicità era in essi temperato e rintuzzato e illanguidito da nessuna considerazione e da nessuna filosofia. Perciò tanto più formidabile era l'effetto di quanto impediva loro l'adempimento di questo desiderio."
p88_1,Corinna,PER,329,336,"﻿ 88 Je vous l'ai dit souvent, la douleur me tuerait; il y a trop de lutte en moi contre elle; il faut lui céder pour n'en pas mourir * , dice Corinna presso la Staël liv. 14. ch. 3. t. 2. p. 361. dell'edizione citata qui dietro. E da questo venia che gli antichi al carattere dei quali l'autrice ha voluto ravvicinare quello di "," quanto era compatibile coi costumi e la filosofia moderna di cui l'arricchisce a piena mano, erano vinti dall'infelicità in modo che esprimevano la loro disperazione cogli atti e le azioni più terribili, e la sventura li mandava fuori di se stessi, e gli uccideva. Quel se réposer sur sa douleur * , quel piacere perfino provato dai moderni per la stessa sventura e {per} la considerazione di essere sventurato, era cosa ignota a quelli che secondo l'istinto della natura non ancora del tutto alterata, correvano sempre dritto alla felicità, non come a un fantasma, ma cosa reale, e trovavano il loro diletto dove la natura primitivamente l'ha posto, cioè nella buona e non nella cattiva fortuna, la quale quando loro sopravvenniva, la riguardavano come propria, non come universale e inevitabile. Nè il desiderio della felicità era in essi temperato e rintuzzato e illanguidito da nessuna considerazione e da nessuna filosofia. Perciò tanto più formidabile era l'effetto di quanto impediva loro l'adempimento di questo desiderio."
p4201_1,4201,PER,2,6,﻿ ," Volere per μέλλειν. Anguillara, Metam. l. 4. st. 105. (Bologna. 16. Sett. 1826.)"
p4201_1,Volere,PER,7,13,﻿ 4201 ," per μέλλειν. Anguillara, Metam. l. 4. st. 105. (Bologna. 16. Sett. 1826.)"
p4201_1,μέλλειν,PER,18,25,﻿ 4201 Volere per ,". Anguillara, Metam. l. 4. st. 105. (Bologna. 16. Sett. 1826.)"
p4201_1,Anguillara,LOC,27,37,﻿ 4201 Volere per μέλλειν. ,", Metam. l. 4. st. 105. (Bologna. 16. Sett. 1826.)"
p4201_1,Metam.,LOC,39,45,"﻿ 4201 Volere per μέλλειν. Anguillara, ", l. 4. st. 105. (Bologna. 16. Sett. 1826.)
p3988_2,Dium,PER,227,231,"Il v non è che aspirazione ec. Del Digamma eolico v. la Gramm. del Weller, Lips. 1756. p. 65.- È uso della lingua italiana l'omettere o l'aggiungere il v nei nomi, massime aggettivi in ío. {Così in latino: p. e. v. Forcell. in ",". E certo da δῖος dev'essere divus; e v. Forc. in Divus.} Nel dire ío o ivo spessissimo vária sì la lingua scritta da se stessa (natio - nativo), sì il volgare dalla scritta (stantio, volg. stantivo, e viceversa in altri casi) e da se stesso, sì l'italiano scritto o parlato o entrambo dall'altre lingue, sì dalla latina o dall'originaria della rispettiva parola (joli - giulivo per giulío, che ﻿ 3989 anche si disse anticamente, oggi è perduto affatto) sì da altre (rétif - rétive - restio), e viceversa queste dalla nostra, e tra loro, e in se stesse ec. (16. Dec. 1823.)."
p3988_2,Divus,PER,281,286,"Il v non è che aspirazione ec. Del Digamma eolico v. la Gramm. del Weller, Lips. 1756. p. 65.- È uso della lingua italiana l'omettere o l'aggiungere il v nei nomi, massime aggettivi in ío. {Così in latino: p. e. v. Forcell. in Dium. E certo da δῖος dev'essere divus; e v. Forc. in ",".} Nel dire ío o ivo spessissimo vária sì la lingua scritta da se stessa (natio - nativo), sì il volgare dalla scritta (stantio, volg. stantivo, e viceversa in altri casi) e da se stesso, sì l'italiano scritto o parlato o entrambo dall'altre lingue, sì dalla latina o dall'originaria della rispettiva parola (joli - giulivo per giulío, che ﻿ 3989 anche si disse anticamente, oggi è perduto affatto) sì da altre (rétif - rétive - restio), e viceversa queste dalla nostra, e tra loro, e in se stesse ec. (16. Dec. 1823.)."
p3988_2,δῖος,PER,244,248,"Il v non è che aspirazione ec. Del Digamma eolico v. la Gramm. del Weller, Lips. 1756. p. 65.- È uso della lingua italiana l'omettere o l'aggiungere il v nei nomi, massime aggettivi in ío. {Così in latino: p. e. v. Forcell. in Dium. E certo da "," dev'essere divus; e v. Forc. in Divus.} Nel dire ío o ivo spessissimo vária sì la lingua scritta da se stessa (natio - nativo), sì il volgare dalla scritta (stantio, volg. stantivo, e viceversa in altri casi) e da se stesso, sì l'italiano scritto o parlato o entrambo dall'altre lingue, sì dalla latina o dall'originaria della rispettiva parola (joli - giulivo per giulío, che ﻿ 3989 anche si disse anticamente, oggi è perduto affatto) sì da altre (rétif - rétive - restio), e viceversa queste dalla nostra, e tra loro, e in se stesse ec. (16. Dec. 1823.)."
p3988_2,divus,PER,260,265,"Il v non è che aspirazione ec. Del Digamma eolico v. la Gramm. del Weller, Lips. 1756. p. 65.- È uso della lingua italiana l'omettere o l'aggiungere il v nei nomi, massime aggettivi in ío. {Così in latino: p. e. v. Forcell. in Dium. E certo da δῖος dev'essere ","; e v. Forc. in Divus.} Nel dire ío o ivo spessissimo vária sì la lingua scritta da se stessa (natio - nativo), sì il volgare dalla scritta (stantio, volg. stantivo, e viceversa in altri casi) e da se stesso, sì l'italiano scritto o parlato o entrambo dall'altre lingue, sì dalla latina o dall'originaria della rispettiva parola (joli - giulivo per giulío, che ﻿ 3989 anche si disse anticamente, oggi è perduto affatto) sì da altre (rétif - rétive - restio), e viceversa queste dalla nostra, e tra loro, e in se stesse ec. (16. Dec. 1823.)."
p3988_2,natio,PER,360,365,"Il v non è che aspirazione ec. Del Digamma eolico v. la Gramm. del Weller, Lips. 1756. p. 65.- È uso della lingua italiana l'omettere o l'aggiungere il v nei nomi, massime aggettivi in ío. {Così in latino: p. e. v. Forcell. in Dium. E certo da δῖος dev'essere divus; e v. Forc. in Divus.} Nel dire ío o ivo spessissimo vária sì la lingua scritta da se stessa ("," - nativo), sì il volgare dalla scritta (stantio, volg. stantivo, e viceversa in altri casi) e da se stesso, sì l'italiano scritto o parlato o entrambo dall'altre lingue, sì dalla latina o dall'originaria della rispettiva parola (joli - giulivo per giulío, che ﻿ 3989 anche si disse anticamente, oggi è perduto affatto) sì da altre (rétif - rétive - restio), e viceversa queste dalla nostra, e tra loro, e in se stesse ec. (16. Dec. 1823.)."
p3988_2,nativo,PER,368,374,"Il v non è che aspirazione ec. Del Digamma eolico v. la Gramm. del Weller, Lips. 1756. p. 65.- È uso della lingua italiana l'omettere o l'aggiungere il v nei nomi, massime aggettivi in ío. {Così in latino: p. e. v. Forcell. in Dium. E certo da δῖος dev'essere divus; e v. Forc. in Divus.} Nel dire ío o ivo spessissimo vária sì la lingua scritta da se stessa (natio - ","), sì il volgare dalla scritta (stantio, volg. stantivo, e viceversa in altri casi) e da se stesso, sì l'italiano scritto o parlato o entrambo dall'altre lingue, sì dalla latina o dall'originaria della rispettiva parola (joli - giulivo per giulío, che ﻿ 3989 anche si disse anticamente, oggi è perduto affatto) sì da altre (rétif - rétive - restio), e viceversa queste dalla nostra, e tra loro, e in se stesse ec. (16. Dec. 1823.)."
p3988_2,volgare,PER,383,390,"Il v non è che aspirazione ec. Del Digamma eolico v. la Gramm. del Weller, Lips. 1756. p. 65.- È uso della lingua italiana l'omettere o l'aggiungere il v nei nomi, massime aggettivi in ío. {Così in latino: p. e. v. Forcell. in Dium. E certo da δῖος dev'essere divus; e v. Forc. in Divus.} Nel dire ío o ivo spessissimo vária sì la lingua scritta da se stessa (natio - nativo), sì il "," dalla scritta (stantio, volg. stantivo, e viceversa in altri casi) e da se stesso, sì l'italiano scritto o parlato o entrambo dall'altre lingue, sì dalla latina o dall'originaria della rispettiva parola (joli - giulivo per giulío, che ﻿ 3989 anche si disse anticamente, oggi è perduto affatto) sì da altre (rétif - rétive - restio), e viceversa queste dalla nostra, e tra loro, e in se stesse ec. (16. Dec. 1823.)."
p3988_2,scritta,PER,338,345,"Il v non è che aspirazione ec. Del Digamma eolico v. la Gramm. del Weller, Lips. 1756. p. 65.- È uso della lingua italiana l'omettere o l'aggiungere il v nei nomi, massime aggettivi in ío. {Così in latino: p. e. v. Forcell. in Dium. E certo da δῖος dev'essere divus; e v. Forc. in Divus.} Nel dire ío o ivo spessissimo vária sì la lingua "," da se stessa (natio - nativo), sì il volgare dalla scritta (stantio, volg. stantivo, e viceversa in altri casi) e da se stesso, sì l'italiano scritto o parlato o entrambo dall'altre lingue, sì dalla latina o dall'originaria della rispettiva parola (joli - giulivo per giulío, che ﻿ 3989 anche si disse anticamente, oggi è perduto affatto) sì da altre (rétif - rétive - restio), e viceversa queste dalla nostra, e tra loro, e in se stesse ec. (16. Dec. 1823.)."
p3988_2,scritta,PER,397,404,"Il v non è che aspirazione ec. Del Digamma eolico v. la Gramm. del Weller, Lips. 1756. p. 65.- È uso della lingua italiana l'omettere o l'aggiungere il v nei nomi, massime aggettivi in ío. {Così in latino: p. e. v. Forcell. in Dium. E certo da δῖος dev'essere divus; e v. Forc. in Divus.} Nel dire ío o ivo spessissimo vária sì la lingua scritta da se stessa (natio - nativo), sì il volgare dalla "," (stantio, volg. stantivo, e viceversa in altri casi) e da se stesso, sì l'italiano scritto o parlato o entrambo dall'altre lingue, sì dalla latina o dall'originaria della rispettiva parola (joli - giulivo per giulío, che ﻿ 3989 anche si disse anticamente, oggi è perduto affatto) sì da altre (rétif - rétive - restio), e viceversa queste dalla nostra, e tra loro, e in se stesse ec. (16. Dec. 1823.)."
p3988_2,lingua,PER,107,113,"Il v non è che aspirazione ec. Del Digamma eolico v. la Gramm. del Weller, Lips. 1756. p. 65.- È uso della "," italiana l'omettere o l'aggiungere il v nei nomi, massime aggettivi in ío. {Così in latino: p. e. v. Forcell. in Dium. E certo da δῖος dev'essere divus; e v. Forc. in Divus.} Nel dire ío o ivo spessissimo vária sì la lingua scritta da se stessa (natio - nativo), sì il volgare dalla scritta (stantio, volg. stantivo, e viceversa in altri casi) e da se stesso, sì l'italiano scritto o parlato o entrambo dall'altre lingue, sì dalla latina o dall'originaria della rispettiva parola (joli - giulivo per giulío, che ﻿ 3989 anche si disse anticamente, oggi è perduto affatto) sì da altre (rétif - rétive - restio), e viceversa queste dalla nostra, e tra loro, e in se stesse ec. (16. Dec. 1823.)."
p3988_2,lingua,PER,331,337,"Il v non è che aspirazione ec. Del Digamma eolico v. la Gramm. del Weller, Lips. 1756. p. 65.- È uso della lingua italiana l'omettere o l'aggiungere il v nei nomi, massime aggettivi in ío. {Così in latino: p. e. v. Forcell. in Dium. E certo da δῖος dev'essere divus; e v. Forc. in Divus.} Nel dire ío o ivo spessissimo vária sì la "," scritta da se stessa (natio - nativo), sì il volgare dalla scritta (stantio, volg. stantivo, e viceversa in altri casi) e da se stesso, sì l'italiano scritto o parlato o entrambo dall'altre lingue, sì dalla latina o dall'originaria della rispettiva parola (joli - giulivo per giulío, che ﻿ 3989 anche si disse anticamente, oggi è perduto affatto) sì da altre (rétif - rétive - restio), e viceversa queste dalla nostra, e tra loro, e in se stesse ec. (16. Dec. 1823.)."
