id,surface,type,start_pos,end_pos,left_context,right_context
p2739_1,Repub.,LOC,199,205,"[2739,1] Opra sincope di opera si trova in Ennio (ap. Forcell. v. opera, fin.), come nei nostri poeti opra e ﻿ 2740 oprare e adoprare ec. Tan alla spagnuola per tam nel cod. antichissimo di Cic., de ", l. 1. c. 9. p. 26. ed. Rom. 1822. dove vedi la nota del Mai. (3 Giugno. 1823.).
p2731_2,imperio,LOC,174,181,"[2731,2] In proposito della prontissima decadenza della letteratura latina, e della lunghissima conservazione della greca, è cosa molto notabile, come dopo Tacito, cioè dall'"," di Vespasiano in poi (fino al quale si stendono le ﻿ 2732 sue storie) la storia latina restò in mano dei greci, e le azioni nostre furono narrate da Appiano, Dione, Erodiano, anche prima della traslocazione dell'imperio a Constantinopoli, e dopo questa da Procopio, Agazia, Zosimo ec. Senza i quali la storia del nostro impero da Vespasiano in poi, sarebbe quasi cieca, non avendo altri scrittori latini che quei miserabili delle Vite degli Augusti, piene di errori di fatto, di negligenza, di barbarie, e Ammiano non meno barbaro, per non dir di Orosio e d'altri tali più miserabili ancora. Così quella nazione che ne' tempi suoi più floridi aveva narrato le sue proprie cose, e i suoi splendidissimi gesti, e le sue altissime fortune, e forse prima d'ogni altra, aveva dato in Erodoto l'esempio e l'ammaestramento di questo genere di scrittura; dopo tanti secoli, quando già non restava se non la lontana memoria della sua grandezza, estinto il suo imperio e la sua potenza, fatta ﻿ 2733 suddita di un popolo che quando ella scriveva le sue proprie storie, ancora non conosceva, seguiva pure ad essere l'istrumento della memoria dei secoli, e i casi del genere umano e di quello stesso popolo dominante che l'aveva ingoiata, ed annullato da gran tempo la sua esistenza politica, erano confidati unicamente alle sue penne. Tanto può la civilizzazione, e tanto è vero che la civilizzazione della grecia ebbe una prodigiosa durata, e vide nascere e morire quella degli altri popoli (anche grandissimi), i quali erano infanti, anzi ignoti, quand'ella era matura e parlava e scriveva; e giunsero alla vecchiezza e alla morte, durando ancora la sua maturità, e parlando essa tuttavia e scrivendo. Veramente la grecia si trovò sola civile nel mondo ai più antichi tempi, e senza mai perdere la sua civiltà, dopo immense vicissitudini di casi, così universali ﻿ 2734 come proprie, dopo aver veduto passare l'intera favola del più grande impero, che nella di lei giovanezza non era ancor nato; dopo aver communicata la sua civiltà a cento altri popoli, e vedutala in questi fiorire e cadere, tornò un'altra volta, in tempi che si possono chiamar moderni, a trovarsi sola civile nel mondo, e nuovamente da lei uscirono i lumi e gli aiuti che incominciarono la nuova e moderna civiltà nelle altre nazioni."
p2731_2,imperio,LOC,394,401,"[2731,2] In proposito della prontissima decadenza della letteratura latina, e della lunghissima conservazione della greca, è cosa molto notabile, come dopo Tacito, cioè dall'imperio di Vespasiano in poi (fino al quale si stendono le ﻿ 2732 sue storie) la storia latina restò in mano dei greci, e le azioni nostre furono narrate da Appiano, Dione, Erodiano, anche prima della traslocazione dell'"," a Constantinopoli, e dopo questa da Procopio, Agazia, Zosimo ec. Senza i quali la storia del nostro impero da Vespasiano in poi, sarebbe quasi cieca, non avendo altri scrittori latini che quei miserabili delle Vite degli Augusti, piene di errori di fatto, di negligenza, di barbarie, e Ammiano non meno barbaro, per non dir di Orosio e d'altri tali più miserabili ancora. Così quella nazione che ne' tempi suoi più floridi aveva narrato le sue proprie cose, e i suoi splendidissimi gesti, e le sue altissime fortune, e forse prima d'ogni altra, aveva dato in Erodoto l'esempio e l'ammaestramento di questo genere di scrittura; dopo tanti secoli, quando già non restava se non la lontana memoria della sua grandezza, estinto il suo imperio e la sua potenza, fatta ﻿ 2733 suddita di un popolo che quando ella scriveva le sue proprie storie, ancora non conosceva, seguiva pure ad essere l'istrumento della memoria dei secoli, e i casi del genere umano e di quello stesso popolo dominante che l'aveva ingoiata, ed annullato da gran tempo la sua esistenza politica, erano confidati unicamente alle sue penne. Tanto può la civilizzazione, e tanto è vero che la civilizzazione della grecia ebbe una prodigiosa durata, e vide nascere e morire quella degli altri popoli (anche grandissimi), i quali erano infanti, anzi ignoti, quand'ella era matura e parlava e scriveva; e giunsero alla vecchiezza e alla morte, durando ancora la sua maturità, e parlando essa tuttavia e scrivendo. Veramente la grecia si trovò sola civile nel mondo ai più antichi tempi, e senza mai perdere la sua civiltà, dopo immense vicissitudini di casi, così universali ﻿ 2734 come proprie, dopo aver veduto passare l'intera favola del più grande impero, che nella di lei giovanezza non era ancor nato; dopo aver communicata la sua civiltà a cento altri popoli, e vedutala in questi fiorire e cadere, tornò un'altra volta, in tempi che si possono chiamar moderni, a trovarsi sola civile nel mondo, e nuovamente da lei uscirono i lumi e gli aiuti che incominciarono la nuova e moderna civiltà nelle altre nazioni."
p2731_2,imperio,LOC,1133,1140,"[2731,2] In proposito della prontissima decadenza della letteratura latina, e della lunghissima conservazione della greca, è cosa molto notabile, come dopo Tacito, cioè dall'imperio di Vespasiano in poi (fino al quale si stendono le ﻿ 2732 sue storie) la storia latina restò in mano dei greci, e le azioni nostre furono narrate da Appiano, Dione, Erodiano, anche prima della traslocazione dell'imperio a Constantinopoli, e dopo questa da Procopio, Agazia, Zosimo ec. Senza i quali la storia del nostro impero da Vespasiano in poi, sarebbe quasi cieca, non avendo altri scrittori latini che quei miserabili delle Vite degli Augusti, piene di errori di fatto, di negligenza, di barbarie, e Ammiano non meno barbaro, per non dir di Orosio e d'altri tali più miserabili ancora. Così quella nazione che ne' tempi suoi più floridi aveva narrato le sue proprie cose, e i suoi splendidissimi gesti, e le sue altissime fortune, e forse prima d'ogni altra, aveva dato in Erodoto l'esempio e l'ammaestramento di questo genere di scrittura; dopo tanti secoli, quando già non restava se non la lontana memoria della sua grandezza, estinto il suo "," e la sua potenza, fatta ﻿ 2733 suddita di un popolo che quando ella scriveva le sue proprie storie, ancora non conosceva, seguiva pure ad essere l'istrumento della memoria dei secoli, e i casi del genere umano e di quello stesso popolo dominante che l'aveva ingoiata, ed annullato da gran tempo la sua esistenza politica, erano confidati unicamente alle sue penne. Tanto può la civilizzazione, e tanto è vero che la civilizzazione della grecia ebbe una prodigiosa durata, e vide nascere e morire quella degli altri popoli (anche grandissimi), i quali erano infanti, anzi ignoti, quand'ella era matura e parlava e scriveva; e giunsero alla vecchiezza e alla morte, durando ancora la sua maturità, e parlando essa tuttavia e scrivendo. Veramente la grecia si trovò sola civile nel mondo ai più antichi tempi, e senza mai perdere la sua civiltà, dopo immense vicissitudini di casi, così universali ﻿ 2734 come proprie, dopo aver veduto passare l'intera favola del più grande impero, che nella di lei giovanezza non era ancor nato; dopo aver communicata la sua civiltà a cento altri popoli, e vedutala in questi fiorire e cadere, tornò un'altra volta, in tempi che si possono chiamar moderni, a trovarsi sola civile nel mondo, e nuovamente da lei uscirono i lumi e gli aiuti che incominciarono la nuova e moderna civiltà nelle altre nazioni."
p2788_1,Omero,LOC,888,893,"[2788,1] Del resto, quando ben si volesse che ἁρπυῖαι fosse participio di ἁρπάω (il che io non credo) fatto per sincope d'ἁρπηκυῖαι, {+(come anche ἑστώς da ἑστηκώς o ἑστακώς o ἑσταώς o ἑστεώς, βεβώς da βεβηκώς o da βεβαώς, βεβρώς da βεβρωκώς o da βεβροώς)} e che il latino rapio non fosse un disusato ἅρπω (supposto dal Visconti) ma questo ἁρπάω, (del quale trovo nel Tusano: ᾿Aρπαω, pro ἁρπάζω, usurpatur, Etym.), resterebbe sempre fermo e che ἁρπυῖαι o ἅρπυιαι fosse in origine un participio ec. e che la lingua latina conservi qui l'antichità più della greca, nella quale quest'ἁρπάω, che sarebbe certo più antico di ἁρπάζω, sarà pur sempre o inusitato o rarissimo, e forse noto per lo ﻿ 2789 solo Etimologico. (14. Giugno. 1823.). Nota che il Visconti, se ben mi ricordo, non cita se non due luoghi dell'odissea, e questi sono, s'io non m'inganno, α, 241. ξ, 371. In due altri luoghi "," usa quella voce, l'uno Odiss. υ, 77. dov'ella sta parimente per le Parche, l'altro Iliade, Π, 150. dov'ella è puro aggettivo d'una cavalla, e viene a dir veloce, benchè gl'interpreti la rendono per Harpyia sostantivo o appellativo, come negli altri luoghi d'Omero. Raptim dicono i latini per cito ec. Così ἅρπυια o ἁρπυῖα per veloce. V. ne' Lessici ἁρπακτικῶς, ἁρπάγδην, ἁρπαλέως, καρπάλιμος, καρπαλίμως, ἀναρπάζω, ἀνάρπαστος[ἀναρπαστός,] ed ἁρπάζω per ὀξέως νοῶ, cito intelligo et mente percipio, quasi mente corripio, usato da Sofocle. V. anche i lessici latini in rapio e suoi derivati e composti. Noi diciamo ratto (cioè raptus) aggettivo e avverbio per veloce, presto ec. Così rattezza, rattamente ec. E i latini rapidus rapido, francese rapide ec. V. lo spagnuolo in questa radice, o in altra metafora di velocità, tolta dal rapire in qualunque sia voce o modo. {V. la Crus. in Rapina §. 1. Rapinosamente Rapinoso, e questi pensieri p. 4165. fin.} (14. Giugno. 1823.)."
p2788_1,Omero,LOC,1152,1157,"[2788,1] Del resto, quando ben si volesse che ἁρπυῖαι fosse participio di ἁρπάω (il che io non credo) fatto per sincope d'ἁρπηκυῖαι, {+(come anche ἑστώς da ἑστηκώς o ἑστακώς o ἑσταώς o ἑστεώς, βεβώς da βεβηκώς o da βεβαώς, βεβρώς da βεβρωκώς o da βεβροώς)} e che il latino rapio non fosse un disusato ἅρπω (supposto dal Visconti) ma questo ἁρπάω, (del quale trovo nel Tusano: ᾿Aρπαω, pro ἁρπάζω, usurpatur, Etym.), resterebbe sempre fermo e che ἁρπυῖαι o ἅρπυιαι fosse in origine un participio ec. e che la lingua latina conservi qui l'antichità più della greca, nella quale quest'ἁρπάω, che sarebbe certo più antico di ἁρπάζω, sarà pur sempre o inusitato o rarissimo, e forse noto per lo ﻿ 2789 solo Etimologico. (14. Giugno. 1823.). Nota che il Visconti, se ben mi ricordo, non cita se non due luoghi dell'odissea, e questi sono, s'io non m'inganno, α, 241. ξ, 371. In due altri luoghi Omero usa quella voce, l'uno Odiss. υ, 77. dov'ella sta parimente per le Parche, l'altro Iliade, Π, 150. dov'ella è puro aggettivo d'una cavalla, e viene a dir veloce, benchè gl'interpreti la rendono per Harpyia sostantivo o appellativo, come negli altri luoghi d'",". Raptim dicono i latini per cito ec. Così ἅρπυια o ἁρπυῖα per veloce. V. ne' Lessici ἁρπακτικῶς, ἁρπάγδην, ἁρπαλέως, καρπάλιμος, καρπαλίμως, ἀναρπάζω, ἀνάρπαστος[ἀναρπαστός,] ed ἁρπάζω per ὀξέως νοῶ, cito intelligo et mente percipio, quasi mente corripio, usato da Sofocle. V. anche i lessici latini in rapio e suoi derivati e composti. Noi diciamo ratto (cioè raptus) aggettivo e avverbio per veloce, presto ec. Così rattezza, rattamente ec. E i latini rapidus rapido, francese rapide ec. V. lo spagnuolo in questa radice, o in altra metafora di velocità, tolta dal rapire in qualunque sia voce o modo. {V. la Crus. in Rapina §. 1. Rapinosamente Rapinoso, e questi pensieri p. 4165. fin.} (14. Giugno. 1823.)."
p2731_1,mezzo,LOC,236,241,"[2731,1] Chiamo qui scienze esatte {#1. Le scienze al tutto esatte nel loro modo di dimostrare e nelle loro cognizioni, proposizioni, parti e dogmi, insegnam. soggetti ec. come sono le matematiche, lo Speroni (Dial.i Ven. 1596. p. 194. ",") le chiama scienze certe * . Generalmente però quelle che io qui intendo, le chiama dimostrative * (p. 160. mezzo. 161. princ. ec. e così ragioni dimostrative * p. 181. opposte alle probabili * e persuasive * o congetturali); il qual nome abbraccia sì le esatte sì le men certe, speculative e morali o materiali ec. che sieno.} tutte quelle che ancorchè non sieno ancora giunte a un cotal grado di perfezione e di certezza, pure di natura loro debbono esser trattate colla maggior possibile esattezza, e non danno luogo all'immaginazione (della quale il Buffon fece grandissimo uso), ma solamente all'esperienza, alla notizia positiva delle cose, al calcolo, alla misura ec. (30. Maggio. 1823.)."
p2731_1,mezzo,LOC,350,355,"[2731,1] Chiamo qui scienze esatte {#1. Le scienze al tutto esatte nel loro modo di dimostrare e nelle loro cognizioni, proposizioni, parti e dogmi, insegnam. soggetti ec. come sono le matematiche, lo Speroni (Dial.i Ven. 1596. p. 194. mezzo) le chiama scienze certe * . Generalmente però quelle che io qui intendo, le chiama dimostrative * (p. 160. ",". 161. princ. ec. e così ragioni dimostrative * p. 181. opposte alle probabili * e persuasive * o congetturali); il qual nome abbraccia sì le esatte sì le men certe, speculative e morali o materiali ec. che sieno.} tutte quelle che ancorchè non sieno ancora giunte a un cotal grado di perfezione e di certezza, pure di natura loro debbono esser trattate colla maggior possibile esattezza, e non danno luogo all'immaginazione (della quale il Buffon fece grandissimo uso), ma solamente all'esperienza, alla notizia positiva delle cose, al calcolo, alla misura ec. (30. Maggio. 1823.)."
p2799_1,Sesto Empirico,LOC,719,733,"[2799,1] Tοὶ δὲ Σκύϑαι καλὸν νομίζοντι, ὃς ἄνδρα κτανών, ἐκδείρας τὰν κεϕαλὰν, τὸ μὲν κόμιον πρὸ τοῦ ἵππου ϕορεῖ, τὸ δ᾽ ὀστέον χρυσώσας καὶ ὠγρυρώσας, πίνει ἐξ αὐτοῦ καὶ σπένδει τοῖς ϑεοῖς∙ ἐν δὲ τοῖς ἕλλασιν οὐδέ κ᾽ ἐς τὰν αὐτὰν οἰκίαν συνεισελϑεῖν βούλοιτ᾽ ἄν τις τοιαῦτα ποιήσαντι. * Scythis quidem honestum, ut cum quis hominem occiderit, capitis, cute divulsa, partem crinitam ante equum gestet, osseam vero auro vel argento obducens, ex illa bibat Diisque ipsis libamina fundat. Graecorum autem nullus easdem aedes ingredi vellet una cum viro, qui tale quid fecerit. * (Ex versione Io. Northi). ﻿ 2800 Scrittore incerto di alcune διαλέξεις in dialetto Dorico, che si trovano sovente nei Codici appiè de' libri di ",", e furono pubblicate da Enrico Stefano tra i frammenti de' Pitagorici, e dal Fabricio, B. G. edit. vet. vol. 12. p. 617-35. lib. 6. cap. 7. §. 6. Il Fabricio le chiama Disputationes Antiscepticae, ma in verità sono anzi esercitazioni scettiche in ciascuna delle quali si sostiene il pro e il contra, e questo vuol dire il titolo ch'è premesso a queste διαλέξεις nel Codice Cizense, e riferito dal Fabricio p. 617. {+nel qual titolo queste διαλέξεις sono chiamate ὑπομνήματα πρὸς ἀντίῤῥησιν.} Il soprascritto passo è nella seconda διάλεξις, intitolata περὶ καλῶ καὶ αἰσχρῶ, ap. Fabric. l. c. p. 622. (21. Giugno 1823.)."
p2809_1,Trino di Monferrato,LOC,1700,1719,"[2809,1] Io non so quali abbiano ragione intorno all'origine del verbo latino accuso, o quelli che lo derivano da causa, o quelli che lo fanno venire da un verbo cuso continuativo di cudere, del qual cuso non recano però nessuno esempio. (V. Forcell. v. accuso fin. e v. cuso) Forse a questi ultimi potrebbe esser favorevole il nostro antico cusare, il quale se venisse da cuso e non da causari, o se non fosse uno storpiamento d'accusare, sarebbe un antichissimo tema perduto {o disusato} nel latino scritto, e conservato nell'italiano; e sarebbe il semplice dei verbi composti accuso, incuso, {excuso,} recuso. È da notare però che il nostro volgo (almeno quello della Marca) usa il verbo causare nel significato appunto del nostro antico cusare, e del latino causari, cioè in senso, {non di cagionare, ma} di recare per cagione o come ﻿ 2810 cagione, accagionare: l'usa dico in questa frase avverbiale causando che, cioè atteso che, poichè. Il qual significato di causare e il qual modo avverbiale non è notato dalla Crusca, ma trovasi pure usato da Lorenzo de' Medici nella famosa lettera a Gio. de' Medici Card. suo figliuolo, poi Papa Leone X, verso il fine, dove però nella raccolta di Prose, stampata in Torino 1753. vol. 2. p. 782. trovo cagionando che per causando che, che sta nelle Lettere di diversi eccellentissimi huomini, raccolte dal Dolce, Venez. appresso Gabriel Giolito de' Ferrari et fratelli 1554. p. 303. e nelle Lettere volgari di diversi nobilissimi huomini et eccellentissimi ingegni stampate da Paolo Manuzio in Venez. 1544. carte 6. p. 2. (In ogni modo anche la frase avverbiale cagionando che manca nella Crusca) Nelle Lettere di XIII Huomini illustri, Ven. per Comin da "," 1561. p. 485. trovo pensando che. Vedi il Magnifico di Roscoe, dove quella lettera è riportata."
