id,surface,type,start_pos,end_pos,left_context,right_context
p4103_5,Guicc.,PER,30,36,"Altro per nulla, cosa alcuna. ", t. 4. p. 50. edizione di Friburgo: innanzi tentasse altro: * e non aveva ancora tentato niente. (23. Giugno. Vigilia di S. Giovanni Battista. 1824.)
p4103_5,Friburgo,LOC,62,70,"Altro per nulla, cosa alcuna. Guicc. t. 4. p. 50. edizione di ",: innanzi tentasse altro: * e non aveva ancora tentato niente. (23. Giugno. Vigilia di S. Giovanni Battista. 1824.)
p57_1,Dante,PER,662,667,"﻿ 57 S'è osservato che è proprietà degli antichi poeti ed artisti il lasciar molto alla fantasia ed al cuore del lettore o spettatore. Questo però non si deve prendere per una proprietà isolata ma per un effetto semplicissimo e naturale e necessario della naturalezza con cui nel descrivere imitare ec. lasciano le minuzie e l'enumerazione delle parti tanto familiare ai moderni descrivendo solo il tutto con disinvoltura, e come chi narra non come chi vuole manifestamente dipingere muovere ec. Nella stessa maniera Ovidio il cui modo di dipingere è l'enumerare (come i moderni descrittivi sentimentali ec.) non lascia quasi niente {a fare} al lettore, laddove "," che con due parole desta un'immagine lascia molto a fare alla fantasia, ma dico a fare non già faticare, giacchè ella spontaneamente concepisce quell'immagine e aggiunge quello che manca ai tratti del poeta che son tali da richiamar quasi necessariamente l'idea del tutto. E così presso gli antichi in ogni genere d'imitazione della natura."
p480_1,Heinsio,PER,405,412,"Che il nostro pensare non sia altro che il pensare latino, perduto il significato proprio, e conservato il metaforico di ponderare col pensiero, come appunto il ponderare latino e italiano oggidì non ritiene se non la significazione traslata di considerare o meditare; e come gli antichi latini adoperassero veramente il loro pensare in maniera similissima alla presente italiana, vedilo in una nota dell'"," a Velleio II. 129. sect. 2. Consulta ancora il Forcellini, e l'Appendice."
p480_1,Velleio,PER,415,422,"Che il nostro pensare non sia altro che il pensare latino, perduto il significato proprio, e conservato il metaforico di ponderare col pensiero, come appunto il ponderare latino e italiano oggidì non ritiene se non la significazione traslata di considerare o meditare; e come gli antichi latini adoperassero veramente il loro pensare in maniera similissima alla presente italiana, vedilo in una nota dell'Heinsio a "," II. 129. sect. 2. Consulta ancora il Forcellini, e l'Appendice."
p480_1,Forcellini,PER,460,470,"Che il nostro pensare non sia altro che il pensare latino, perduto il significato proprio, e conservato il metaforico di ponderare col pensiero, come appunto il ponderare latino e italiano oggidì non ritiene se non la significazione traslata di considerare o meditare; e come gli antichi latini adoperassero veramente il loro pensare in maniera similissima alla presente italiana, vedilo in una nota dell'Heinsio a Velleio II. 129. sect. 2. Consulta ancora il ",", e l'Appendice."
p983_3,Paolino,PER,46,53,Un nostro missionario * (cioè italiano) il P. ," da S. Bartolomeo, mostrò l'affinità della lingua tedesca con una lingua indiana non solo, ma che da una lunga serie di secoli ha cessato di essere vernacola, con la samscrdamica * (cioè sascrita: così la nomina anche p. 208. samscrdamica) che è la madre di tutte le lingue delle Indie. * Bibliot. Ital. vol. 8. p. 206. (25. Aprile 1821.)."
p983_3,S. Bartolomeo,LOC,57,70,Un nostro missionario * (cioè italiano) il P. Paolino da ,", mostrò l'affinità della lingua tedesca con una lingua indiana non solo, ma che da una lunga serie di secoli ha cessato di essere vernacola, con la samscrdamica * (cioè sascrita: così la nomina anche p. 208. samscrdamica) che è la madre di tutte le lingue delle Indie. * Bibliot. Ital. vol. 8. p. 206. (25. Aprile 1821.)."
p983_3,Indie,LOC,333,338,"Un nostro missionario * (cioè italiano) il P. Paolino da S. Bartolomeo, mostrò l'affinità della lingua tedesca con una lingua indiana non solo, ma che da una lunga serie di secoli ha cessato di essere vernacola, con la samscrdamica * (cioè sascrita: così la nomina anche p. 208. samscrdamica) che è la madre di tutte le lingue delle ",. * Bibliot. Ital. vol. 8. p. 206. (25. Aprile 1821.).
p109_1,Orazio,PER,67,73,Baggeo deriva altresì dal latino. V. il mio discorso sulla fama di ,". E il francese planer dal greco πλάνομαι[πλανάομαι], onde anche in latino le stelle erranti si chiamano planetę cioè errabundi, ed è ben verisimile che la parola francese sia derivata (non essendo probabile dal greco) da planari detto forse volgarmente in latino nello stesso senso. E nota in questo proposito i due participi palans, tis, e palatus, a, um errante, segno certo di un antico verbo palari, fatto da πλάνομαι colla metatesi della λ (come da ἅρπω rapio da μορϕὴ forma) e colla conseguente elisione della υ. Buonus per bonus è in Frontone e, e v. le ortografie del Cellario e del Manuzio."
p109_1,Frontone,PER,615,623,"Baggeo deriva altresì dal latino. V. il mio discorso sulla fama di Orazio. E il francese planer dal greco πλάνομαι[πλανάομαι], onde anche in latino le stelle erranti si chiamano planetę cioè errabundi, ed è ben verisimile che la parola francese sia derivata (non essendo probabile dal greco) da planari detto forse volgarmente in latino nello stesso senso. E nota in questo proposito i due participi palans, tis, e palatus, a, um errante, segno certo di un antico verbo palari, fatto da πλάνομαι colla metatesi della λ (come da ἅρπω rapio da μορϕὴ forma) e colla conseguente elisione della υ. Buonus per bonus è in "," e, e v. le ortografie del Cellario e del Manuzio."
p501_1,Crate,PER,176,181,"Alla p. 497. Ἔρωτα παύειλιμὸς, εἰ δὲ μὴ, χρόνος Ἐὰν δὲ τούτοις μὴ δύνῃ χρῆσθαι, βρόχος. * Amorem sedat fames; sin minus, tempus: Eis vero si uti non vales, laqueus. * Detto di "," Cinico presso il Laerzio (VI. 86. in Cratete Thebano) mentovato anche da altri scrittori, e riferito con qualche diversità da Stobeo, e da Suida. V. il Menagio e l'Aldobrandini. (13. Gen. 1821.). "
p501_1,Laerzio,PER,199,206,"Alla p. 497. Ἔρωτα παύειλιμὸς, εἰ δὲ μὴ, χρόνος Ἐὰν δὲ τούτοις μὴ δύνῃ χρῆσθαι, βρόχος. * Amorem sedat fames; sin minus, tempus: Eis vero si uti non vales, laqueus. * Detto di Crate Cinico presso il "," (VI. 86. in Cratete Thebano) mentovato anche da altri scrittori, e riferito con qualche diversità da Stobeo, e da Suida. V. il Menagio e l'Aldobrandini. (13. Gen. 1821.). "
p501_1,Crate Cinico,PER,176,188,"Alla p. 497. Ἔρωτα παύειλιμὸς, εἰ δὲ μὴ, χρόνος Ἐὰν δὲ τούτοις μὴ δύνῃ χρῆσθαι, βρόχος. * Amorem sedat fames; sin minus, tempus: Eis vero si uti non vales, laqueus. * Detto di "," presso il Laerzio (VI. 86. in Cratete Thebano) mentovato anche da altri scrittori, e riferito con qualche diversità da Stobeo, e da Suida. V. il Menagio e l'Aldobrandini. (13. Gen. 1821.). "
p501_1,Stobeo,PER,308,314,"Alla p. 497. Ἔρωτα παύειλιμὸς, εἰ δὲ μὴ, χρόνος Ἐὰν δὲ τούτοις μὴ δύνῃ χρῆσθαι, βρόχος. * Amorem sedat fames; sin minus, tempus: Eis vero si uti non vales, laqueus. * Detto di Crate Cinico presso il Laerzio (VI. 86. in Cratete Thebano) mentovato anche da altri scrittori, e riferito con qualche diversità da ",", e da Suida. V. il Menagio e l'Aldobrandini. (13. Gen. 1821.). "
p501_1,Suida,PER,321,326,"Alla p. 497. Ἔρωτα παύειλιμὸς, εἰ δὲ μὴ, χρόνος Ἐὰν δὲ τούτοις μὴ δύνῃ χρῆσθαι, βρόχος. * Amorem sedat fames; sin minus, tempus: Eis vero si uti non vales, laqueus. * Detto di Crate Cinico presso il Laerzio (VI. 86. in Cratete Thebano) mentovato anche da altri scrittori, e riferito con qualche diversità da Stobeo, e da ",. V. il Menagio e l'Aldobrandini. (13. Gen. 1821.). 
