par_id,surface,start,end,wikidata,type,match,pattern
p4226_1,Basil.,154,160,Q78,LOC,exact,
p4226_1,Venet.,196,202,Q641,LOC,exact,
p4226_1,Teletis,35,42,Q2367894,PER,levenshtein,Telete
p4030_5,Francia,138,145,Q142,LOC,exact,
p24_3,Toscana,2626,2633,Q1273,LOC,exact,
p24_3,Orazio,96,102,Q6197,PER,exact,
p24_3,Orazio,1335,1341,Q6197,PER,exact,
p24_3,Orazio,1649,1655,Q6197,PER,exact,
p24_3,Orazio,4190,4196,Q6197,PER,exact,
p24_3,Pindaro,585,592,Q134929,PER,exact,
p24_3,Pindaro,1325,1332,Q134929,PER,exact,
p24_3,Pindaro,2390,2397,Q134929,PER,exact,
p24_3,Pindaro,4230,4237,Q134929,PER,exact,
p24_3,Chiabrera,4702,4711,Q2344301,PER,partial,Gabbriello Chiabrera
p24_3,Gravina,3586,3593,Q727363,PER,partial,Giovanni Vincenzo Gravina
p24_3,Maffei,3618,3624,Q1587432,PER,partial,"Francesco Scipione, marchese di Maffei"
p24_3,Pindarico,67,76,Q134929,PER,levenshtein,Pindaro
p1061_3,Gesù Cristo,87,98,Q302,PER,exact,
p4119_9,Venezia,582,589,Q641,LOC,exact,
p318_1,Rousseau,165,173,Q6527,PER,partial,Jean-Jacques Rousseau
p318_1,Staël,178,183,Q123041,PER,partial,Anne Louise Germaine de Staël
p323_1,Staël,486,491,Q123041,PER,partial,Anne Louise Germaine de Staël
p4241_3,Galilei,102,109,Q307,PER,exact,
p4241_3,Quintiliano,1257,1268,Q193769,PER,exact,
p4241_3,Alfieri,1131,1138,Q296244,PER,partial,Vittorio Amedeo Alfieri
p3486_2,Atene,108,113,Q844930,LOC,exact,
p3486_2,Menandro,577,585,Q118992,PER,exact,
p3486_2,Terenzio,554,562,Q172048,PER,exact,
p1655_2,Cartesio,477,485,Q9191,PER,exact,
p1655_2,Dutens,493,499,Q947504,PER,partial,Louis Dutens
p4248_5,Lattanz,42,49,Q209102,PER,levenshtein,Lattanzio
p2028_1,V. Staël De l'Allemagne,73,96,Q123041,PER,partial,Anne Louise Germaine de Staël
p3643_1,Lapponia,3309,3317,Q212640,LOC,exact,
p3643_1,Russia,3348,3354,Q159,LOC,exact,
p3643_1,Orazio,2834,2840,Q6197,PER,exact,
p32_4,Celso,18,23,Q312420,PER,exact,
p32_4,Celso,491,496,Q312420,PER,exact,
p32_4,Celso,656,661,Q312420,PER,exact,
p32_4,Celso,2471,2476,Q312420,PER,exact,
p32_4,Celso,5388,5393,Q312420,PER,exact,
p1980_1,Celso,396,401,Q312420,PER,exact,
p3687_1,Dante,403,408,Q1067,PER,exact,
p1054_2,V. Sulzer,141,150,Q116036,PER,partial,Johann Georg Sulzer
p4259_4,Roma,73,77,Q220,LOC,exact,
p4259_4,Bartoli,36,43,Q2283604,PER,partial,Daniello Bartoli
p510_1,Floro,6,11,Q316483,PER,exact,
p595_1,Ennio,357,362,Q47130,PER,exact,
p595_1,Stazio,486,492,Q243203,PER,exact,
p595_1,Virgilio,465,473,Q1398,PER,exact,
p2624_2,Patav.,150,156,Q617,LOC,exact,
p2624_2,Lanzi,283,288,Q972400,PER,partial,Luigi Antonio Lanzi
p120_1,Cicerone,462,470,Q1541,PER,exact,
p120_1,Montesquieu,989,1000,Q15975,PER,exact,
p1932_2,Francia,602,609,Q142,LOC,exact,
p1932_2,Francia,1187,1194,Q142,LOC,exact,
p1932_2,Francia,1493,1500,Q142,LOC,exact,
p1932_2,Cicerone,470,478,Q1541,PER,exact,
p1932_2,Orazio,734,740,Q6197,PER,exact,
p1932_2,Thomas,763,769,Q301210,PER,partial,Antoine Léonard Thomas
p4352_3,Maratona,48,56,Q212150,LOC,exact,
p4352_3,Milziade,37,45,Q210350,PER,exact,
p4352_3,Alessandro,203,213,Q8409,PER,partial,Alessandro il Conquistatore
p4352_3,Filippo,192,199,Q130650,PER,partial,Filippo II di Macedonia
p212_3,Montesquieu,313,324,Q15975,PER,exact,
p1021_2,Meli,596,600,Q1280606,PER,partial,Giovanni Meli
p683_1,Antonio Giacomini,23,40,Q88171650,PER,partial,Antonio‏ Giacomini Tebalducci Malespini
p683_1,Antonio Giacomini,461,478,Q88171650,PER,partial,Antonio‏ Giacomini Tebalducci Malespini
p993_1,grecia,146,152,Q11772,LOC,exact,
p993_1,grecia,870,876,Q11772,LOC,exact,
p993_1,grecia,2134,2140,Q11772,LOC,exact,
p993_1,grecia,2442,2448,Q11772,LOC,exact,
p993_1,Scozia,1459,1465,Q22,LOC,exact,
p993_1,Olanda,1470,1476,Q55,LOC,exact,
p993_1,Firenze,1488,1495,Q2044,LOC,exact,
p993_1,roma,2064,2068,Q1747689,LOC,exact,
p993_1,italia,2073,2079,Q38,LOC,exact,
p993_1,india,3862,3867,Q668,LOC,exact,
p993_1,Angiolini,1326,1335,Q3839269,PER,partial,Luigi Angiolini
p993_1,Angiolini,1539,1548,Q3839269,PER,partial,Luigi Angiolini
p4228_4,Artemidoro de somniis,61,82,Q445848,PER,partial,Artemidoro Daldiano
p4228_4,V. Tassoni,123,133,Q475477,PER,partial,Alessandro Tassoni
p4036_4,Giacomini,78,87,Q88171650,PER,partial,Antonio‏ Giacomini Tebalducci Malespini
p4036_4,Nardi,50,55,Q352569,PER,partial,Jacopo Nardi
p44_1,Demostene,204,213,Q117253,PER,exact,
p44_1,Plutarco,177,185,Q41523,PER,exact,
p44_1,Longino,217,224,Q436634,PER,partial,Cassio Dionisio Longino
p4163_9,Bologna,171,178,Q1891,LOC,exact,
p4405_1,Erodoto,190,197,Q26825,PER,exact,
p4246_1,Petrarca,50,58,Q1401,PER,exact,
p4246_1,Guidiccioni,248,259,Q3767458,PER,partial,Giovanni Guidiccioni
p2698_1,Domenico Cavalca,497,513,Q3712952,PER,exact,
p2698_1,Dante,390,395,Q1067,PER,exact,
p2698_1,Passavanti,449,459,Q3805918,PER,partial,Iacopo Passavanti
p4397_1,Achille,15,22,Q41746,PER,exact,
p4397_1,Achille,701,708,Q41746,PER,exact,
p4397_1,Omero,29,34,Q6691,PER,exact,
p4397_1,Omero,156,161,Q6691,PER,exact,
p1558_2,Monti,12,17,Q723643,PER,partial,Vincenzo Monti
p1558_2,Monti,350,355,Q723643,PER,partial,Vincenzo Monti
p4302_3,Dante,75,80,Q1067,PER,exact,
p2360_1,Virgilio,499,507,Q1398,PER,exact,
p2360_1,Virgilio,557,565,Q1398,PER,exact,
p2360_1,Sidonio,45,52,Q905162,PER,levenshtein,Didone
p2360_1,Sidonio,268,275,Q905162,PER,levenshtein,Didone
p983_1,Grecia,374,380,Q11772,LOC,exact,
p983_1,Costantinopoli,467,481,Q16869,LOC,exact,
p983_1,Costantino,44,54,Q8413,PER,exact,
p983_1,Giustiniano,307,318,Q41866,PER,exact,
p983_1,S. Crisostomo,129,142,Q43706,PER,partial,San Giovanni Crisostomo
p983_1,Montfaucon,226,236,Q705306,PER,partial,Bernard de Montfaucon
p324_1,Francia,126,133,Q142,LOC,exact,
p324_1,Luigi,137,142,Q7742,PER,partial,Luigi XIV di Borbone
