par_id,surface,start,end,wikidata,type,match,pattern
p2757_1,Venet.,291,297,Q641,LOC,exact,
p2757_1,Romae,522,527,Q220,LOC,exact,
p2731_2,Constantinopoli,404,419,Q16869,LOC,exact,
p2881_1,Milano,196,202,Q490,LOC,exact,
p2881_1,Argo,291,295,Q189901,LOC,exact,
p2881_1,Italia,335,341,Q38,LOC,exact,
p2881_1,Sicilia,457,464,Q1460,LOC,exact,
p2809_1,Venez.,1358,1364,Q641,LOC,exact,
p2809_1,Venez.,1539,1545,Q641,LOC,exact,
p2869_1,Francia,2924,2931,Q142,LOC,exact,
p2869_1,Francia,3413,3420,Q142,LOC,exact,
p2869_1,Provenza,2991,2999,Q101081,LOC,exact,
p2882_1,Ispagna,1259,1266,Q29,LOC,exact,
p2879_2,Italia,336,342,Q38,LOC,exact,
p2977_1,Cremona,1060,1067,Q6231,LOC,exact,
