doc_id,surface,tag,start_pos,end_pos,left_context,right_context
p2504_1,Dante,PER,836,841,"[2504,1] E non è mica da credere nè che questi barbarismi de' primi e classici scrittori, fossero, a quei tempi, comuni nella loro nazione, ed essi scrittori si lasciassero strascinar dall'uso corrente; ne che gli usassero e introducessero per solo bisogno, o per arricchir ﻿ 2505 la {loro} lingua di parole e modi economicamente utili. Gli usarono, come si può facilmente scoprire, per espresso fine di essere eleganti col mezzo di un parlar pellegrino, e ritirato dal volgare. E sebben furono costretti, volendo essere intesi, a usar gran parte delle voci e modi correnti, e formarne il corpo della loro scrittura, pur molto volentieri e con predilezione s'appigliarono quando poterono alle voci e modi forestieri, per parlare alla peregrina, e per dare al loro modo di dire un non so che di raro, ch'è insomma l'eleganza. E p. e. di ",", si vede chiaramente ch'egli si studiò di parlare a' suoi compatrioti co' modi e vocaboli provenzali, a cagione che la nazion provenzale era allora la più colta, ed aveva una specie di letteratura, abbastanza nota in italia, e che rendeva la lingua provenzale così domestica agl'italiani colti, che le sue parole o frasi, italianizzandole, non erano enigmi ﻿ 2506 per loro, e così poco volgare che le dette voci e frasi non erano ordinariamente nella loro bocca (come non lo sono ora le latine che p. e. i poeti derivano di nuovo nell'italiano, e che tutti intendono), nè in quella del popolo: il quale però eziandio era sufficientemente disposto ad intenderle (senza perdere il piacere del pellegrino) a causa delle canzoni provenzali, amorose ec. ch'andavano molto in giro, e si cantavano ec. Or dunque da queste canzoni, e dalla letteratura e dalla lingua provenzale tirò Dante molte voci e modi per essere elegante: e ci riuscì {allora;} e con tutti questi che oggi si chiamerebbero barbarismi, sì egli, come Omero, e tali altri scrittori primitivi, s'hanno da per tutto per classici, e taluni per eleganti; o se s'hanno per ineleganti, viene piuttosto dall'arcaismo che dal barbarismo."
p2504_1,Dante,PER,1717,1722,"[2504,1] E non è mica da credere nè che questi barbarismi de' primi e classici scrittori, fossero, a quei tempi, comuni nella loro nazione, ed essi scrittori si lasciassero strascinar dall'uso corrente; ne che gli usassero e introducessero per solo bisogno, o per arricchir ﻿ 2505 la {loro} lingua di parole e modi economicamente utili. Gli usarono, come si può facilmente scoprire, per espresso fine di essere eleganti col mezzo di un parlar pellegrino, e ritirato dal volgare. E sebben furono costretti, volendo essere intesi, a usar gran parte delle voci e modi correnti, e formarne il corpo della loro scrittura, pur molto volentieri e con predilezione s'appigliarono quando poterono alle voci e modi forestieri, per parlare alla peregrina, e per dare al loro modo di dire un non so che di raro, ch'è insomma l'eleganza. E p. e. di Dante, si vede chiaramente ch'egli si studiò di parlare a' suoi compatrioti co' modi e vocaboli provenzali, a cagione che la nazion provenzale era allora la più colta, ed aveva una specie di letteratura, abbastanza nota in italia, e che rendeva la lingua provenzale così domestica agl'italiani colti, che le sue parole o frasi, italianizzandole, non erano enigmi ﻿ 2506 per loro, e così poco volgare che le dette voci e frasi non erano ordinariamente nella loro bocca (come non lo sono ora le latine che p. e. i poeti derivano di nuovo nell'italiano, e che tutti intendono), nè in quella del popolo: il quale però eziandio era sufficientemente disposto ad intenderle (senza perdere il piacere del pellegrino) a causa delle canzoni provenzali, amorose ec. ch'andavano molto in giro, e si cantavano ec. Or dunque da queste canzoni, e dalla letteratura e dalla lingua provenzale tirò "," molte voci e modi per essere elegante: e ci riuscì {allora;} e con tutti questi che oggi si chiamerebbero barbarismi, sì egli, come Omero, e tali altri scrittori primitivi, s'hanno da per tutto per classici, e taluni per eleganti; o se s'hanno per ineleganti, viene piuttosto dall'arcaismo che dal barbarismo."
p2504_1,Omero,PER,1855,1860,"[2504,1] E non è mica da credere nè che questi barbarismi de' primi e classici scrittori, fossero, a quei tempi, comuni nella loro nazione, ed essi scrittori si lasciassero strascinar dall'uso corrente; ne che gli usassero e introducessero per solo bisogno, o per arricchir ﻿ 2505 la {loro} lingua di parole e modi economicamente utili. Gli usarono, come si può facilmente scoprire, per espresso fine di essere eleganti col mezzo di un parlar pellegrino, e ritirato dal volgare. E sebben furono costretti, volendo essere intesi, a usar gran parte delle voci e modi correnti, e formarne il corpo della loro scrittura, pur molto volentieri e con predilezione s'appigliarono quando poterono alle voci e modi forestieri, per parlare alla peregrina, e per dare al loro modo di dire un non so che di raro, ch'è insomma l'eleganza. E p. e. di Dante, si vede chiaramente ch'egli si studiò di parlare a' suoi compatrioti co' modi e vocaboli provenzali, a cagione che la nazion provenzale era allora la più colta, ed aveva una specie di letteratura, abbastanza nota in italia, e che rendeva la lingua provenzale così domestica agl'italiani colti, che le sue parole o frasi, italianizzandole, non erano enigmi ﻿ 2506 per loro, e così poco volgare che le dette voci e frasi non erano ordinariamente nella loro bocca (come non lo sono ora le latine che p. e. i poeti derivano di nuovo nell'italiano, e che tutti intendono), nè in quella del popolo: il quale però eziandio era sufficientemente disposto ad intenderle (senza perdere il piacere del pellegrino) a causa delle canzoni provenzali, amorose ec. ch'andavano molto in giro, e si cantavano ec. Or dunque da queste canzoni, e dalla letteratura e dalla lingua provenzale tirò Dante molte voci e modi per essere elegante: e ci riuscì {allora;} e con tutti questi che oggi si chiamerebbero barbarismi, sì egli, come ",", e tali altri scrittori primitivi, s'hanno da per tutto per classici, e taluni per eleganti; o se s'hanno per ineleganti, viene piuttosto dall'arcaismo che dal barbarismo."
p2087_2,Staël,PER,161,166,"[2087,2] Una lingua somigliante per indole alle antiche, e somigliante in particolare alla greca, siccome è la tedesca, è pure eminemment * ﻿ 2088 (come dice la "," in altro luogo) propria alla filosofia. La lingua tedesca non ha indole antica, se non perch'ella non è ancora abbastanza formata, per aver presa un'indole decisamente propria del tempo in cui ella è scritta; e perciò solo ella ha quel vago, e quel libero, e quel vario ch'è proprio delle lingue antiche. Per acquistare indole moderna, una lingua ancorchè moderna, ha bisogno di molto maggior coltura, uso, arte, cospirazione di scrittori e di mezzi, che non ne avevano le lingue antiche per acquistare una forma propria del tempo loro, o le lingue moderne per acquistare una forma antica. Giacchè la forma antica era molto più vaga e indeterminata della moderna, e poco bastava a proccurarla e stabilirla."
p3284_1,Perticari,PER,75,84,"[3284,1] Al detto da me circa l'anomalo participio arso pp. 2688-91 che il "," crede di arsare e non di ardere, {del quale egli è pure} in latino, cioè di ardeo, arsus; si può aggiungere che la lingua italiana (ed anche le sue sorelle) bene spesso, secondo che la lingua latina ha diversi participii d'{un solo} verbo, diversi n'ha ella pure, cioè quelli stessi che ha la latina, regolari o irregolari che siano quanto all'analogia latina o italiana. P. e. da figo - fixus - fictus, figgere - fisso, fitto. Talvolta ella ha quello che corrisponde all'analogia italiana, e insieme quello che il verbo ha nel latino, sia regolare participio o anomalo in esso latino. Del che ho detto altrove p. 2688 p. 3074. Talvolta ec. ec. (27. Agosto. 1823.)"
p3284_1,P. e.,PER,457,462,"[3284,1] Al detto da me circa l'anomalo participio arso pp. 2688-91 che il Perticari crede di arsare e non di ardere, {del quale egli è pure} in latino, cioè di ardeo, arsus; si può aggiungere che la lingua italiana (ed anche le sue sorelle) bene spesso, secondo che la lingua latina ha diversi participii d'{un solo} verbo, diversi n'ha ella pure, cioè quelli stessi che ha la latina, regolari o irregolari che siano quanto all'analogia latina o italiana. "," da figo - fixus - fictus, figgere - fisso, fitto. Talvolta ella ha quello che corrisponde all'analogia italiana, e insieme quello che il verbo ha nel latino, sia regolare participio o anomalo in esso latino. Del che ho detto altrove p. 2688 p. 3074. Talvolta ec. ec. (27. Agosto. 1823.)"
p3284_1,figo,PER,466,470,"[3284,1] Al detto da me circa l'anomalo participio arso pp. 2688-91 che il Perticari crede di arsare e non di ardere, {del quale egli è pure} in latino, cioè di ardeo, arsus; si può aggiungere che la lingua italiana (ed anche le sue sorelle) bene spesso, secondo che la lingua latina ha diversi participii d'{un solo} verbo, diversi n'ha ella pure, cioè quelli stessi che ha la latina, regolari o irregolari che siano quanto all'analogia latina o italiana. P. e. da "," - fixus - fictus, figgere - fisso, fitto. Talvolta ella ha quello che corrisponde all'analogia italiana, e insieme quello che il verbo ha nel latino, sia regolare participio o anomalo in esso latino. Del che ho detto altrove p. 2688 p. 3074. Talvolta ec. ec. (27. Agosto. 1823.)"
p3284_1,fixus,PER,473,478,"[3284,1] Al detto da me circa l'anomalo participio arso pp. 2688-91 che il Perticari crede di arsare e non di ardere, {del quale egli è pure} in latino, cioè di ardeo, arsus; si può aggiungere che la lingua italiana (ed anche le sue sorelle) bene spesso, secondo che la lingua latina ha diversi participii d'{un solo} verbo, diversi n'ha ella pure, cioè quelli stessi che ha la latina, regolari o irregolari che siano quanto all'analogia latina o italiana. P. e. da figo - "," - fictus, figgere - fisso, fitto. Talvolta ella ha quello che corrisponde all'analogia italiana, e insieme quello che il verbo ha nel latino, sia regolare participio o anomalo in esso latino. Del che ho detto altrove p. 2688 p. 3074. Talvolta ec. ec. (27. Agosto. 1823.)"
p3284_1,fictus,PER,481,487,"[3284,1] Al detto da me circa l'anomalo participio arso pp. 2688-91 che il Perticari crede di arsare e non di ardere, {del quale egli è pure} in latino, cioè di ardeo, arsus; si può aggiungere che la lingua italiana (ed anche le sue sorelle) bene spesso, secondo che la lingua latina ha diversi participii d'{un solo} verbo, diversi n'ha ella pure, cioè quelli stessi che ha la latina, regolari o irregolari che siano quanto all'analogia latina o italiana. P. e. da figo - fixus - ",", figgere - fisso, fitto. Talvolta ella ha quello che corrisponde all'analogia italiana, e insieme quello che il verbo ha nel latino, sia regolare participio o anomalo in esso latino. Del che ho detto altrove p. 2688 p. 3074. Talvolta ec. ec. (27. Agosto. 1823.)"
p3284_1,figgere,PER,489,496,"[3284,1] Al detto da me circa l'anomalo participio arso pp. 2688-91 che il Perticari crede di arsare e non di ardere, {del quale egli è pure} in latino, cioè di ardeo, arsus; si può aggiungere che la lingua italiana (ed anche le sue sorelle) bene spesso, secondo che la lingua latina ha diversi participii d'{un solo} verbo, diversi n'ha ella pure, cioè quelli stessi che ha la latina, regolari o irregolari che siano quanto all'analogia latina o italiana. P. e. da figo - fixus - fictus, "," - fisso, fitto. Talvolta ella ha quello che corrisponde all'analogia italiana, e insieme quello che il verbo ha nel latino, sia regolare participio o anomalo in esso latino. Del che ho detto altrove p. 2688 p. 3074. Talvolta ec. ec. (27. Agosto. 1823.)"
