par_id,surface,start,end,wikidata,type,match,pattern
p1108_2,Catone,174,180,Q180081,PER,partial,Marco Porcio Catone Censore
p1108_2,Forcellini,500,510,Q550353,PER,partial,Egidio Forcellini
p1108_2,Forcellini,846,856,Q550353,PER,partial,Egidio Forcellini
p198_1,Correggio,7393,7402,Q8457,PER,exact,
p198_1,Montesquieu,0,11,Q15975,PER,exact,
p198_1,Montesquieu,779,790,Q15975,PER,exact,
p198_1,Montesquieu,1943,1954,Q15975,PER,exact,
p198_1,Montesquieu,2581,2592,Q15975,PER,exact,
p198_1,Montesquieu,4562,4573,Q15975,PER,exact,
p198_1,Montesquieu,5325,5336,Q15975,PER,exact,
p198_1,Montesquieu,7329,7340,Q15975,PER,exact,
p198_1,Raffaello,7381,7390,Q5597,PER,exact,
p198_1,Alfieri,3572,3579,Q296244,PER,partial,Vittorio Amedeo Alfieri
p198_1,Frugoni,4340,4347,Q2259161,PER,partial,Carlo Innocenzo Frugoni
p198_1,Marmontel,3343,3352,Q379923,PER,partial,Jean-François Marmontel
p884_1,Temistio,41,49,Q365183,PER,exact,
p884_1,Temistio,982,990,Q365183,PER,exact,
p884_1,Angelo Maio},775,787,Q304825,PER,levenshtein,Angelo Mai
p884_1,Teodosio,1151,1159,Q365183,PER,levenshtein,Temistio
p3344_1,Roma,515,519,Q1747689,LOC,exact,
p3344_1,Cesare,764,770,Q1048,PER,exact,
p3344_1,Svetonio,417,425,Q10133,PER,exact,
p3344_1,Svetonio,586,594,Q10133,PER,exact,
p3344_1,Svetonio,698,706,Q10133,PER,exact,
p4523_1,Piladi,398,404,Q494886,PER,levenshtein,Pilade
p1655_2,Cartesio,477,485,Q9191,PER,exact,
p1655_2,Dutens,493,499,Q947504,PER,partial,Louis Dutens
p511_2,Venetia,1907,1914,Q641,LOC,exact,
p511_2,Bernardino Baldi,1818,1834,Q560613,PER,exact,
p511_2,Floro,20,25,Q316483,PER,exact,
p511_2,Floro,528,533,Q316483,PER,exact,
p511_2,Floro,695,700,Q316483,PER,exact,
p511_2,Floro,1649,1654,Q316483,PER,exact,
p511_2,Virgilio,1393,1401,Q1398,PER,exact,
p511_2,Bern. Baldi,1894,1905,Q560613,PER,partial,Bernardino Baldi
p511_2,Forcellini,1481,1491,Q550353,PER,partial,Egidio Forcellini
p511_2,Forcellini,1597,1607,Q550353,PER,partial,Egidio Forcellini
p511_2,Sallust,936,943,Q7170,PER,levenshtein,Sallustio
p511_2,Virgil,988,994,Q1398,PER,levenshtein,Virgilius
p4483_2,Petr,195,199,Q1401,PER,levenshtein,Petrarca
p2759_2,Achille,487,494,Q41746,PER,exact,
p2759_2,Enea,508,512,Q82732,PER,exact,
p2759_2,Enea,564,568,Q82732,PER,exact,
p2759_2,Eneide,540,546,Q60220,PER,exact,
p2759_2,Magone,583,589,Q60220,PER,exact,
p2759_2,Menelao,998,1005,Q171839,PER,exact,
p2759_2,Omero,57,62,Q6691,PER,exact,
p2759_2,Omero,972,977,Q6691,PER,exact,
p2759_2,Pallante,734,742,Q2048018,PER,exact,
p2759_2,Rutuli,765,771,Q579014,PER,exact,
p2759_2,Virgilio,76,84,Q1398,PER,exact,
p2608_2,italia,121,127,Q38,LOC,exact,
p2608_2,Sallustio,0,9,Q7170,PER,exact,
p64_3,Cremona,61,68,Q6231,LOC,exact,
p4172_11,V. Monti,50,58,Q723643,PER,partial,Vincenzo Monti
p4197_3,Domitian.,68,77,Q1423,PER,levenshtein,Domiziano
p4197_3,Sueton,46,52,Q10133,PER,levenshtein,Suetonio
p4211_3,Bologna,595,602,Q1891,LOC,exact,
p4211_3,Fozio,397,402,Q243187,PER,exact,
p4211_3,Petronio,623,631,Q982077,PER,exact,
p12_1,Ovidio,15,21,Q7198,PER,exact,
p4050_7,Voltaire,81,89,Q9068,PER,exact,
p79_1,Staël,230,235,Q123041,PER,partial,Anne Louise Germaine de Staël
p961_1,grecia,803,809,Q11772,LOC,exact,
p961_1,Arriano,1082,1089,Q31845,PER,exact,
p961_1,Erodoto,388,395,Q26825,PER,exact,
p961_1,Erodoto,423,430,Q26825,PER,exact,
p961_1,Erodoto,1775,1782,Q26825,PER,exact,
p961_1,Omero,323,328,Q6691,PER,exact,
p961_1,Omero,829,834,Q6691,PER,exact,
p961_1,Omero,1325,1330,Q6691,PER,exact,
p961_1,Giordani,499,507,Q1092339,PER,partial,Pietro Giordani
p2974_3,Gellio,28,34,Q294800,PER,exact,
p2974_3,Gellio,771,777,Q294800,PER,exact,
p1412_2,Ovidio,2061,2067,Q7198,PER,exact,
p4148_12,Bologna,447,454,Q1891,LOC,exact,
p4300_5,Menzini,80,87,Q3638090,PER,partial,Benedetto Menzini
p4491_2,Amsterd.,354,362,Q727,LOC,exact,
p4491_2,Rousseau,303,311,Q6527,PER,partial,Jean-Jacques Rousseau
p4413_1,europa,839,845,Q46,LOC,exact,
p4413_1,Dante,678,683,Q1067,PER,exact,
p2980_1,Omero,354,359,Q6691,PER,exact,
p489_1,Floro,6,11,Q316483,PER,exact,
