par_id,surface,start,end,identifier,type,match,pattern
https://digitalzibaldone.net/node/p2700_1,Perticari,1530,1539,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2703_1,la Crusca,969,978,Q4015911,WORK,exact,
https://digitalzibaldone.net/node/p2703_1,la Crusca,1282,1291,Q4015911,WORK,exact,
https://digitalzibaldone.net/node/p2703_1,Forcellini,1303,1313,Q15851274,WORK,exact,
https://digitalzibaldone.net/node/p2705_1,Perticari,127,136,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2705_2,Perticari,33,42,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2705_3,Perticari,589,598,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2705_3,Proposta,611,619,Q42194678,WORK,exact,
https://digitalzibaldone.net/node/p2715_1,Perticari,0,9,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2715_2,Perticari,147,156,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2717_1,Fedro,262,267,Q554535,PER,exact,
https://digitalzibaldone.net/node/p2717_1,Fedro,398,403,Q554535,PER,exact,
https://digitalzibaldone.net/node/p2717_1,Dialogo,376,383,Q555862,WORK,exact,
https://digitalzibaldone.net/node/p2718_1,Perticari,132,141,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2718_1,Perticari,2199,2208,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2721_1,Gelli,9,14,Q518160,PER,exact,
https://digitalzibaldone.net/node/p2721_1,Perticari,31,40,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2721_2,Perticari,195,204,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2721_3,Perticari,60,69,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2722_1,Abate Colombo,1175,1188,Q19357820,PER,exact,
https://digitalzibaldone.net/node/p2722_1,Abate Colombo,1339,1352,Q19357820,PER,exact,
https://digitalzibaldone.net/node/p2728_1,Mela,1615,1619,Q297515,PER,exact,
https://digitalzibaldone.net/node/p2728_1,Columella,1647,1656,Q318317,PER,exact,
https://digitalzibaldone.net/node/p2731_1,Ven.,208,212,Q641,LOC,exact,
https://digitalzibaldone.net/node/p2731_1,Speroni,192,199,Q352663,PER,exact,
https://digitalzibaldone.net/node/p2731_2,impero,2104,2110,Q2277,LOC,exact,
https://digitalzibaldone.net/node/p2731_2,Vite degli Augusti,603,621,Q722678,WORK,exact,
https://digitalzibaldone.net/node/p2734_1,le Croniche,382,393,Q42187924,WORK,exact,
https://digitalzibaldone.net/node/p2735_1,impero latino,880,893,Q2277,LOC,exact,
https://digitalzibaldone.net/node/p2738_1,René,357,361,Q1097238,WORK,exact,
https://digitalzibaldone.net/node/p2739_1,Ennio,34,39,Q47130,PER,exact,
https://digitalzibaldone.net/node/p2739_1,Mai,253,256,Q304825,PER,exact,
https://digitalzibaldone.net/node/p2747_1,China,2979,2984,Q29520,LOC,exact,
https://digitalzibaldone.net/node/p2757_1,Venet.,282,288,Q641,LOC,exact,
https://digitalzibaldone.net/node/p2757_1,la Crusca,52,61,Q4015911,WORK,exact,
https://digitalzibaldone.net/node/p2757_1,De artibus ac disciplinis liberalium litterarum.,192,240,Q3799231,WORK,exact,
https://digitalzibaldone.net/node/p2757_1,il Forcell.,581,592,Q15851274,WORK,exact,
https://digitalzibaldone.net/node/p2757_1,Il Glossario,608,620,Q1240983,WORK,exact,
https://digitalzibaldone.net/node/p2757_2,Bartoli,543,550,Q2283604,PER,exact,
https://digitalzibaldone.net/node/p2762_1,Luciano,2715,2722,Q177847,PER,exact,
https://digitalzibaldone.net/node/p2771_1,Caro,241,245,Q566851,PER,exact,
https://digitalzibaldone.net/node/p2774_1,Gell.,634,639,Q294800,PER,exact,
https://digitalzibaldone.net/node/p2775_1,Scapula,734,741,Q3179685,PER,exact,
https://digitalzibaldone.net/node/p2775_1,Schrevel,819,827,Q377100,PER,exact,
https://digitalzibaldone.net/node/p2776_1,Scap.,849,854,Q3179685,PER,exact,
https://digitalzibaldone.net/node/p2778_1,Ammon.,1690,1696,Q695923,PER,exact,
https://digitalzibaldone.net/node/p2778_1,Demost.,1753,1760,Q117253,PER,exact,
https://digitalzibaldone.net/node/p2779_2,Pad.,487,491,Q617,LOC,exact,
https://digitalzibaldone.net/node/p2780_1,Forcellini,234,244,Q15851274,WORK,exact,
https://digitalzibaldone.net/node/p2781_1,grecia,931,937,Q11772,LOC,exact,
https://digitalzibaldone.net/node/p2782_1,francia,293,300,Q142,LOC,exact,
https://digitalzibaldone.net/node/p2783_1,francia,109,116,Q142,LOC,exact,
https://digitalzibaldone.net/node/p2786_1,Scapula,406,413,Q3179685,PER,exact,
https://digitalzibaldone.net/node/p2786_1,Scapula,2187,2194,Q3179685,PER,exact,
https://digitalzibaldone.net/node/p2786_1,Schrevel,536,544,Q377100,PER,exact,
https://digitalzibaldone.net/node/p2786_1,Visconti,744,752,Q691834,PER,exact,
https://digitalzibaldone.net/node/p2786_1,Visconti,1363,1371,Q691834,PER,exact,
https://digitalzibaldone.net/node/p2786_1,Visconti,2057,2065,Q691834,PER,exact,
https://digitalzibaldone.net/node/p2786_1,Visconti,2231,2239,Q691834,PER,exact,
https://digitalzibaldone.net/node/p2786_1,Tusano,2200,2206,Q21543031,PER,exact,
https://digitalzibaldone.net/node/p2786_1,teogonia,670,678,Q156498,WORK,exact,
https://digitalzibaldone.net/node/p2788_1,Visconti,311,319,Q691834,PER,exact,
https://digitalzibaldone.net/node/p2788_1,Visconti,738,746,Q691834,PER,exact,
https://digitalzibaldone.net/node/p2788_1,Tusano,359,365,Q21543031,PER,exact,
https://digitalzibaldone.net/node/p2788_1,la Crus.,1757,1765,Q4015911,WORK,exact,
https://digitalzibaldone.net/node/p2790_1,Arpalice,18,26,Q2446159,PER,exact,
https://digitalzibaldone.net/node/p2790_1,Harpalice,55,64,Q2446159,PER,exact,
https://digitalzibaldone.net/node/p2790_1,Terra,551,556,Q93172,PER,exact,
https://digitalzibaldone.net/node/p2790_1,Proposta,1302,1310,Q42194678,WORK,exact,
https://digitalzibaldone.net/node/p2792_1,Scapula,557,564,Q3179685,PER,exact,
https://digitalzibaldone.net/node/p2792_1,Luciano,861,868,Q177847,PER,exact,
https://digitalzibaldone.net/node/p2792_2,Charon,17,23,Q6612,PER,exact,
https://digitalzibaldone.net/node/p2793_2,Coricio,131,138,Q510659,PER,exact,
https://digitalzibaldone.net/node/p2793_2,Fabric.,230,237,Q61894,PER,exact,
https://digitalzibaldone.net/node/p2793_2,Holstenio,2626,2635,Q322331,PER,exact,
https://digitalzibaldone.net/node/p2793_2,B. G.,238,243,Q20552068,WORK,exact,
https://digitalzibaldone.net/node/p2793_2,Vita di Plotino,2596,2611,Q19239197,WORK,exact,
https://digitalzibaldone.net/node/p2796_1,Χορικίου Σοϕιστοῦ,467,484,Q510659,PER,exact,
https://digitalzibaldone.net/node/p2796_1,Προκοπίῳ Σοϕιστῇ,500,516,Q557776,PER,exact,
https://digitalzibaldone.net/node/p2796_1,Procopium,543,552,Q557776,PER,exact,
https://digitalzibaldone.net/node/p2796_1,Fabric.,619,626,Q61894,PER,exact,
https://digitalzibaldone.net/node/p2796_1,B. G.,630,635,Q20552068,WORK,exact,
https://digitalzibaldone.net/node/p2799_1,Fabricio,802,810,Q61894,PER,exact,
https://digitalzibaldone.net/node/p2799_1,Fabricio,874,882,Q61894,PER,exact,
https://digitalzibaldone.net/node/p2799_1,Fabricio,1122,1130,Q61894,PER,exact,
https://digitalzibaldone.net/node/p2799_1,Fabric.,1302,1309,Q61894,PER,exact,
https://digitalzibaldone.net/node/p2799_1,B. G.,812,817,Q20552068,WORK,exact,
https://digitalzibaldone.net/node/p2804_1,Viaggio d'Anacarsi,115,133,Q4010942,WORK,exact,
https://digitalzibaldone.net/node/p2804_1,art. poet.,3158,3168,Q677997,WORK,exact,
https://digitalzibaldone.net/node/p2809_1,Marca,662,667,Q1279,LOC,exact,
https://digitalzibaldone.net/node/p2809_1,Ven.,1673,1677,Q641,LOC,exact,
https://digitalzibaldone.net/node/p2809_1,Dolce,1342,1347,Q1867806,PER,exact,
https://digitalzibaldone.net/node/p2809_1,Comin da Trino di Monferrato,1682,1710,Q59629485,PER,exact,
https://digitalzibaldone.net/node/p2809_1,Roscoe,1766,1772,Q2635090,PER,exact,
https://digitalzibaldone.net/node/p2809_1,Crusca,1011,1017,Q4015911,WORK,exact,
https://digitalzibaldone.net/node/p2809_1,Crusca,1625,1631,Q4015911,WORK,exact,
https://digitalzibaldone.net/node/p2811_2,Moeridis,25,33,Q1178430,PER,exact,
https://digitalzibaldone.net/node/p2811_2,Fabric.,332,339,Q61894,PER,exact,
https://digitalzibaldone.net/node/p2811_2,B. G.,340,345,Q20552068,WORK,exact,
https://digitalzibaldone.net/node/p2813_1,Aen.,1155,1159,Q60220,WORK,exact,
https://digitalzibaldone.net/node/p2815_1,Forcellini,230,240,Q550353,PER,exact,
https://digitalzibaldone.net/node/p2819_2,Forcellini,395,405,Q15851274,WORK,exact,
https://digitalzibaldone.net/node/p2819_2,Forcell.,484,492,Q15851274,WORK,exact,
https://digitalzibaldone.net/node/p2819_2,il Glossar.,495,506,Q1240983,WORK,exact,
https://digitalzibaldone.net/node/p2820_2,Forcellini,525,535,Q15851274,WORK,exact,
https://digitalzibaldone.net/node/p2820_3,Forcellini,766,776,Q15851274,WORK,exact,
https://digitalzibaldone.net/node/p2821_1,Forcellini,86,96,Q15851274,WORK,exact,
https://digitalzibaldone.net/node/p2821_3,Festo,21,26,Q302723,PER,exact,
https://digitalzibaldone.net/node/p2821_3,Festo,1327,1332,Q302723,PER,exact,
https://digitalzibaldone.net/node/p2823_1,Perticari,2136,2145,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2825_1,Fortunatianus,0,13,Q3748855,PER,exact,
https://digitalzibaldone.net/node/p2825_1,Fortunatianus,767,780,Q3748855,PER,exact,
https://digitalzibaldone.net/node/p2825_1,Augustodunensis,28,43,Q543586,PER,exact,
https://digitalzibaldone.net/node/p2825_1,Fortunatius,106,117,Q3748855,PER,exact,
https://digitalzibaldone.net/node/p2825_1,Hilarium,326,334,Q44344,PER,exact,
https://digitalzibaldone.net/node/p2825_1,Fortunatiano,560,572,Q3748855,PER,exact,
https://digitalzibaldone.net/node/p2825_1,Fabricius,669,678,Q61894,PER,exact,
https://digitalzibaldone.net/node/p2825_1,Mansii,714,720,Q939189,PER,exact,
https://digitalzibaldone.net/node/p2825_1,De luminaribus Ecclesiae,45,69,Q119748603,WORK,exact,
https://digitalzibaldone.net/node/p2825_1,De Scriptoribus Ecclesiasticis,232,262,Q42187344,WORK,exact,
https://digitalzibaldone.net/node/p2825_1,memoriarum,639,649,Q42192848,WORK,exact,
https://digitalzibaldone.net/node/p2825_1,Bibl. lat. med. et inf. aetat.,679,709,Q42187344,WORK,exact,
https://digitalzibaldone.net/node/p2825_2,Mustoxidi,559,568,Q902399,PER,exact,
https://digitalzibaldone.net/node/p2828_1,Coricio,637,644,Q510659,PER,exact,
https://digitalzibaldone.net/node/p2829_1,Itinerario,1392,1402,Q3155952,WORK,exact,
https://digitalzibaldone.net/node/p2835_2,Cas.,89,93,Q1216194,WORK,exact,
https://digitalzibaldone.net/node/p2836_2,Caro,4926,4930,Q566851,PER,exact,
https://digitalzibaldone.net/node/p2836_2,Eneida,4915,4921,Q3725204,WORK,exact,
https://digitalzibaldone.net/node/p2840_1,Ennio,919,924,Q47130,PER,exact,
https://digitalzibaldone.net/node/p2840_1,Cincio,1013,1019,Q867394,PER,exact,
https://digitalzibaldone.net/node/p2841_1,Forc.,405,410,Q550353,PER,exact,
https://digitalzibaldone.net/node/p2841_1,Forc.,683,688,Q550353,PER,exact,
https://digitalzibaldone.net/node/p2842_1,Cang.,286,291,Q442240,PER,exact,
https://digitalzibaldone.net/node/p2842_1,Cang.,840,845,Q442240,PER,exact,
https://digitalzibaldone.net/node/p2842_1,Cang.,3304,3309,Q442240,PER,exact,
https://digitalzibaldone.net/node/p2842_1,Cange,4666,4671,Q442240,PER,exact,
https://digitalzibaldone.net/node/p2842_1,Ioh. de Ianua,471,484,Q2312678,PER,exact,
https://digitalzibaldone.net/node/p2842_1,Giordani,1737,1745,Q1092339,PER,exact,
https://digitalzibaldone.net/node/p2842_1,Hickesio,4647,4655,Q5540582,PER,exact,
https://digitalzibaldone.net/node/p2842_1,Carm.,229,234,Q105725380,WORK,exact,
https://digitalzibaldone.net/node/p2842_1,Glossar.,277,285,Q1240983,WORK,exact,
https://digitalzibaldone.net/node/p2842_1,Glossar.,398,406,Q1240983,WORK,exact,
https://digitalzibaldone.net/node/p2842_1,Glossar.,589,597,Q1240983,WORK,exact,
https://digitalzibaldone.net/node/p2842_1,Glossar.,831,839,Q1240983,WORK,exact,
https://digitalzibaldone.net/node/p2842_1,Glossar.,3295,3303,Q1240983,WORK,exact,
https://digitalzibaldone.net/node/p2842_1,Il Gloss.,433,442,Q1240983,WORK,exact,
https://digitalzibaldone.net/node/p2842_1,Lessico,530,537,Q381156,WORK,exact,
https://digitalzibaldone.net/node/p2842_1,Proposta,1783,1791,Q42194678,WORK,exact,
https://digitalzibaldone.net/node/p2842_1,la Crusca,2800,2809,Q4015911,WORK,exact,
https://digitalzibaldone.net/node/p2842_1,la Crusca,4692,4701,Q4015911,WORK,exact,
https://digitalzibaldone.net/node/p2842_1,il Glossario,3927,3939,Q1240983,WORK,exact,
https://digitalzibaldone.net/node/p2842_1,il Glossario,4006,4018,Q1240983,WORK,exact,
https://digitalzibaldone.net/node/p2842_1,Glossario,4676,4685,Q1240983,WORK,exact,
https://digitalzibaldone.net/node/p2864_1,il Glossar.,343,354,Q1240983,WORK,exact,
https://digitalzibaldone.net/node/p2864_1,il Forcell.,355,366,Q15851274,WORK,exact,
https://digitalzibaldone.net/node/p2864_3,Glossario,364,373,Q1240983,WORK,exact,
https://digitalzibaldone.net/node/p2864_3,il Glossar.,456,467,Q1240983,WORK,exact,
https://digitalzibaldone.net/node/p2865_1,la Crusca,437,446,Q4015911,WORK,exact,
https://digitalzibaldone.net/node/p2865_3,de rep.,669,676,Q123397,WORK,exact,
https://digitalzibaldone.net/node/p2866_1,Socratica,907,916,Q913,PER,exact,
