id,start_pos,end_pos,type,alias,wb_id,score
https://digitalzibaldone.net/node/p2700_1,1530,1539,PER,Perticara >> it,Q2307037,-3.7664058208465576
https://digitalzibaldone.net/node/p2703_1,969,978,WORK,Accademia della Crusca >> it,Q338489,-1.2050217390060425
https://digitalzibaldone.net/node/p2703_1,1282,1291,WORK,Crusca >> it,Q188672,-2.714869499206543
https://digitalzibaldone.net/node/p2703_1,1303,1313,WORK,Forcellini >> it,Q1436657,-0.6727128028869629
https://digitalzibaldone.net/node/p2705_1,127,136,PER,Perticara >> it,Q2307037,-2.345319986343384
https://digitalzibaldone.net/node/p2705_2,33,42,PER,Perticara >> it,Q2307037,-3.517366409301758
https://digitalzibaldone.net/node/p2705_3,589,598,PER,Perticara >> it,Q2307037,-3.7934954166412354
https://digitalzibaldone.net/node/p2705_3,611,619,WORK,Proposta >> it,Q3924026,-1.5950285196304321
https://digitalzibaldone.net/node/p2715_1,0,9,PER,Perticara >> it,Q2307037,-2.982347011566162
https://digitalzibaldone.net/node/p2715_2,147,156,PER,Perticara >> it,Q2307037,-3.394191026687622
https://digitalzibaldone.net/node/p2717_1,262,267,PER,Fedro >> it,Q52166,-0.3734838664531708
https://digitalzibaldone.net/node/p2717_1,398,403,PER,Fedro >> it,Q52166,-0.23583537340164185
https://digitalzibaldone.net/node/p2717_1,376,383,WORK,Dialogo >> it,Q131395,-0.4550500214099884
https://digitalzibaldone.net/node/p2718_1,132,141,PER,Perticara >> it,Q2307037,-2.5386390686035156
https://digitalzibaldone.net/node/p2718_1,2199,2208,PER,Giacomo Filippi >> it,Q3762094,-5.342026233673096
https://digitalzibaldone.net/node/p2721_1,9,14,PER,Gelli >> it,Q1499745,-1.876366376876831
https://digitalzibaldone.net/node/p2721_1,31,40,PER,Perticara >> it,Q2307037,-3.1276345252990723
https://digitalzibaldone.net/node/p2721_2,195,204,PER,Perticara >> it,Q2307037,-2.1501760482788086
https://digitalzibaldone.net/node/p2721_3,60,69,PER,Aristotele >> it,Q868,-2.3484456539154053
https://digitalzibaldone.net/node/p2722_1,1175,1188,PER,Cristoforo Colombo >> it,Q7322,-0.7083765864372253
https://digitalzibaldone.net/node/p2722_1,1339,1352,PER,Cristoforo Colombo >> it,Q7322,-1.0711742639541626
https://digitalzibaldone.net/node/p2728_1,1615,1619,PER,Mela >> it,Q89,-0.5965937972068787
