id,surface,type,start_pos,end_pos,left_context,right_context
https://digitalzibaldone.net/node/p2700_1,Dante,PER,1553,1558,"La cagione per cui negli antichissimi scrittori latini si trova maggiore conformità e di voci e di modi colla lingua italiana, che non se ne trova negli scrittori latini dell'aureo secolo, e tanto maggiore quanto sono più antichi, si è che i primi scrittori di una lingua, mentre non v'è ancora lingua illustre, o non è abbastanza formata, divisa dalla plebea, fatta propria della scrittura, usano un più gran numero di voci, frasi, forme plebee, idiotismi ec. che non fanno gli scrittori seguenti; sono in somma più vicini al plebeo da cui le lingue scritte per necessità incominciano, e da cui si vanno dividendo solamente appoco appoco, usano una più gran parte della lingua plebea ch'è la sola ch'esista allora nella nazione, o che ﻿ 2701 non è abbastanza distinta dalla lingua nobile e cortigiana ec. sì perchè quella lingua che si parla (com'è la cortigiana) tien sempre più o meno della plebea; sì perchè allora i cortigiani ec. non hanno l'esempio e la coltura derivante dalle Lettere nazionali e dalla lingua nazionale scritta, per parlare molto diversamente dalla plebe. Ora l'unica lingua che possano seguire e prendere in mano i primi scrittori di una lingua, si è la parlata, giacchè la scritta ancor non esiste. E siccome la lingua italiana e le sue sorelle non derivano dal latino scritto ma dal parlato, e questo in gran parte non illustre, ma principalmente dal plebeo e volgare, quindi la molta conformità di queste nostre lingue cogli antichissimi e primi scrittori latini. Vedi un luogo di Tiraboschi appresso Perticari, Apologia di ",", capo 43. pag. 430. (20. Maggio 1823)."
https://digitalzibaldone.net/node/p2705_1,Dante,PER,149,154,"Di alcune cagioni che anche ne' bassi tempi poterono introdurre vocaboli e modi greci nel volgare o ne' volgari d'Italia, vedi Perticari Apologia di ",", capo 39. p. 386. (21. Maggio 1823.)."
https://digitalzibaldone.net/node/p2715_1,Degli Scritt.,PER,11,24,"Perticari, ", del 300. l. 2. c. 2. p. 106-7. fa derivare il nome italiano carogna da un'antica voce greca. (22. Maggio 1823.).
https://digitalzibaldone.net/node/p2715_2,Dante,PER,271,276,"Di quelli che nel 500. volevano restringere la lingua italiana della poesia a quella del Petrarca, e della prosa a quella del solo Boccaccio, vedi Perticari Degli Scritt. del 300. l. 2. c. 12. p. 178. colle similitudini che ivi pone de' greci e de' latini, e Apologia di ", c. 41. p. 407-{10.} (23. Maggio 1823.).
https://digitalzibaldone.net/node/p2722_1,﻿ 2722,PER,0,6,," Delle lingue vive non accade quello che delle lingue le quali più non si parlano. Queste, a guisa di pianta che più non vegeta, non possono ricevere accrescimento; e tutto quello, che a lor riguardo si può fare da noi, si è di serbarle diligentemente nello stato in cui sono; perciocchè in esse ogni alterazione tende a corrompimento. Al contrario le lingue che sono vive, vegetano tuttora, e possono crescere di più in più: e in esse le piccole mutazioni, che si vanno facendo di tempo in tempo, non sono segnali certi di corrompimento; anzi sono talora di sanità e vigoria. E però coloro, i quali non vorrebbon che i nostri scritti avessero altro sapore che di Trecento, nocciono alla lingua, perchè si sforzano di ridurla alla condizione di quelle che sono morte, e, in quanto a loro sta, ne diseccano i verdi rami, sicch'ella non possa, contro all'avviso d'Orazio, più vestirsi di nuove foglie. Quest'autore vivea pure nel secol d' ﻿ 2723 oro della lingua latina, e nel tempo in cui essa era nel suo più florido stato: e tuttavia perch'ella era ancor viva, egli pensava ch'essa potesse arricchirsi vie maggiormente e ricevere nuove forme di favellare. * Nota dell'Abate Colombo alle Lezioni sulle Doti di una colta favella con una non più stampata sullo stile da usarsi oggidì ed altre operette del medesimo autore * (cioè dell'Abate Colombo). Parma per Giuseppe Paganino 1820. (edizione 2da delle tre prime Lezioni e delle altre operette, fuorchè d'una). Lezione IV. Dello Stile che dee usare oggidì un pulito Scrittore. pag. 96. (antepenultima delle Lezioni). nota a. (25. Maggio. Domenica della SS. Trinità. 1823.)."
https://digitalzibaldone.net/node/p2722_1,﻿ 2723,PER,943,949,"﻿ 2722 Delle lingue vive non accade quello che delle lingue le quali più non si parlano. Queste, a guisa di pianta che più non vegeta, non possono ricevere accrescimento; e tutto quello, che a lor riguardo si può fare da noi, si è di serbarle diligentemente nello stato in cui sono; perciocchè in esse ogni alterazione tende a corrompimento. Al contrario le lingue che sono vive, vegetano tuttora, e possono crescere di più in più: e in esse le piccole mutazioni, che si vanno facendo di tempo in tempo, non sono segnali certi di corrompimento; anzi sono talora di sanità e vigoria. E però coloro, i quali non vorrebbon che i nostri scritti avessero altro sapore che di Trecento, nocciono alla lingua, perchè si sforzano di ridurla alla condizione di quelle che sono morte, e, in quanto a loro sta, ne diseccano i verdi rami, sicch'ella non possa, contro all'avviso d'Orazio, più vestirsi di nuove foglie. Quest'autore vivea pure nel secol d' "," oro della lingua latina, e nel tempo in cui essa era nel suo più florido stato: e tuttavia perch'ella era ancor viva, egli pensava ch'essa potesse arricchirsi vie maggiormente e ricevere nuove forme di favellare. * Nota dell'Abate Colombo alle Lezioni sulle Doti di una colta favella con una non più stampata sullo stile da usarsi oggidì ed altre operette del medesimo autore * (cioè dell'Abate Colombo). Parma per Giuseppe Paganino 1820. (edizione 2da delle tre prime Lezioni e delle altre operette, fuorchè d'una). Lezione IV. Dello Stile che dee usare oggidì un pulito Scrittore. pag. 96. (antepenultima delle Lezioni). nota a. (25. Maggio. Domenica della SS. Trinità. 1823.)."
https://digitalzibaldone.net/node/p2728_1,Pallavicino,PER,1795,1806,"Ma io escludo dal bene scrivere i professori di scienze matematiche o fisiche, e {di quelle} che tengono dell'uno e dell'altro genere insieme, o che all'uno o all'altro s'avvicinano. E di questa sorta di scienze in verità non abbiamo buoni {ed eleganti} scrittori nè antichi nè moderni, se non pochissimi. I greci trattavano queste scienze in modo mezzo poetico, perchè poco sperimentavano e molto immaginavano. Quindi erano in esse meno lontani dall'eleganza. Ma certo essi ne furono tanto più lontani, quanto più furono esatti. {+Platone è fuori di questa classe.} Gli antichi lodano assai lo stile d'Aristotele e di Teofrasto. Può essere ch'abbiano riguardo ai loro scritti politici, morali, metafisici, piuttosto che ai naturali. Io dico il vero che nè in questi ﻿ 2729 nè in quelli non sento grand'eleganza. {+(Quel ch'io ci trovo è purità di lingua e un sufficiente e moderato atticismo: l'uno e l'altro, effetto del secolo e della {dimora} anzi che dello scrittore {, e insomma natura e non arte}. Niuna eleganza però nè di stile nè di parole. Anzi sovente grandissima negligenza sì nella scelta sì nell'ordine e congiuntura de' vocaboli; poca proprietà, e non di rado niuna sintassi.)} Ben la sento e moltissima in Celso, vero e forse unico modello fra gli antichi e i moderni del bello stile scientifico-esatto. Col quale si potrà forse mettere Ippocrate. I latini ebbero pochi scrittori scientifici-esatti. E di questi, fuori di Celso, qual è che si possa chiamare elegante? Non certamente Plinio, il quale se si vorrà chiamar puro, si chiamera così, perchè anch'egli per noi fa testo di latinità. Lascio Mela, Solino, Varrone, Vegezio, Columella ec. Il nostro Galileo lo chiami elegante chi non conosce la nostra lingua, e non ha senso dell'eleganza. (V. Giordani, Vita del Cardinale ","). Il Buffon sarebbe unico fra' moderni per il modo elegante di trattare le scienze esatte: ma oltre che la storia naturale si presta all'eleganza più d'ogni altra di queste scienze; tutto ciò che è elegante in lui, è estrinseco alla scienza propriamente detta, ﻿ 2730 ed appartiene a quella che io chiamo qui filosofia propria, la quale si può applicare ad ogni sorta di soggetti. Così fece il Bailly nell'Astronomia. Sempre che usciamo dei termini dottrinali e insegnativi d'una scienza esatta, siamo fuori del nostro caso. La scienza non è più la materia {ma l'occasione} di tali scritture; {+non s'impara la scienza da esse, nè questa fa progressi diretti, per mezzo loro, nè riceve aumento diretto dalle proposizioni ch'esse contengono:} elle sono considerazioni sopra la scienza. (28. Maggio. Vigilia del Corpus Domini. 1823.). {{I pensieri di Buffon non compongono e non espongono la scienza, non sono e non contengono i dogmi della medesima, o nuovi dogmi ch'esso {le} aggiunga, ma la considerano, e versano sopra di lei e sopra i suoi dogmi. Si può ornare una materia coi pensieri e colle parole. Tutte le materie sono capaci dell'ornamento de' pensieri, perchè sopra ogni cosa si può pensare, e stendersi col pensiero quanto si voglia, più o meno lontano dalla materia strettamente presa. Ma non tutte si possono ornare colle parole. Il Buffon adornò la scienza con pensieri ﻿ 2731 filosofici, e a questi pensieri non somministrati ma occasionati dalla storia naturale, applicò l'eleganza delle parole, perch'essi n'erano materia capace. Ma i fisici, i matematici ordinariamente non possono e non vogliono andar dietro a tali pensieri, ma si ristringono alla sola scienza.}}"
https://digitalzibaldone.net/node/p2735_1,Archia,PER,390,396,"Nam si quis minorem gloriae fructum putat ex graecis versibus percipi, quam ex latinis, vehementer errat; propterea, quod graeca leguntur in omnibus fere gentibus, latina suis finibus, exiguis sane, continentur. Quare si res hae, quas gessimus, orbis terrae regionibus definiuntur; cupere debemus, quo manuum nostrarum tela pervenerint, eodem gloriam, famamque penetrare. * Cic., Orat. pro "," poeta cap. 10. Dunque se le cose latine continebantur suis finibus, le cose greche legebantur anche extra suos fines, dunque anche da quelli che non parlavano naturalmente il greco, dunque s'elle legebantur in omnibus fere gentibus, quasi tutte le nazioni intendevano il greco benchè non ﻿ 2736 fossero greche, dunque il mondo era δίγλωσσος, dunque la lingua greca era universale di quella universalità ch'oggi ha la francese. Nè per suis finibus si possono intendere i termini dell'impero latino, i quali certamente non erano angusti ai tempi di Cicerone, e lo dimostra anche quello che segue nel medesimo passo addotto. (31. Maggio. 1823.)."
https://digitalzibaldone.net/node/p2739_1,Forcell,PER,45,52,Opra sincope di opera si trova in Ennio (ap. ,". v. opera, fin.), come nei nostri poeti opra e ﻿ 2740 oprare e adoprare ec. Tan alla spagnuola per tam nel cod. antichissimo di Cic., de Repub. l. 1. c. 9. p. 26. ed. Rom. 1822. dove vedi la nota del Mai. (3 Giugno. 1823.)."
https://digitalzibaldone.net/node/p2757_1,Forcellini,PER,143,153,"﻿ 2757 Ritenere per ricordarsi o tenere a mente (v. la Crusca in ritenere §. 7.) onde ritenitiva e retentiva per memoria, viene dal latino. V. "," in Retinere fine. Aggiungi Cassiodoro De artibus ac disciplinis liberalium litterarum. Cap. 5. cioè de Musica opp. Cassiod. ed. Venet. 1729. t. 2. p. 557. col. 2. (la detta opera s'intitola più comunemente de septem disciplinis). Apud Latinos autem magnificus vir Albinus librum de hac re * (de Musica), compendiosa brevitate conscripsit; quem in bibliotheca Romae nos habuisse, atque studiose legisse retinemus. * Vedi ancora il Forcell. in Retinentia. Il Glossario non ha niente in proposito. (6. Giugno. 1823.)."
https://digitalzibaldone.net/node/p2757_1,Forcell.,PER,584,592,"﻿ 2757 Ritenere per ricordarsi o tenere a mente (v. la Crusca in ritenere §. 7.) onde ritenitiva e retentiva per memoria, viene dal latino. V. Forcellini in Retinere fine. Aggiungi Cassiodoro De artibus ac disciplinis liberalium litterarum. Cap. 5. cioè de Musica opp. Cassiod. ed. Venet. 1729. t. 2. p. 557. col. 2. (la detta opera s'intitola più comunemente de septem disciplinis). Apud Latinos autem magnificus vir Albinus librum de hac re * (de Musica), compendiosa brevitate conscripsit; quem in bibliotheca Romae nos habuisse, atque studiose legisse retinemus. * Vedi ancora il ", in Retinentia. Il Glossario non ha niente in proposito. (6. Giugno. 1823.).
https://digitalzibaldone.net/node/p2771_3,do,PER,281,283,"Come la lingua latina abbia conservato l'antichità più della greca, si dimostra ancora con queste considerazioni. 1. La lingua latina conserva nell'uso comune de' suoi buoni tempi e de' seguenti (non solo degli anteriori) i temi, o altre voci regolari di verbi che tra' greci, aven"," le stesse radici che in latino, ma essendo però difettivi o anomali, non conservano i loro primi temi o quelle tali voci regolari, o non le usano se non di rarissimo, ﻿ 2772 o talmente ch'essi temi ed esse voci non si trovano se non presso gli antichissimi autori, o presso i poeti soli, i quali in ciascuna lingua che ha favella poetica distinta, conservano sempre gran parte d'antichità per le ragioni che ho detto altrove pp. 2639. sgg. Dovechè la lingua latina usa essi temi ed esse voci universalmente sì nella prosa come nel verso, ed usale ne' secoli in ch'ella era già formata e piena, ed usale eziandio non come rare, nè come quasi licenze o arcaismi, ma tutto dì e regolarmente e come temi e voci proprie e debite di quei verbi a' quali appartengono. Per esempio il verbo do, si è il tema di δίδωμι (e nota che questo verbo in greco non è neppure anomalo nè difettivo, {+ma l'uso l'ha cangiato interamente dal suo primo stato, a differenza del verbo latino do.).} Il qual tema conservasi nel latino in tutti i composti d'esso verbo, come {credo, edo, trado,} addo, {subdo, prodo, vendo, perdo,} indo, condo, reddo, dedo, {ec.} {+(ne' quali per istraordinaria anomalia è mutata la coniugazione di do dalla prima nella terza: non così in circumdo as, venundo as, pessundo as ec.).} Ma in nessun composto del verbo δίδωμι comparisce nel greco il suo vero tema. ῎Eδω voce e tema di verbo anomalo o difettivo, non si troverà, ﻿ 2773 credo, in greco se non presso i poeti, ma tra' latini edo e il suo composto comedo sono voci e verbi di tutti i secoli e di tutte le scritture. Eo ἔω tema da cui nascono in greco tanti verbi, non si trova nè fra' poeti greci nè fra' prosatori ma egli è comune e proprio ai latini, e ne nasce un verbo usitatissimo, co' suoi composti, che tutti conservano il tema intatto {e conservano altresì tutta la sua coniugazione perfettamente,} redeo, abeo, exeo, ineo, subeo, coeo, {adeo, circumeo, pereo, intereo, obeo, prodeo, introeo, veneo, prętereo, transeo,} ec. Nessun composto greco conserva il tema ἔω. Lateo è il medesimo che λήϑω, voce, {e} tempo ben raro negli scrittori greci, e verbo difettivo in greco, ma {tema} comune e usitatissimo, e verbo quasi perfetto e regolare in latino. {Il tema λήϑω trovasi espressamente in Senofon. Simpos. c. 4. §. 48.} I Dori e gli Eoli dicevano probabilmente λάϑω. Patior che sta in luogo dell'attivo patio (il quale pur si trova nell'antica latinità) è più vicino al πήϑω, (Dor. ed Eol. πάϑω) inusitato in greco, che non è l'usitato πάσχω. {Composti, per-petior ec.} Il verbo fero, s'io non m'inganno, ha più voci in latino che in greco. Del tema sto equivalente all'inusitato στάω, altrove pp. 2142. sgg. {+Il tema στάω non si trova, ch'io sappia in greco. Il verbo si trova, cioè ἔστην ἕστηκα στήσας, στάς ec. ma è difettivo. Il verbo sto è intero.}"
https://digitalzibaldone.net/node/p2771_3,do,PER,324,326,"Come la lingua latina abbia conservato l'antichità più della greca, si dimostra ancora con queste considerazioni. 1. La lingua latina conserva nell'uso comune de' suoi buoni tempi e de' seguenti (non solo degli anteriori) i temi, o altre voci regolari di verbi che tra' greci, avendo le stesse radici che in latino, ma essen"," però difettivi o anomali, non conservano i loro primi temi o quelle tali voci regolari, o non le usano se non di rarissimo, ﻿ 2772 o talmente ch'essi temi ed esse voci non si trovano se non presso gli antichissimi autori, o presso i poeti soli, i quali in ciascuna lingua che ha favella poetica distinta, conservano sempre gran parte d'antichità per le ragioni che ho detto altrove pp. 2639. sgg. Dovechè la lingua latina usa essi temi ed esse voci universalmente sì nella prosa come nel verso, ed usale ne' secoli in ch'ella era già formata e piena, ed usale eziandio non come rare, nè come quasi licenze o arcaismi, ma tutto dì e regolarmente e come temi e voci proprie e debite di quei verbi a' quali appartengono. Per esempio il verbo do, si è il tema di δίδωμι (e nota che questo verbo in greco non è neppure anomalo nè difettivo, {+ma l'uso l'ha cangiato interamente dal suo primo stato, a differenza del verbo latino do.).} Il qual tema conservasi nel latino in tutti i composti d'esso verbo, come {credo, edo, trado,} addo, {subdo, prodo, vendo, perdo,} indo, condo, reddo, dedo, {ec.} {+(ne' quali per istraordinaria anomalia è mutata la coniugazione di do dalla prima nella terza: non così in circumdo as, venundo as, pessundo as ec.).} Ma in nessun composto del verbo δίδωμι comparisce nel greco il suo vero tema. ῎Eδω voce e tema di verbo anomalo o difettivo, non si troverà, ﻿ 2773 credo, in greco se non presso i poeti, ma tra' latini edo e il suo composto comedo sono voci e verbi di tutti i secoli e di tutte le scritture. Eo ἔω tema da cui nascono in greco tanti verbi, non si trova nè fra' poeti greci nè fra' prosatori ma egli è comune e proprio ai latini, e ne nasce un verbo usitatissimo, co' suoi composti, che tutti conservano il tema intatto {e conservano altresì tutta la sua coniugazione perfettamente,} redeo, abeo, exeo, ineo, subeo, coeo, {adeo, circumeo, pereo, intereo, obeo, prodeo, introeo, veneo, prętereo, transeo,} ec. Nessun composto greco conserva il tema ἔω. Lateo è il medesimo che λήϑω, voce, {e} tempo ben raro negli scrittori greci, e verbo difettivo in greco, ma {tema} comune e usitatissimo, e verbo quasi perfetto e regolare in latino. {Il tema λήϑω trovasi espressamente in Senofon. Simpos. c. 4. §. 48.} I Dori e gli Eoli dicevano probabilmente λάϑω. Patior che sta in luogo dell'attivo patio (il quale pur si trova nell'antica latinità) è più vicino al πήϑω, (Dor. ed Eol. πάϑω) inusitato in greco, che non è l'usitato πάσχω. {Composti, per-petior ec.} Il verbo fero, s'io non m'inganno, ha più voci in latino che in greco. Del tema sto equivalente all'inusitato στάω, altrove pp. 2142. sgg. {+Il tema στάω non si trova, ch'io sappia in greco. Il verbo si trova, cioè ἔστην ἕστηκα στήσας, στάς ec. ma è difettivo. Il verbo sto è intero.}"
