id,start_pos,end_pos,surface,type,wb_id,alias
https://digitalzibaldone.net/node/p2700_1,1510,1520,Tiraboschi,PER,Q978614,Girolamo Tiraboschi
https://digitalzibaldone.net/node/p2700_1,1530,1539,Perticari,PER,Q545451,Giacomo Antonio Perti
https://digitalzibaldone.net/node/p2700_1,1553,1558,Dante,PER,Q1067,Dante Alighieri
https://digitalzibaldone.net/node/p2703_1,972,978,Crusca,PER,NIL,
https://digitalzibaldone.net/node/p2703_1,982,986,Bau.,LOC,NIL,
https://digitalzibaldone.net/node/p2703_1,1005,1009,Bobò,PER,NIL,
https://digitalzibaldone.net/node/p2703_1,1300,1313,V. Forcellini,PER,Q6163667,
https://digitalzibaldone.net/node/p2705_1,114,120,Italia,LOC,Q38,Italia
https://digitalzibaldone.net/node/p2705_1,127,136,Perticari,PER,NIL,
https://digitalzibaldone.net/node/p2705_1,149,154,Dante,PER,Q1067,Dante Alighieri
https://digitalzibaldone.net/node/p2705_2,33,42,Perticari,PER,NIL,
https://digitalzibaldone.net/node/p2705_3,589,598,Perticari,PER,Q268649,Giovanni Battista Pignatelli
https://digitalzibaldone.net/node/p2705_3,623,628,Monti,PER,Q723643,Vincenzo Monti
https://digitalzibaldone.net/node/p2705_3,2172,2177,Locke,PER,Q9353,John Locke
https://digitalzibaldone.net/node/p2708_1,0,8,Cartesio,PER,Q9191,Cartesio
https://digitalzibaldone.net/node/p2708_1,171,179,Cartesio,PER,Q9191,Cartesio
https://digitalzibaldone.net/node/p2708_1,426,432,Newton,PER,Q935,Isaac Newton
https://digitalzibaldone.net/node/p2708_1,591,598,Platone,PER,Q859,Platone
https://digitalzibaldone.net/node/p2709_1,473,481,Cartesio,PER,Q9191,Cartesio
https://digitalzibaldone.net/node/p2709_1,484,490,Newton,PER,Q935,Isaac Newton
https://digitalzibaldone.net/node/p2709_1,1309,1316,Wieland,PER,Q154010,Christoph Martin Wieland
https://digitalzibaldone.net/node/p2709_1,1336,1347,Danischmend,PER,Q714771,Danishmend Ghazi
https://digitalzibaldone.net/node/p2711_1,1276,1286,California,LOC,Q99,California
https://digitalzibaldone.net/node/p2715_1,0,9,Perticari,PER,NIL,
https://digitalzibaldone.net/node/p2715_1,11,23,Degli Scritt,PER,NIL,
https://digitalzibaldone.net/node/p2715_2,89,97,Petrarca,PER,Q1401,Francesco Petrarca
https://digitalzibaldone.net/node/p2715_2,131,140,Boccaccio,PER,Q1402,Giovanni Boccaccio
https://digitalzibaldone.net/node/p2715_2,147,156,Perticari,PER,NIL,
https://digitalzibaldone.net/node/p2715_2,271,276,Dante,PER,Q1067,Dante Alighieri
https://digitalzibaldone.net/node/p2717_1,271,278,Platone,PER,Q859,Platone
https://digitalzibaldone.net/node/p2717_1,388,395,Socrate,PER,Q913,Socrate
https://digitalzibaldone.net/node/p2717_1,398,403,Fedro,PER,Q52166,Fedro
https://digitalzibaldone.net/node/p2717_1,439,446,Platone,PER,Q859,Platone
https://digitalzibaldone.net/node/p2717_1,505,510,Lisia,PER,Q310164,Lisia
https://digitalzibaldone.net/node/p2717_1,516,523,Socrate,PER,Q913,Socrate
https://digitalzibaldone.net/node/p2717_1,578,596,Perciocchè Platone,PER,Q859,Platone
https://digitalzibaldone.net/node/p2717_1,1370,1377,Platone,PER,Q859,Platone
https://digitalzibaldone.net/node/p2718_1,132,141,Perticari,PER,Q3769747,Giulio Perticari
https://digitalzibaldone.net/node/p2718_1,1892,1898,italia,LOC,Q38,Italia
https://digitalzibaldone.net/node/p2721_1,9,14,Gelli,PER,Q518160,Giovan Battista Gelli
https://digitalzibaldone.net/node/p2721_1,31,53,Perticari Degli Scritt,PER,NIL,
https://digitalzibaldone.net/node/p2721_2,195,204,Perticari,PER,Q3769747,Giulio Perticari
https://digitalzibaldone.net/node/p2721_3,0,10,Aristotele,PER,Q868,Aristotele
https://digitalzibaldone.net/node/p2721_4,215,223,Cicerone,PER,Q1541,Marco Tullio Cicerone
https://digitalzibaldone.net/node/p2722_1,868,874,Orazio,PER,Q932707,Orazio Farnese
https://digitalzibaldone.net/node/p2722_1,1175,1188,Abate Colombo,PER,Q7322,Cristoforo Colombo
https://digitalzibaldone.net/node/p2722_1,1339,1352,Abate Colombo,PER,Q7322,Cristoforo Colombo
https://digitalzibaldone.net/node/p2722_1,1355,1360,Parma,LOC,Q2683,Parma
https://digitalzibaldone.net/node/p2722_1,1365,1382,Giuseppe Paganino,PER,Q1010849,Giuseppe Paganini
https://digitalzibaldone.net/node/p2723_1,272,277,Bembo,PER,Q334188,Pietro Bembo
https://digitalzibaldone.net/node/p2723_1,395,403,Petrarca,PER,Q1401,Francesco Petrarca
https://digitalzibaldone.net/node/p2723_1,414,423,Boccaccio,PER,Q1402,Giovanni Boccaccio
https://digitalzibaldone.net/node/p2723_1,464,472,Cicerone,PER,Q1541,Marco Tullio Cicerone
https://digitalzibaldone.net/node/p2723_1,477,483,Orazio,PER,Q6197,Quinto Orazio Flacco
https://digitalzibaldone.net/node/p2727_1,432,440,Cicerone,PER,Q1541,Marco Tullio Cicerone
https://digitalzibaldone.net/node/p2728_1,619,628,Teofrasto,PER,Q160362,Teofrasto
https://digitalzibaldone.net/node/p2728_1,1223,1228,Celso,PER,Q315370,Celso
https://digitalzibaldone.net/node/p2728_1,1354,1363,Ippocrate,PER,Q5264,Ippocrate
https://digitalzibaldone.net/node/p2728_1,1439,1444,Celso,PER,Q315370,Celso
https://digitalzibaldone.net/node/p2728_1,1500,1506,Plinio,PER,Q82778,Plinio il Vecchio
https://digitalzibaldone.net/node/p2728_1,1615,1619,Mela,PER,Q297515,Pomponio Mela
https://digitalzibaldone.net/node/p2728_1,1621,1627,Solino,PER,Q520487,Gaio Giulio Solino
https://digitalzibaldone.net/node/p2728_1,1629,1636,Varrone,PER,Q206119,Marco Terenzio Varrone
https://digitalzibaldone.net/node/p2728_1,1638,1645,Vegezio,PER,Q4298,Publio Vegezio Renato
https://digitalzibaldone.net/node/p2728_1,1647,1656,Columella,PER,Q318317,Lucio Giunio Moderato Columella
https://digitalzibaldone.net/node/p2728_1,1763,1774,V. Giordani,PER,Q1092339,Pietro Giordani
https://digitalzibaldone.net/node/p2728_1,1795,1806,Pallavicino,PER,Q16268605,Pallavicino Pallavicini
https://digitalzibaldone.net/node/p2728_1,1812,1818,Buffon,PER,Q229264,Georges-Louis Leclerc de Buffon
https://digitalzibaldone.net/node/p2728_1,2656,2662,Buffon,PER,Q229264,Georges-Louis Leclerc de Buffon
https://digitalzibaldone.net/node/p2728_1,3153,3159,Buffon,PER,Q229264,Georges-Louis Leclerc de Buffon
https://digitalzibaldone.net/node/p2731_1,192,199,Speroni,PER,NIL,
https://digitalzibaldone.net/node/p2731_1,201,207,Dial.i,PER,NIL,
https://digitalzibaldone.net/node/p2731_1,787,793,Buffon,PER,Q229264,Georges-Louis Leclerc de Buffon
https://digitalzibaldone.net/node/p2731_2,147,153,Tacito,PER,Q2161,Publio Cornelio Tacito
https://digitalzibaldone.net/node/p2731_2,176,186,Vespasiano,PER,Q1419,Vespasiano
https://digitalzibaldone.net/node/p2731_2,322,329,Appiano,PER,Q190368,Appiano di Alessandria
https://digitalzibaldone.net/node/p2731_2,331,336,Dione,PER,Q185223,Cassio Dione
https://digitalzibaldone.net/node/p2731_2,338,346,Erodiano,PER,Q313056,Erodiano
https://digitalzibaldone.net/node/p2731_2,395,410,Constantinopoli,LOC,Q16869,Costantinopoli
https://digitalzibaldone.net/node/p2731_2,429,437,Procopio,PER,Q316284,Procopio
https://digitalzibaldone.net/node/p2731_2,439,445,Agazia,PER,Q233136,Agazia
https://digitalzibaldone.net/node/p2731_2,447,453,Zosimo,PER,Q226858,Zosimo
https://digitalzibaldone.net/node/p2731_2,503,513,Vespasiano,PER,Q1419,Vespasiano
https://digitalzibaldone.net/node/p2731_2,679,686,Ammiano,PER,Q172198,Ammiano Marcellino
https://digitalzibaldone.net/node/p2731_2,720,726,Orosio,PER,Q311456,Paolo Orosio
https://digitalzibaldone.net/node/p2734_1,113,122,S. Ilario,PER,Q172377,papa Ilario
https://digitalzibaldone.net/node/p2734_1,253,255,V.,PER,NIL,
https://digitalzibaldone.net/node/p2734_1,284,293,S. Ilario,PER,Q172377,papa Ilario
https://digitalzibaldone.net/node/p2734_1,314,320,Maffei,PER,Q1587432,Scipione Maffei
https://digitalzibaldone.net/node/p2734_1,340,349,S. Atanas,PER,Q44024,Atanasio di Alessandria
https://digitalzibaldone.net/node/p2734_1,409,416,Eusebio,PER,Q142999,Eusebio di Cesarea
https://digitalzibaldone.net/node/p2734_1,482,495,Europa latina,LOC,Q12585,America Latina
https://digitalzibaldone.net/node/p2734_1,578,586,Prospero,PER,Q454652,Prospero d'Aquitania
https://digitalzibaldone.net/node/p2734_1,588,595,Isidoro,PER,Q707663,Isidoro di Kiev
https://digitalzibaldone.net/node/p2734_1,642,648,Italia,LOC,Q38,Italia
https://digitalzibaldone.net/node/p2734_1,722,727,Omero,PER,NIL,
https://digitalzibaldone.net/node/p2734_1,732,740,Menandro,PER,Q118992,Menandro
https://digitalzibaldone.net/node/p2734_1,959,973,Samuele Aniese,PER,Q3036364,Samuel Anetsi
https://digitalzibaldone.net/node/p2735_1,0,3,Nam,PER,NIL,
https://digitalzibaldone.net/node/p2735_1,380,384,Orat,PER,Q6197,Quinto Orazio Flacco
https://digitalzibaldone.net/node/p2735_1,944,952,Cicerone,PER,Q1541,Marco Tullio Cicerone
https://digitalzibaldone.net/node/p2738_1,199,212,Chateaubriand,PER,Q49767,François-René de Chateaubriand
https://digitalzibaldone.net/node/p2738_1,606,619,Chateaubriand,PER,Q49767,François-René de Chateaubriand
https://digitalzibaldone.net/node/p2738_1,1030,1039,Cristiano,PER,NIL,
https://digitalzibaldone.net/node/p2739_1,34,39,Ennio,LOC,NIL,
https://digitalzibaldone.net/node/p2739_1,45,52,Forcell,PER,Q762148,Gaio Licinio Calvo Stolone
https://digitalzibaldone.net/node/p2739_1,187,195,de Repub,PER,NIL,
https://digitalzibaldone.net/node/p2739_1,253,256,Mai,PER,Q304825,Angelo Mai
https://digitalzibaldone.net/node/p2740_1,412,418,Plinio,PER,Q82778,Plinio il Vecchio
https://digitalzibaldone.net/node/p2740_1,423,431,Simonide,PER,Q273003,Simonide
https://digitalzibaldone.net/node/p2740_1,470,477,Claudio,PER,Q1411,Claudio
https://digitalzibaldone.net/node/p2740_1,4180,4186,Plinio,PER,Q82778,Plinio il Vecchio
https://digitalzibaldone.net/node/p2740_1,4198,4206,Palamede,PER,NIL,
https://digitalzibaldone.net/node/p2740_1,4237,4243,Cadmeo,PER,NIL,
https://digitalzibaldone.net/node/p2740_1,4246,4253,Fenicio,PER,NIL,
https://digitalzibaldone.net/node/p2740_1,4317,4325,Simonide,PER,Q273003,Simonide
https://digitalzibaldone.net/node/p2747_1,2979,2984,China,LOC,Q148,Cina
https://digitalzibaldone.net/node/p2757_1,55,61,Crusca,PER,Q5811,Masaccio
https://digitalzibaldone.net/node/p2757_1,140,153,V. Forcellini,PER,Q196527,Venceslao I
https://digitalzibaldone.net/node/p2757_1,157,165,Retinere,LOC,NIL,
https://digitalzibaldone.net/node/p2757_1,269,277,Cassiod.,PER,Q192365,Cassiodoro
https://digitalzibaldone.net/node/p2757_1,282,288,Venet.,PER,NIL,
https://digitalzibaldone.net/node/p2757_1,596,606,Retinentia,LOC,NIL,
https://digitalzibaldone.net/node/p2757_2,543,550,Bartoli,PER,Q5563690,Giovanni di Bartolo
https://digitalzibaldone.net/node/p2757_2,554,559,Torto,PER,NIL,
https://digitalzibaldone.net/node/p2757_2,846,854,Virgilio,PER,Q1398,Publio Virgilio Marone
https://digitalzibaldone.net/node/p2757_2,1115,1121,Odorus,PER,NIL,
