par_id,surface,start,end,identifier,type,match,pattern
https://digitalzibaldone.net/node/p2700_1,Tiraboschi,1510,1520,Q978614,PER,exact,
https://digitalzibaldone.net/node/p2705_1,Italia,114,120,Q38,LOC,exact,
https://digitalzibaldone.net/node/p2705_3,Monti,623,628,Q723643,PER,exact,
https://digitalzibaldone.net/node/p2705_3,Locke,2172,2177,Q9353,PER,exact,
https://digitalzibaldone.net/node/p2708_1,Cartesio,0,8,Q9191,PER,exact,
https://digitalzibaldone.net/node/p2708_1,Cartesio,171,179,Q9191,PER,exact,
https://digitalzibaldone.net/node/p2708_1,Newton,426,432,Q935,PER,exact,
https://digitalzibaldone.net/node/p2708_1,Platone,591,598,Q859,PER,exact,
https://digitalzibaldone.net/node/p2709_1,Cartesio,473,481,Q9191,PER,exact,
https://digitalzibaldone.net/node/p2709_1,Newton,484,490,Q935,PER,exact,
https://digitalzibaldone.net/node/p2709_1,Wieland,1309,1316,Q154010,PER,exact,
https://digitalzibaldone.net/node/p2711_1,California,1276,1286,Q99,LOC,exact,
https://digitalzibaldone.net/node/p2715_2,Petrarca,89,97,Q1401,PER,exact,
https://digitalzibaldone.net/node/p2715_2,Boccaccio,131,140,Q1402,PER,exact,
https://digitalzibaldone.net/node/p2717_1,Platone,271,278,Q859,PER,exact,
https://digitalzibaldone.net/node/p2717_1,Platone,439,446,Q859,PER,exact,
https://digitalzibaldone.net/node/p2717_1,Platone,589,596,Q859,PER,exact,
https://digitalzibaldone.net/node/p2717_1,Platone,1370,1377,Q859,PER,exact,
https://digitalzibaldone.net/node/p2717_1,Socrate,388,395,Q913,PER,exact,
https://digitalzibaldone.net/node/p2717_1,Socrate,516,523,Q913,PER,exact,
https://digitalzibaldone.net/node/p2717_1,Lisia,505,510,Q310164,PER,exact,
https://digitalzibaldone.net/node/p2718_1,italia,1892,1898,Q38,LOC,exact,
https://digitalzibaldone.net/node/p2718_1,Perticari,132,141,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2721_1,Gelli,9,14,Q518160,PER,exact,
https://digitalzibaldone.net/node/p2721_2,Perticari,195,204,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2721_3,Aristotele,0,10,Q868,PER,exact,
https://digitalzibaldone.net/node/p2721_4,Cicerone,215,223,Q1541,PER,exact,
https://digitalzibaldone.net/node/p2722_1,Parma,1355,1360,Q2683,LOC,exact,
https://digitalzibaldone.net/node/p2723_1,Bembo,272,277,Q334188,PER,exact,
