par_id,surface,start,end,identifier,type,match,pattern
https://digitalzibaldone.net/node/p2703_1,Richelet,809,817,Q1236889,PER,exact,
https://digitalzibaldone.net/node/p2717_1,Fedro,262,267,Q554535,PER,exact,
https://digitalzibaldone.net/node/p2718_1,Perticari,2199,2208,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2721_3,Perticari,60,69,Q3769747,PER,exact,
https://digitalzibaldone.net/node/p2728_1,Platone,532,539,Q859,PER,exact,
https://digitalzibaldone.net/node/p2728_1,Aristotele,603,613,Q868,PER,exact,
https://digitalzibaldone.net/node/p2728_1,Galileo,1671,1678,Q307,PER,exact,
https://digitalzibaldone.net/node/p2728_1,Bailly,2201,2207,Q1685301,PER,exact,
https://digitalzibaldone.net/node/p2731_1,Ven.,208,212,Q641,LOC,exact,
https://digitalzibaldone.net/node/p2731_2,impero,493,499,Q2277,LOC,exact,
https://digitalzibaldone.net/node/p2731_2,impero,2104,2110,Q2277,LOC,exact,
https://digitalzibaldone.net/node/p2731_2,grecia,1569,1575,Q11772,LOC,exact,
https://digitalzibaldone.net/node/p2731_2,grecia,1879,1885,Q11772,LOC,exact,
https://digitalzibaldone.net/node/p2731_2,Erodoto,952,959,Q26825,PER,exact,
https://digitalzibaldone.net/node/p2734_1,Pad.,363,367,Q617,LOC,exact,
https://digitalzibaldone.net/node/p2734_1,Oriente,792,799,Q205653,LOC,exact,
https://digitalzibaldone.net/node/p2734_1,Oriente,832,839,Q205653,LOC,exact,
https://digitalzibaldone.net/node/p2734_1,grecia,893,899,Q11772,LOC,exact,
https://digitalzibaldone.net/node/p2734_1,Africano,396,404,Q317014,PER,exact,
https://digitalzibaldone.net/node/p2735_1,impero latino,880,893,Q2277,LOC,exact,
https://digitalzibaldone.net/node/p2735_1,Cic.,374,378,Q1541,PER,exact,
https://digitalzibaldone.net/node/p2739_1,Rom.,220,224,Q220,LOC,exact,
https://digitalzibaldone.net/node/p2739_1,Ennio,34,39,Q47130,PER,exact,
https://digitalzibaldone.net/node/p2739_1,Cic.,181,185,Q1541,PER,exact,
https://digitalzibaldone.net/node/p2757_1,Venet.,282,288,Q641,LOC,exact,
https://digitalzibaldone.net/node/p2757_1,Romae,513,518,Q220,LOC,exact,
https://digitalzibaldone.net/node/p2757_1,Cassiodoro,181,191,Q192365,PER,exact,
https://digitalzibaldone.net/node/p2761_1,Virgilio,154,162,Q1398,PER,exact,
https://digitalzibaldone.net/node/p2767_1,Giove,813,818,Q4649,PER,exact,
https://digitalzibaldone.net/node/p2771_1,Caro,241,245,Q566851,PER,exact,
https://digitalzibaldone.net/node/p2771_3,Senofon.,2548,2556,Q129772,PER,exact,
https://digitalzibaldone.net/node/p2774_1,Gell.,634,639,Q294800,PER,exact,
https://digitalzibaldone.net/node/p2776_1,Scap.,849,854,Q3179685,PER,exact,
https://digitalzibaldone.net/node/p2776_1,Cic.,2113,2117,Q1541,PER,exact,
https://digitalzibaldone.net/node/p2779_2,Pad.,487,491,Q617,LOC,exact,
https://digitalzibaldone.net/node/p2781_1,grecia,931,937,Q11772,LOC,exact,
https://digitalzibaldone.net/node/p2782_1,italia,89,95,Q38,LOC,exact,
https://digitalzibaldone.net/node/p2782_1,italia,719,725,Q38,LOC,exact,
https://digitalzibaldone.net/node/p2782_1,francia,293,300,Q142,LOC,exact,
https://digitalzibaldone.net/node/p2783_1,francia,109,116,Q142,LOC,exact,
https://digitalzibaldone.net/node/p2786_1,Tucidide,1814,1822,Q41683,PER,exact,
https://digitalzibaldone.net/node/p2788_1,Omero,879,884,Q6691,PER,exact,
