id,surface_form,start_pos,end_pos,type
https://digitalzibaldone.net/node/p2700_1,Tiraboschi,1510,1520,PER
https://digitalzibaldone.net/node/p2700_1,Perticari,1530,1539,PER
https://digitalzibaldone.net/node/p2700_1,Dante,1553,1558,PER
https://digitalzibaldone.net/node/p2703_1,Crusca,972,978,PER
https://digitalzibaldone.net/node/p2703_1,Bau.,982,986,LOC
https://digitalzibaldone.net/node/p2703_1,Bobò,1005,1009,PER
https://digitalzibaldone.net/node/p2703_1,V. Forcellini,1300,1313,PER
https://digitalzibaldone.net/node/p2705_1,Italia,114,120,LOC
https://digitalzibaldone.net/node/p2705_1,Perticari,127,136,PER
https://digitalzibaldone.net/node/p2705_1,Dante,149,154,PER
https://digitalzibaldone.net/node/p2705_2,Perticari,33,42,PER
https://digitalzibaldone.net/node/p2705_3,Perticari,589,598,PER
https://digitalzibaldone.net/node/p2705_3,Monti,623,628,PER
https://digitalzibaldone.net/node/p2705_3,Locke,2172,2177,PER
https://digitalzibaldone.net/node/p2708_1,Cartesio,0,8,PER
https://digitalzibaldone.net/node/p2708_1,Cartesio,171,179,PER
https://digitalzibaldone.net/node/p2708_1,Newton,426,432,PER
https://digitalzibaldone.net/node/p2708_1,Platone,591,598,PER
https://digitalzibaldone.net/node/p2709_1,Cartesio,473,481,PER
https://digitalzibaldone.net/node/p2709_1,Newton,484,490,PER
https://digitalzibaldone.net/node/p2709_1,Wieland,1309,1316,PER
https://digitalzibaldone.net/node/p2709_1,Danischmend,1336,1347,PER
https://digitalzibaldone.net/node/p2711_1,California,1276,1286,LOC
https://digitalzibaldone.net/node/p2715_1,Perticari,0,9,PER
https://digitalzibaldone.net/node/p2715_1,Degli Scritt,11,23,PER
https://digitalzibaldone.net/node/p2715_2,Petrarca,89,97,PER
https://digitalzibaldone.net/node/p2715_2,Boccaccio,131,140,PER
https://digitalzibaldone.net/node/p2715_2,Perticari,147,156,PER
https://digitalzibaldone.net/node/p2715_2,Dante,271,276,PER
https://digitalzibaldone.net/node/p2717_1,Platone,271,278,PER
https://digitalzibaldone.net/node/p2717_1,Socrate,388,395,PER
https://digitalzibaldone.net/node/p2717_1,Fedro,398,403,PER
https://digitalzibaldone.net/node/p2717_1,Platone,439,446,PER
https://digitalzibaldone.net/node/p2717_1,Lisia,505,510,PER
https://digitalzibaldone.net/node/p2717_1,Socrate,516,523,PER
https://digitalzibaldone.net/node/p2717_1,Perciocchè Platone,578,596,PER
