par_id,surface,start,end,identifier,type,match,pattern
https://digitalzibaldone.net/node/p2718_1,italia,1892,1898,Q38,LOC,exact,
https://digitalzibaldone.net/node/p2731_1,Ven.,208,212,Q641,LOC,exact,
https://digitalzibaldone.net/node/p2731_2,impero,493,499,Q2277,LOC,exact,
https://digitalzibaldone.net/node/p2731_2,impero,2104,2110,Q2277,LOC,exact,
https://digitalzibaldone.net/node/p2731_2,grecia,1569,1575,Q11772,LOC,exact,
https://digitalzibaldone.net/node/p2731_2,grecia,1879,1885,Q11772,LOC,exact,
https://digitalzibaldone.net/node/p2734_1,Pad.,363,367,Q617,LOC,exact,
https://digitalzibaldone.net/node/p2734_1,Oriente,792,799,Q205653,LOC,exact,
https://digitalzibaldone.net/node/p2734_1,Oriente,832,839,Q205653,LOC,exact,
https://digitalzibaldone.net/node/p2734_1,grecia,893,899,Q11772,LOC,exact,
https://digitalzibaldone.net/node/p2735_1,impero latino,880,893,Q2277,LOC,exact,
https://digitalzibaldone.net/node/p2739_1,Rom.,220,224,Q220,LOC,exact,
https://digitalzibaldone.net/node/p2747_1,China,2979,2984,Q29520,LOC,exact,
https://digitalzibaldone.net/node/p2757_1,Venet.,282,288,Q641,LOC,exact,
https://digitalzibaldone.net/node/p2779_2,Pad.,487,491,Q617,LOC,exact,
https://digitalzibaldone.net/node/p2781_1,grecia,931,937,Q11772,LOC,exact,
https://digitalzibaldone.net/node/p2782_1,francia,293,300,Q142,LOC,exact,
https://digitalzibaldone.net/node/p2783_1,francia,109,116,Q142,LOC,exact,
https://digitalzibaldone.net/node/p2792_1,Amstel.,875,882,Q727,LOC,exact,
https://digitalzibaldone.net/node/p2809_1,Marca,662,667,Q1279,LOC,exact,
https://digitalzibaldone.net/node/p2809_1,Venez.,1349,1355,Q641,LOC,exact,
https://digitalzibaldone.net/node/p2809_1,Venez.,1530,1536,Q641,LOC,exact,
https://digitalzibaldone.net/node/p2809_1,Ven.,1673,1677,Q641,LOC,exact,
https://digitalzibaldone.net/node/p2825_1,Patav.,722,728,Q617,LOC,exact,
https://digitalzibaldone.net/node/p2869_1,Francia,2915,2922,Q142,LOC,exact,
https://digitalzibaldone.net/node/p2869_1,Francia,3404,3411,Q142,LOC,exact,
https://digitalzibaldone.net/node/p2869_1,Provenza,2982,2990,Q101081,LOC,exact,
https://digitalzibaldone.net/node/p2875_1,inghilterra,711,722,Q21,LOC,exact,
https://digitalzibaldone.net/node/p2876_2,Rom.,2901,2905,Q220,LOC,exact,
https://digitalzibaldone.net/node/p2879_2,italia,1900,1906,Q38,LOC,exact,
https://digitalzibaldone.net/node/p2881_1,Argo,282,286,Q189901,LOC,exact,
https://digitalzibaldone.net/node/p2884_1,Venez.,633,639,Q641,LOC,exact,
https://digitalzibaldone.net/node/p2891_1,impero,146,152,Q2277,LOC,exact,
https://digitalzibaldone.net/node/p2919_2,Lips.,290,295,Q2079,LOC,exact,
https://digitalzibaldone.net/node/p2923_3,Attica,414,420,Q122443,LOC,exact,
https://digitalzibaldone.net/node/p2934_1,italia,712,718,Q38,LOC,exact,
https://digitalzibaldone.net/node/p2934_1,veneziano,740,749,Q641,LOC,exact,
https://digitalzibaldone.net/node/p2995_2,Lips.,80,85,Q2079,LOC,exact,
