id,start_pos,end_pos,surface,type,score
https://digitalzibaldone.net/node/p2700_1,1510,1520,Tiraboschi,PER,0.97432417
https://digitalzibaldone.net/node/p2700_1,1530,1539,Perticari,PER,0.96731144
https://digitalzibaldone.net/node/p2703_1,1005,1009,Bobò,PER,0.91439164
https://digitalzibaldone.net/node/p2703_1,1285,1288,Cru,LOC,0.6266506
https://digitalzibaldone.net/node/p2703_1,1300,1313,V. Forcellini,PER,0.96272373
https://digitalzibaldone.net/node/p2705_1,114,120,Italia,LOC,0.9998343
https://digitalzibaldone.net/node/p2705_1,149,154,Dante,PER,0.68608725
https://digitalzibaldone.net/node/p2705_2,33,42,Perticari,PER,0.68885154
https://digitalzibaldone.net/node/p2705_3,2172,2177,Locke,PER,0.9992765
https://digitalzibaldone.net/node/p2708_1,0,8,Cartesio,PER,0.9998384
https://digitalzibaldone.net/node/p2708_1,171,179,Cartesio,PER,0.99983394
https://digitalzibaldone.net/node/p2708_1,426,432,Newton,PER,0.99971634
https://digitalzibaldone.net/node/p2708_1,591,598,Platone,PER,0.99974966
https://digitalzibaldone.net/node/p2709_1,473,481,Cartesio,PER,0.999791
https://digitalzibaldone.net/node/p2709_1,484,490,Newton,PER,0.9984479
https://digitalzibaldone.net/node/p2709_1,1309,1316,Wieland,PER,0.99979895
https://digitalzibaldone.net/node/p2711_1,1276,1286,California,LOC,0.9998307
https://digitalzibaldone.net/node/p2715_1,0,9,Perticari,PER,0.9785244
https://digitalzibaldone.net/node/p2715_2,89,97,Petrarca,PER,0.99957603
https://digitalzibaldone.net/node/p2715_2,131,140,Boccaccio,PER,0.99968284
https://digitalzibaldone.net/node/p2715_2,147,170,Perticari Degli Scritt.,PER,0.998572
https://digitalzibaldone.net/node/p2715_2,271,276,Dante,PER,0.8222803
https://digitalzibaldone.net/node/p2717_1,271,278,Platone,PER,0.9995502
https://digitalzibaldone.net/node/p2717_1,388,395,Socrate,PER,0.549477
https://digitalzibaldone.net/node/p2717_1,398,403,Fedro,PER,0.93873245
https://digitalzibaldone.net/node/p2717_1,439,446,Platone,PER,0.9997804
https://digitalzibaldone.net/node/p2717_1,505,510,Lisia,PER,0.9992143
https://digitalzibaldone.net/node/p2717_1,516,523,Socrate,PER,0.99951065
https://digitalzibaldone.net/node/p2717_1,589,596,Platone,PER,0.9996846
https://digitalzibaldone.net/node/p2717_1,1370,1377,Platone,PER,0.9997875
https://digitalzibaldone.net/node/p2718_1,132,141,Perticari,PER,0.71523166
https://digitalzibaldone.net/node/p2721_1,9,14,Gelli,PER,0.9101101
https://digitalzibaldone.net/node/p2721_1,31,34,Per,PER,0.5655483
https://digitalzibaldone.net/node/p2721_1,41,53,Degli Scritt,PER,0.776415
https://digitalzibaldone.net/node/p2721_2,195,204,Perticari,PER,0.94928694
https://digitalzibaldone.net/node/p2721_3,0,10,Aristotele,PER,0.99980944
https://digitalzibaldone.net/node/p2721_3,60,69,Perticari,PER,0.8455947
https://digitalzibaldone.net/node/p2721_4,215,223,Cicerone,PER,0.99931246
https://digitalzibaldone.net/node/p2722_1,670,678,Trecento,PER,0.71721035
https://digitalzibaldone.net/node/p2722_1,868,874,Orazio,PER,0.9990338
https://digitalzibaldone.net/node/p2722_1,1175,1188,Abate Colombo,PER,0.9987605
https://digitalzibaldone.net/node/p2722_1,1339,1352,Abate Colombo,PER,0.998725
https://digitalzibaldone.net/node/p2722_1,1355,1360,Parma,LOC,0.9989831
https://digitalzibaldone.net/node/p2722_1,1365,1382,Giuseppe Paganino,PER,0.9998292
https://digitalzibaldone.net/node/p2722_1,1485,1490,Stile,PER,0.6066181
https://digitalzibaldone.net/node/p2722_1,1522,1531,Scrittore,PER,0.79877996
