par_id,surface,start,end,wikidata,type,match,pattern
p3400_1,europa,431,437,Q46,LOC,exact,
p4226_1,Basil.,154,160,Q78,LOC,exact,
p24_3,Toscana,2626,2633,Q1273,LOC,exact,
p24_3,Italia,4601,4607,Q38,LOC,exact,
p24_3,Orazio,4190,4196,Q6197,PER,exact,
p24_3,Pindaro,2390,2397,Q134929,PER,exact,
p24_3,Pindaro,4230,4237,Q134929,PER,exact,
p24_3,Chiabrera,4702,4711,Q2344301,PER,partial,Gabbriello Chiabrera
p24_3,Gravina,3586,3593,Q727363,PER,partial,Giovanni Vincenzo Gravina
p24_3,Maffei,3618,3624,Q1587432,PER,partial,"Francesco Scipione, marchese di Maffei"
p24_3,Pindarico,67,76,Q134929,PER,levenshtein,Pindaro
p3486_2,grecia,486,492,Q11772,LOC,exact,
p3643_1,Lapponia,3309,3317,Q212640,LOC,exact,
p3643_1,Russia,3348,3354,Q159,LOC,exact,
p3643_1,Orazio,2834,2840,Q6197,PER,exact,
p32_4,Roma,5852,5856,Q1747689,LOC,exact,
p32_4,Celso,2471,2476,Q312420,PER,exact,
p32_4,Celso,5388,5393,Q312420,PER,exact,
p2624_2,Patav.,150,156,Q617,LOC,exact,
p1932_2,francia,656,663,Q142,LOC,exact,
p1021_2,italia,109,115,Q38,LOC,exact,
p1021_2,italia,395,401,Q38,LOC,exact,
p1021_2,francia,121,128,Q142,LOC,exact,
p3247_1,Staël nell'Alemagna,4019,4038,Q123041,PER,partial,Anne Louise Germaine de Staël
p993_1,grecia,146,152,Q11772,LOC,exact,
p993_1,grecia,870,876,Q11772,LOC,exact,
p993_1,grecia,2134,2140,Q11772,LOC,exact,
p993_1,grecia,2442,2448,Q11772,LOC,exact,
p993_1,inghilterra,1446,1457,Q21,LOC,exact,
p993_1,roma,2064,2068,Q1747689,LOC,exact,
p993_1,italia,2073,2079,Q38,LOC,exact,
p993_1,india,3862,3867,Q668,LOC,exact,
p993_1,Costantino,2850,2860,Q8413,PER,exact,
p4036_4,Nardi,50,55,Q352569,PER,partial,Jacopo Nardi
p4246_1,Ven.,299,303,Q641,LOC,exact,
p3964_3,italia,1028,1034,Q38,LOC,exact,
p3964_3,italia,1837,1843,Q38,LOC,exact,
p3964_3,italia,1960,1966,Q38,LOC,exact,
