id,start_pos,end_pos,surface,type,score
p4103_5,62,70,Friburgo,LOC,0.9947428
p4103_5,138,139,G,LOC,0.6169991
p57_1,517,523,Ovidio,PER,0.98695105
p57_1,662,667,Dante,PER,0.9943903
p480_1,405,412,Heinsio,PER,0.9373427
p480_1,415,417,Ve,PER,0.82005185
p480_1,420,422,##io,PER,0.52183247
p480_1,460,470,Forcellini,PER,0.5999847
p983_3,46,70,Paolino da S. Bartolomeo,PER,0.9198567
p983_3,333,338,Indie,LOC,0.94711477
p109_1,0,2,Ba,PER,0.57891923
p109_1,67,73,Orazio,PER,0.9106915
p109_1,593,595,Bu,PER,0.4985861
p109_1,615,623,Frontone,PER,0.8443626
p109_1,650,658,Cellario,PER,0.9017618
p109_1,665,672,Manuzio,PER,0.903335
p501_1,176,188,Crate Cinico,PER,0.8697138
p501_1,199,206,Laerzio,LOC,0.82084316
p501_1,219,220,C,PER,0.6336933
p501_1,230,234,##bano,PER,0.33634225
p501_1,308,314,Stobeo,PER,0.9788583
p501_1,321,326,Suida,PER,0.9832673
p501_1,334,341,Menagio,PER,0.9144549
p501_1,346,358,Aldobrandini,PER,0.95457083
p2522_1,340,345,Tasso,PER,0.8686056
p2522_1,519,527,Petrarca,PER,0.9701232
p2522_1,578,592,Virgilio Mille,PER,0.99497104
p996_1,311,319,Virgilio,PER,0.995986
p996_1,324,326,Ci,PER,0.89499754
p996_1,1458,1465,Gemisto,PER,0.78047436
p88_1,143,150,Corinna,PER,0.977204
p88_1,329,336,Corinna,PER,0.97731894
p1965_1,175,186,Inghilterra,LOC,0.9994709
p1965_1,205,216,Lady Morgan,PER,0.8836427
p1965_1,218,224,France,LOC,0.9370139
p1965_1,253,260,Langage,PER,0.63099
p4234_2,165,174,V. Maffei,PER,0.88526964
p4234_2,227,232,Rubbi,LOC,0.8667939
p121_2,30,41,Montesquieu,PER,0.994721
p4201_1,27,37,Anguillara,PER,0.6621397
p4201_1,62,69,Bologna,LOC,0.9914908
p3988_2,35,37,Di,PER,0.30495042
p3988_2,67,73,Weller,PER,0.7517407
p3988_2,215,220,Force,PER,0.55631626
p3988_2,227,229,Di,PER,0.31743264
p3988_2,272,275,For,PER,0.51602346
p3988_2,281,283,Di,PER,0.30398458
p4329_1,125,131,Italia,LOC,0.9997751
p4329_1,834,841,Firenze,LOC,0.99655104
p4329_1,861,862,S,LOC,0.35381868
p4329_1,864,871,Lorenzo,LOC,0.3480447
p2923_3,152,162,Corticelli,PER,0.97977257
p2923_3,404,412,Cicerone,PER,0.9621085
