par_id,surface,start,end,wikidata,type,match,pattern
p3400_1,Ossian,659,665,Q15837802,PER,exact,
p3400_1,Shakespeare,681,692,Q692,PER,exact,
p3400_1,Anna,363,367,Q119702,PER,partial,Anna di Gran Bretagna
p3400_1,Staël,1064,1069,Q123041,PER,partial,Anne Louise Germaine de Staël
p4226_1,Venet.,196,202,Q641,LOC,exact,
p4226_1,Teletis,35,42,Q2367894,PER,levenshtein,Telete
p4030_5,Francia,138,145,Q142,LOC,exact,
p24_3,Eacide,1215,1221,Q403377,PER,exact,
p24_3,Orazio,96,102,Q6197,PER,exact,
p24_3,Orazio,1335,1341,Q6197,PER,exact,
p24_3,Orazio,1649,1655,Q6197,PER,exact,
p24_3,Pindaro,585,592,Q134929,PER,exact,
p24_3,Pindaro,1325,1332,Q134929,PER,exact,
p24_3,Pindarica,133,142,Q134929,PER,levenshtein,Pindaro
p1061_3,Gesù Cristo,87,98,Q302,PER,exact,
p4119_9,Venezia,582,589,Q641,LOC,exact,
p318_1,Rousseau,165,173,Q6527,PER,partial,Jean-Jacques Rousseau
p318_1,Staël,178,183,Q123041,PER,partial,Anne Louise Germaine de Staël
p323_1,Staël,486,491,Q123041,PER,partial,Anne Louise Germaine de Staël
p4241_3,Galileo,1306,1313,Q307,PER,exact,
p4241_3,Galilei,102,109,Q307,PER,exact,
p4241_3,Quintiliano,1257,1268,Q193769,PER,exact,
p4241_3,Alfieri,1131,1138,Q296244,PER,partial,Vittorio Amedeo Alfieri
p3486_2,Atene,108,113,Q844930,LOC,exact,
p3486_2,Maria,1259,1264,Q345,PER,exact,
p3486_2,Menandro,577,585,Q118992,PER,exact,
p3486_2,Terenzio,554,562,Q172048,PER,exact,
p3486_2,Luciano,997,1004,Q177847,PER,partial,Luciano di Samosata
p1655_2,Cartesio,477,485,Q9191,PER,exact,
p1655_2,Dutens,493,499,Q947504,PER,partial,Louis Dutens
p4248_5,Lattanz,42,49,Q209102,PER,levenshtein,Lattanzio
p2028_1,V. Staël De l'Allemagne,73,96,Q123041,PER,partial,Anne Louise Germaine de Staël
p32_4,Celso,18,23,Q312420,PER,exact,
p32_4,Celso,491,496,Q312420,PER,exact,
p32_4,Celso,656,661,Q312420,PER,exact,
p1980_1,Celso,396,401,Q312420,PER,exact,
p3687_1,Dante,403,408,Q1067,PER,exact,
p1054_2,Forcellini,328,338,Q550353,PER,partial,Egidio Forcellini
p1054_2,V. Sulzer,141,150,Q116036,PER,partial,Johann Georg Sulzer
p4259_4,Roma,73,77,Q220,LOC,exact,
p4259_4,Bartoli,36,43,Q2283604,PER,partial,Daniello Bartoli
p2709_1,Cartesio,473,481,Q9191,PER,exact,
p2709_1,Newton,484,490,Q935,PER,partial,Isacco Newton
p2709_1,Wieland,1309,1316,Q154010,PER,partial,Christoph Martin Wieland
p510_1,Floro,6,11,Q316483,PER,exact,
p595_1,Ennio,357,362,Q47130,PER,exact,
p595_1,Stazio,486,492,Q243203,PER,exact,
p595_1,Virgilio,465,473,Q1398,PER,exact,
p595_1,Forcellini,412,422,Q550353,PER,partial,Egidio Forcellini
p2624_2,Lanzi,283,288,Q972400,PER,partial,Luigi Antonio Lanzi
p2624_2,Manfrè,157,163,Q88862296,PER,partial,Giovanni Manfrè
p2156_1,S. Flaviano,1002,1013,Q509569,PER,partial,Flaviano di Costantinopoli
p120_1,Cicerone,462,470,Q1541,PER,exact,
p120_1,Montesquieu,989,1000,Q15975,PER,exact,
p1932_2,Francia,602,609,Q142,LOC,exact,
p1932_2,Francia,1187,1194,Q142,LOC,exact,
p1932_2,Francia,1493,1500,Q142,LOC,exact,
p1932_2,Cicerone,470,478,Q1541,PER,exact,
p1932_2,Orazio,734,740,Q6197,PER,exact,
p1932_2,Thomas,763,769,Q301210,PER,partial,Antoine Léonard Thomas
p4352_3,Maratona,48,56,Q212150,LOC,exact,
p4352_3,Milziade,37,45,Q210350,PER,exact,
p4352_3,Alessandro,203,213,Q8409,PER,partial,Alessandro il Conquistatore
p4352_3,Filippo,192,199,Q130650,PER,partial,Filippo II di Macedonia
p212_3,Montesquieu,313,324,Q15975,PER,exact,
p1021_2,Goldoni,582,589,Q165534,PER,exact,
p1021_2,Meli,596,600,Q1280606,PER,partial,Giovanni Meli
p4245_8,Ateneo,37,43,Q294923,PER,exact,
p683_1,Lucca,480,485,Q13373,LOC,exact,
p683_1,Francesco Bertini,491,508,Q68864056,PER,exact,
p683_1,Iacopo Nardi,440,452,Q352569,PER,exact,
p683_1,Antonio Giacomini,23,40,Q88171650,PER,partial,Antonio‏ Giacomini Tebalducci Malespini
p683_1,Antonio Giacomini,461,478,Q88171650,PER,partial,Antonio‏ Giacomini Tebalducci Malespini
p993_1,Sicilia,882,889,Q1460,LOC,exact,
p993_1,Gallie,1084,1090,Q38060,LOC,exact,
p993_1,Scozia,1459,1465,Q22,LOC,exact,
p993_1,Olanda,1470,1476,Q55,LOC,exact,
p993_1,Firenze,1488,1495,Q2044,LOC,exact,
p993_1,Allegrini,1502,1511,Q96279607,PER,partial,Pietro Allegrini
p993_1,Angiolini,1326,1335,Q3839269,PER,partial,Luigi Angiolini
p993_1,Angiolini,1539,1548,Q3839269,PER,partial,Luigi Angiolini
p2139_1,Grecia,1632,1638,Q11772,LOC,exact,
p2139_1,Lazio,1642,1647,Q1048669,LOC,exact,
p2139_1,Servio,188,194,Q355350,PER,exact,
p2139_1,Vossio,141,147,Q785925,PER,partial,Gerardo Giovanni Vossio
p4228_4,Artemidoro de somniis,61,82,Q445848,PER,partial,Artemidoro Daldiano
p4228_4,V. Tassoni,123,133,Q475477,PER,partial,Alessandro Tassoni
p4036_4,Giacomini,78,87,Q88171650,PER,partial,Antonio‏ Giacomini Tebalducci Malespini
p44_1,Demostene,204,213,Q117253,PER,exact,
p44_1,Plutarco,177,185,Q41523,PER,exact,
p44_1,Longino,217,224,Q436634,PER,partial,Cassio Dionisio Longino
p4163_9,Bologna,171,178,Q1891,LOC,exact,
p4405_1,Erodoto,190,197,Q26825,PER,exact,
p3071_1,Gellio,529,535,Q294800,PER,exact,
p4246_1,Petrarca,50,58,Q1401,PER,exact,
p4246_1,Giolito,304,311,Q1490296,PER,partial,Gabriele Giolito de' Ferrari
p4246_1,Guidiccioni,248,259,Q3767458,PER,partial,Giovanni Guidiccioni
p2698_1,Boccaccio,435,444,Q1402,PER,exact,
p2698_1,Domenico Cavalca,497,513,Q3712952,PER,exact,
p2698_1,Dante,390,395,Q1067,PER,exact,
p2698_1,Petrarca,422,430,Q1401,PER,exact,
p2698_1,Passavanti,449,459,Q3805918,PER,partial,Iacopo Passavanti
p4397_1,Achille,15,22,Q41746,PER,exact,
p4397_1,Achille,701,708,Q41746,PER,exact,
p4397_1,Omero,29,34,Q6691,PER,exact,
p4397_1,Omero,156,161,Q6691,PER,exact,
p3964_3,Ctesia,593,599,Q296325,PER,exact,
p3964_3,Dante,983,988,Q1067,PER,exact,
p3964_3,Democrito,579,588,Q41980,PER,exact,
p3964_3,Empedocle,1271,1280,Q83375,PER,exact,
p3964_3,Erodoto,674,681,Q26825,PER,exact,
p3964_3,Ippocrate,1283,1292,Q5264,PER,exact,
p3964_3,Omero,60,65,Q6691,PER,exact,
p3964_3,Omero,161,166,Q6691,PER,exact,
p3964_3,Omero,812,817,Q6691,PER,exact,
p3964_3,Omero,1367,1372,Q6691,PER,exact,
p1558_2,Monti,12,17,Q723643,PER,partial,Vincenzo Monti
p1558_2,Monti,350,355,Q723643,PER,partial,Vincenzo Monti
p4302_3,Pisa,142,146,Q13375,LOC,exact,
p2360_1,Virgilio,499,507,Q1398,PER,exact,
p2360_1,Virgilio,557,565,Q1398,PER,exact,
p2360_1,Sidonio,45,52,Q905162,PER,levenshtein,Didone
p2360_1,Sidonio,268,275,Q905162,PER,levenshtein,Didone
p983_1,Paris,207,212,Q90,LOC,exact,
p983_1,Grecia,374,380,Q11772,LOC,exact,
p983_1,Costantinopoli,467,481,Q16869,LOC,exact,
p983_1,Costantino,44,54,Q8413,PER,exact,
p983_1,Giustiniano,307,318,Q41866,PER,exact,
p983_1,S. Crisostomo,129,142,Q43706,PER,partial,San Giovanni Crisostomo
p324_1,Francia,126,133,Q142,LOC,exact,
p324_1,Fénélon,400,407,Q310002,PER,levenshtein,Fénelon
p324_1,Luigi,137,142,Q7742,PER,partial,Luigi XIV di Borbone
p324_1,Luigi,281,286,Q7742,PER,partial,Luigi XIV di Borbone
p4103_2,Luigi Gonzaga,219,232,Q310307,PER,exact,
p4428_2,Niebuhr,134,141,Q60586,PER,exact,
p473_2,Velleio,0,7,Q316098,PER,partial,Marco Velleio Patercolo
p3117_1,Enea,189,193,Q82732,PER,exact,
p3117_1,Omero,1397,1402,Q6691,PER,exact,
p3117_1,Pallante,220,228,Q2048018,PER,exact,
p3117_1,Virgilio,199,207,Q1398,PER,exact,
p57_5,Cleopatra,154,163,Q635,PER,exact,
p2138_1,Varrone,261,268,Q206119,PER,partial,Marco Terenzio Varrone
p2442_1,Plauto,102,108,Q47160,PER,exact,
p4499_6,Alberti,365,372,Q3080944,PER,partial,Francesco Alberti di Villanova
p63_4,Ciparisso,493,502,Q1056143,PER,exact,
p1812_2,Luigi,328,333,Q7742,PER,partial,Luigi XIV di Borbone
p2329_1,Lazio,1438,1443,Q1048669,LOC,exact,
p2329_1,Lazio,1659,1664,Q1048669,LOC,exact,
p2329_1,Lazio,1734,1739,Q1048669,LOC,exact,
p2329_1,Grecia,1720,1726,Q11772,LOC,exact,
p2329_1,Gaetano Marini,484,498,Q3839667,PER,exact,
p2329_1,Lanzi,525,530,Q972400,PER,partial,Luigi Antonio Lanzi
p4461_1,Nevio,364,369,Q212667,PER,exact,
p4461_1,Niebuhr,559,566,Q60586,PER,exact,
p4461_1,Hermann,495,502,Q77616,PER,partial,Johann Gottfried Jakob Hermann
p1012_1,Astruc,301,307,Q560142,PER,partial,Jean Astruc
p1789_1,Ariosto,173,180,Q48900,PER,exact,
p3134_1,Achille,1668,1675,Q41746,PER,exact,
p3134_1,Enea,1627,1631,Q82732,PER,exact,
