par_id,surface,start,end,wikidata,type,match,pattern
p2717_1,Fedro,262,267,Q554535,PER,exact,
p2717_1,Platone,271,278,Q859,PER,exact,
p2717_1,Socrate,388,395,Q913,PER,exact,
p2717_1,Fedro,398,403,Q554535,PER,exact,
p2717_1,Platone,439,446,Q859,PER,exact,
p2717_1,Lisia,505,510,Q310164,PER,exact,
p2717_1,Socrate,516,523,Q913,PER,exact,
p2717_1,Platone,589,596,Q859,PER,exact,
p2717_1,Platone,1370,1377,Q859,PER,exact,
p2793_2,Porfirio,2553,2561,Q203445,PER,exact,
p2793_2,Plotino,2604,2611,Q134189,PER,exact,
p2793_2,Coricio,131,138,Q510659,PER,partial,
p2793_2,Porphyrii,2656,2665,Q203445,PER,levenshtein,porfirio
p2739_1,Rom.,220,224,Q220,LOC,exact,
p2739_1,Ennio,34,39,Q47130,PER,exact,
p2739_1,Mai,253,256,Q304825,PER,partial,
p2740_1,Simonide,423,431,Q273003,PER,exact,
p2740_1,Claudio,470,477,Q1411,PER,exact,
p2740_1,Palamede,4198,4206,Q252387,PER,exact,
p2740_1,Simonide,4317,4325,Q273003,PER,exact,
p2740_1,Plinio,412,418,Q82778,PER,partial,
p2740_1,Plinio,4180,4186,Q82778,PER,partial,
p2759_2,Omero,57,62,Q6691,PER,exact,
p2759_2,Virgilio,76,84,Q1398,PER,exact,
p2759_2,Achille,487,494,Q41746,PER,exact,
p2759_2,Enea,508,512,Q82732,PER,exact,
p2759_2,Eneide,540,546,Q60220,PER,exact,
p2759_2,Enea,564,568,Q82732,PER,exact,
p2759_2,Magone,583,589,Q60220,PER,exact,
p2759_2,Pallante,734,742,Q2048018,PER,exact,
p2759_2,Rutuli,765,771,Q579014,PER,exact,
p2759_2,Omero,972,977,Q6691,PER,exact,
p2759_2,Menelao,998,1005,Q171839,PER,exact,
p2759_2,Agamennone,1070,1080,Q128176,PER,exact,
p2757_1,Venet.,282,288,Q641,LOC,exact,
p2757_1,Romae,513,518,Q220,LOC,exact,
p2757_1,Cassiodoro,181,191,Q192365,PER,exact,
p2757_1,Forcellini,143,153,Q550353,PER,partial,
p2718_1,italia,1883,1889,Q38,LOC,exact,
p2718_1,Perticari,132,141,Q3769747,PER,partial,
p2718_1,Perticari,2190,2199,Q3769747,PER,partial,
p2709_1,Cartesio,473,481,Q9191,PER,exact,
p2709_1,Newton,484,490,Q935,PER,partial,
p2709_1,Wieland,1309,1316,Q154010,PER,partial,
p2786_1,Tucidide,1814,1822,Q41683,PER,exact,
p2786_1,Platone,1828,1835,Q859,PER,exact,
p2786_1,Scapula,406,413,Q3179685,PER,partial,
p2786_1,Schrevel,536,544,Q377100,PER,partial,
p2786_1,Visconti,744,752,Q691834,PER,partial,
p2786_1,Visconti,1363,1371,Q691834,PER,partial,
p2786_1,Visconti,2057,2065,Q691834,PER,partial,
p2786_1,Scapula,2187,2194,Q3179685,PER,partial,
