surface,_id,par_id
Tiraboschi,https://digitalzibaldone.net/node/Q978614,https://digitalzibaldone.net/node/p2700_1
Perticari,https://digitalzibaldone.net/node/Q3769747,https://digitalzibaldone.net/node/p2700_1
Richelet,https://digitalzibaldone.net/node/Q1236889,https://digitalzibaldone.net/node/p2703_1
Perticari,https://digitalzibaldone.net/node/Q3769747,https://digitalzibaldone.net/node/p2705_1
Perticari,https://digitalzibaldone.net/node/Q3769747,https://digitalzibaldone.net/node/p2705_2
Perticari,https://digitalzibaldone.net/node/Q3769747,https://digitalzibaldone.net/node/p2705_3
Monti,https://digitalzibaldone.net/node/Q723643,https://digitalzibaldone.net/node/p2705_3
Locke,https://digitalzibaldone.net/node/Q9353,https://digitalzibaldone.net/node/p2705_3
Cartesio,https://digitalzibaldone.net/node/Q9191,https://digitalzibaldone.net/node/p2708_1
Cartesio,https://digitalzibaldone.net/node/Q9191,https://digitalzibaldone.net/node/p2708_1
Newton,https://digitalzibaldone.net/node/Q935,https://digitalzibaldone.net/node/p2708_1
Platone,https://digitalzibaldone.net/node/Q859,https://digitalzibaldone.net/node/p2708_1
Cartesio,https://digitalzibaldone.net/node/Q9191,https://digitalzibaldone.net/node/p2709_1
Newton,https://digitalzibaldone.net/node/Q935,https://digitalzibaldone.net/node/p2709_1
Wieland,https://digitalzibaldone.net/node/Q154010,https://digitalzibaldone.net/node/p2709_1
Perticari,https://digitalzibaldone.net/node/Q3769747,https://digitalzibaldone.net/node/p2715_1
Petrarca,https://digitalzibaldone.net/node/Q1401,https://digitalzibaldone.net/node/p2715_2
Boccaccio,https://digitalzibaldone.net/node/Q1402,https://digitalzibaldone.net/node/p2715_2
Perticari,https://digitalzibaldone.net/node/Q3769747,https://digitalzibaldone.net/node/p2715_2
Platone,https://digitalzibaldone.net/node/Q859,https://digitalzibaldone.net/node/p2717_1
Socrate,https://digitalzibaldone.net/node/Q913,https://digitalzibaldone.net/node/p2717_1
Fedro,https://digitalzibaldone.net/node/Q554535,https://digitalzibaldone.net/node/p2717_1
Platone,https://digitalzibaldone.net/node/Q859,https://digitalzibaldone.net/node/p2717_1
Lisia,https://digitalzibaldone.net/node/Q310164,https://digitalzibaldone.net/node/p2717_1
Socrate,https://digitalzibaldone.net/node/Q913,https://digitalzibaldone.net/node/p2717_1
Platone,https://digitalzibaldone.net/node/Q859,https://digitalzibaldone.net/node/p2717_1
Platone,https://digitalzibaldone.net/node/Q859,https://digitalzibaldone.net/node/p2717_1
Perticari,https://digitalzibaldone.net/node/Q3769747,https://digitalzibaldone.net/node/p2718_1
Perticari,https://digitalzibaldone.net/node/Q3769747,https://digitalzibaldone.net/node/p2718_1
Gelli,https://digitalzibaldone.net/node/Q518160,https://digitalzibaldone.net/node/p2721_1
Perticari,https://digitalzibaldone.net/node/Q3769747,https://digitalzibaldone.net/node/p2721_1
Perticari,https://digitalzibaldone.net/node/Q3769747,https://digitalzibaldone.net/node/p2721_2
Aristotele,https://digitalzibaldone.net/node/Q868,https://digitalzibaldone.net/node/p2721_3
Perticari,https://digitalzibaldone.net/node/Q3769747,https://digitalzibaldone.net/node/p2721_3
Cicerone,https://digitalzibaldone.net/node/Q1541,https://digitalzibaldone.net/node/p2721_4
Orazio,https://digitalzibaldone.net/node/Q6197,https://digitalzibaldone.net/node/p2722_1
Abate Colombo,https://digitalzibaldone.net/node/Q19357820,https://digitalzibaldone.net/node/p2722_1
Abate Colombo,https://digitalzibaldone.net/node/Q19357820,https://digitalzibaldone.net/node/p2722_1
Giuseppe Paganino,https://digitalzibaldone.net/node/viaf304943320,https://digitalzibaldone.net/node/p2722_1
Bembo,https://digitalzibaldone.net/node/Q334188,https://digitalzibaldone.net/node/p2723_1
Petrarca,https://digitalzibaldone.net/node/Q1401,https://digitalzibaldone.net/node/p2723_1
Boccaccio,https://digitalzibaldone.net/node/Q1402,https://digitalzibaldone.net/node/p2723_1
Cicerone,https://digitalzibaldone.net/node/Q1541,https://digitalzibaldone.net/node/p2723_1
Orazio,https://digitalzibaldone.net/node/Q6197,https://digitalzibaldone.net/node/p2723_1
Cicerone,https://digitalzibaldone.net/node/Q1541,https://digitalzibaldone.net/node/p2727_1
Platone,https://digitalzibaldone.net/node/Q859,https://digitalzibaldone.net/node/p2728_1
Aristotele,https://digitalzibaldone.net/node/Q868,https://digitalzibaldone.net/node/p2728_1
Teofrasto,https://digitalzibaldone.net/node/Q160362,https://digitalzibaldone.net/node/p2728_1
Celso,https://digitalzibaldone.net/node/Q312420,https://digitalzibaldone.net/node/p2728_1
Ippocrate,https://digitalzibaldone.net/node/Q5264,https://digitalzibaldone.net/node/p2728_1
Celso,https://digitalzibaldone.net/node/Q312420,https://digitalzibaldone.net/node/p2728_1
Plinio,https://digitalzibaldone.net/node/Q82778,https://digitalzibaldone.net/node/p2728_1
Mela,https://digitalzibaldone.net/node/Q297515,https://digitalzibaldone.net/node/p2728_1
Solino,https://digitalzibaldone.net/node/Q520487,https://digitalzibaldone.net/node/p2728_1
Varrone,https://digitalzibaldone.net/node/Q206119,https://digitalzibaldone.net/node/p2728_1
Vegezio,https://digitalzibaldone.net/node/Q4298,https://digitalzibaldone.net/node/p2728_1
Columella,https://digitalzibaldone.net/node/Q318317,https://digitalzibaldone.net/node/p2728_1
Galileo,https://digitalzibaldone.net/node/Q307,https://digitalzibaldone.net/node/p2728_1
Giordani,https://digitalzibaldone.net/node/Q1092339,https://digitalzibaldone.net/node/p2728_1
Buffon,https://digitalzibaldone.net/node/Q229264,https://digitalzibaldone.net/node/p2728_1
Bailly,https://digitalzibaldone.net/node/Q1685301,https://digitalzibaldone.net/node/p2728_1
Buffon,https://digitalzibaldone.net/node/Q229264,https://digitalzibaldone.net/node/p2728_1
Buffon,https://digitalzibaldone.net/node/Q229264,https://digitalzibaldone.net/node/p2728_1
Speroni,https://digitalzibaldone.net/node/Q352663,https://digitalzibaldone.net/node/p2731_1
Buffon,https://digitalzibaldone.net/node/Q229264,https://digitalzibaldone.net/node/p2731_1
Tacito,https://digitalzibaldone.net/node/Q2161,https://digitalzibaldone.net/node/p2731_2
Vespasiano,https://digitalzibaldone.net/node/Q1419,https://digitalzibaldone.net/node/p2731_2
Appiano,https://digitalzibaldone.net/node/Q190368,https://digitalzibaldone.net/node/p2731_2
Dione,https://digitalzibaldone.net/node/Q185223,https://digitalzibaldone.net/node/p2731_2
Erodiano,https://digitalzibaldone.net/node/Q313056,https://digitalzibaldone.net/node/p2731_2
Procopio,https://digitalzibaldone.net/node/Q186153,https://digitalzibaldone.net/node/p2731_2
Agazia,https://digitalzibaldone.net/node/Q233136,https://digitalzibaldone.net/node/p2731_2
Zosimo,https://digitalzibaldone.net/node/Q226858,https://digitalzibaldone.net/node/p2731_2
Vespasiano,https://digitalzibaldone.net/node/Q1419,https://digitalzibaldone.net/node/p2731_2
Ammiano,https://digitalzibaldone.net/node/Q172198,https://digitalzibaldone.net/node/p2731_2
Orosio,https://digitalzibaldone.net/node/Q311456,https://digitalzibaldone.net/node/p2731_2
Erodoto,https://digitalzibaldone.net/node/Q26825,https://digitalzibaldone.net/node/p2731_2
S. Ilario,https://digitalzibaldone.net/node/Q44344,https://digitalzibaldone.net/node/p2734_1
S. Ilario,https://digitalzibaldone.net/node/Q44344,https://digitalzibaldone.net/node/p2734_1
Maffei,https://digitalzibaldone.net/node/Q1587432,https://digitalzibaldone.net/node/p2734_1
S. Atanas.,https://digitalzibaldone.net/node/Q44024,https://digitalzibaldone.net/node/p2734_1
Africano,https://digitalzibaldone.net/node/Q317014,https://digitalzibaldone.net/node/p2734_1
Eusebio,https://digitalzibaldone.net/node/Q142999,https://digitalzibaldone.net/node/p2734_1
Prospero,https://digitalzibaldone.net/node/Q454652,https://digitalzibaldone.net/node/p2734_1
Isidoro,https://digitalzibaldone.net/node/Q166876,https://digitalzibaldone.net/node/p2734_1
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p2734_1
Menandro,https://digitalzibaldone.net/node/Q118992,https://digitalzibaldone.net/node/p2734_1
Samuele Aniese,https://digitalzibaldone.net/node/Q3036364,https://digitalzibaldone.net/node/p2734_1
Cic.,https://digitalzibaldone.net/node/Q1541,https://digitalzibaldone.net/node/p2735_1
Cicerone,https://digitalzibaldone.net/node/Q1541,https://digitalzibaldone.net/node/p2735_1
Chateaubriand,https://digitalzibaldone.net/node/Q49767,https://digitalzibaldone.net/node/p2738_1
Chateaubriand,https://digitalzibaldone.net/node/Q49767,https://digitalzibaldone.net/node/p2738_1
Ennio,https://digitalzibaldone.net/node/Q47130,https://digitalzibaldone.net/node/p2739_1
Cic.,https://digitalzibaldone.net/node/Q1541,https://digitalzibaldone.net/node/p2739_1
Mai,https://digitalzibaldone.net/node/Q304825,https://digitalzibaldone.net/node/p2739_1
Plinio,https://digitalzibaldone.net/node/Q82778,https://digitalzibaldone.net/node/p2740_1
Simonide,https://digitalzibaldone.net/node/Q273003,https://digitalzibaldone.net/node/p2740_1
Imperatore Claudio,https://digitalzibaldone.net/node/Q1411,https://digitalzibaldone.net/node/p2740_1
Plinio,https://digitalzibaldone.net/node/Q82778,https://digitalzibaldone.net/node/p2740_1
Palamede,https://digitalzibaldone.net/node/Q252387,https://digitalzibaldone.net/node/p2740_1
Simonide,https://digitalzibaldone.net/node/Q273003,https://digitalzibaldone.net/node/p2740_1
Cassiodoro,https://digitalzibaldone.net/node/Q192365,https://digitalzibaldone.net/node/p2757_1
Cassiod.,https://digitalzibaldone.net/node/Q192365,https://digitalzibaldone.net/node/p2757_1
Bartoli,https://digitalzibaldone.net/node/Q2283604,https://digitalzibaldone.net/node/p2757_2
Virgilio,https://digitalzibaldone.net/node/Q1398,https://digitalzibaldone.net/node/p2757_2
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p2759_2
Virgilio,https://digitalzibaldone.net/node/Q1398,https://digitalzibaldone.net/node/p2759_2
Achille,https://digitalzibaldone.net/node/Q41746,https://digitalzibaldone.net/node/p2759_2
Enea,https://digitalzibaldone.net/node/Q82732,https://digitalzibaldone.net/node/p2759_2
Enea,https://digitalzibaldone.net/node/Q82732,https://digitalzibaldone.net/node/p2759_2
Magone,https://digitalzibaldone.net/node/person020,https://digitalzibaldone.net/node/p2759_2
Pallante,https://digitalzibaldone.net/node/Q2048018,https://digitalzibaldone.net/node/p2759_2
Rutuli,https://digitalzibaldone.net/node/Q579014,https://digitalzibaldone.net/node/p2759_2
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p2759_2
Menelao,https://digitalzibaldone.net/node/Q171839,https://digitalzibaldone.net/node/p2759_2
Agamennone,https://digitalzibaldone.net/node/Q128176,https://digitalzibaldone.net/node/p2759_2
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p2761_1
Virgilio,https://digitalzibaldone.net/node/Q1398,https://digitalzibaldone.net/node/p2761_1
Enea,https://digitalzibaldone.net/node/Q82732,https://digitalzibaldone.net/node/p2761_1
Virgilio,https://digitalzibaldone.net/node/Q1398,https://digitalzibaldone.net/node/p2761_1
Enea,https://digitalzibaldone.net/node/Q82732,https://digitalzibaldone.net/node/p2761_1
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p2761_1
Virgilio,https://digitalzibaldone.net/node/Q1398,https://digitalzibaldone.net/node/p2761_1
Enea,https://digitalzibaldone.net/node/Q82732,https://digitalzibaldone.net/node/p2761_1
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p2761_1
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p2762_1
Virgilio,https://digitalzibaldone.net/node/Q1398,https://digitalzibaldone.net/node/p2762_1
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p2762_1
Enea,https://digitalzibaldone.net/node/Q82732,https://digitalzibaldone.net/node/p2762_1
Enea,https://digitalzibaldone.net/node/Q82732,https://digitalzibaldone.net/node/p2762_1
Enea,https://digitalzibaldone.net/node/Q82732,https://digitalzibaldone.net/node/p2762_1
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p2762_1
Enea,https://digitalzibaldone.net/node/Q82732,https://digitalzibaldone.net/node/p2762_1
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p2762_1
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p2762_1
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p2762_1
Virgilio,https://digitalzibaldone.net/node/Q1398,https://digitalzibaldone.net/node/p2762_1
Enea,https://digitalzibaldone.net/node/Q82732,https://digitalzibaldone.net/node/p2762_1
Didone,https://digitalzibaldone.net/node/Q905162,https://digitalzibaldone.net/node/p2762_1
Chateaubriand,https://digitalzibaldone.net/node/Q49767,https://digitalzibaldone.net/node/p2762_1
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p2762_1
Luciano,https://digitalzibaldone.net/node/Q177847,https://digitalzibaldone.net/node/p2762_1
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p2765_1
Omero,https://digitalzibaldone.net/node/Q6691,https://digitalzibaldone.net/node/p2767_1
Priamo,https://digitalzibaldone.net/node/Q170473,https://digitalzibaldone.net/node/p2767_1
Achille,https://digitalzibaldone.net/node/Q41746,https://digitalzibaldone.net/node/p2767_1
Achille,https://digitalzibaldone.net/node/Q41746,https://digitalzibaldone.net/node/p2767_1
Priamo,https://digitalzibaldone.net/node/Q170473,https://digitalzibaldone.net/node/p2767_1
Priamo,https://digitalzibaldone.net/node/Q170473,https://digitalzibaldone.net/node/p2767_1
Patroclo,https://digitalzibaldone.net/node/Q186271,https://digitalzibaldone.net/node/p2767_1
Priamo,https://digitalzibaldone.net/node/Q170473,https://digitalzibaldone.net/node/p2767_1
Giove,https://digitalzibaldone.net/node/Q4649,https://digitalzibaldone.net/node/p2767_1
Teti,https://digitalzibaldone.net/node/Q184437,https://digitalzibaldone.net/node/p2767_1
Achille,https://digitalzibaldone.net/node/Q41746,https://digitalzibaldone.net/node/p2767_1
