surface,_id,par_id
Italia,https://www.wikidata.org/wiki/Q38,https://digitalzibaldone.net/node/p2705_1
California,https://www.wikidata.org/wiki/Q99,https://digitalzibaldone.net/node/p2711_1
italia,https://www.wikidata.org/wiki/Q38,https://digitalzibaldone.net/node/p2718_1
Parma,https://www.wikidata.org/wiki/Q2683,https://digitalzibaldone.net/node/p2722_1
Ven.,https://www.wikidata.org/wiki/Q641,https://digitalzibaldone.net/node/p2731_1
Constantinopoli,https://www.wikidata.org/wiki/Q16869,https://digitalzibaldone.net/node/p2731_2
impero,https://www.wikidata.org/wiki/Q2277,https://digitalzibaldone.net/node/p2731_2
grecia,https://www.wikidata.org/wiki/Q11772,https://digitalzibaldone.net/node/p2731_2
grecia,https://www.wikidata.org/wiki/Q11772,https://digitalzibaldone.net/node/p2731_2
Pad.,https://www.wikidata.org/wiki/Q617,https://digitalzibaldone.net/node/p2734_1
Europa latina,https://www.wikidata.org/wiki/Q1064023,https://digitalzibaldone.net/node/p2734_1
Italia,https://www.wikidata.org/wiki/Q38,https://digitalzibaldone.net/node/p2734_1
Oriente,https://www.wikidata.org/wiki/Q205653,https://digitalzibaldone.net/node/p2734_1
Oriente,https://www.wikidata.org/wiki/Q205653,https://digitalzibaldone.net/node/p2734_1
grecia,https://www.wikidata.org/wiki/Q11772,https://digitalzibaldone.net/node/p2734_1
impero latino,https://www.wikidata.org/wiki/Q2277,https://digitalzibaldone.net/node/p2735_1
Rom.,https://www.wikidata.org/wiki/Q220,https://digitalzibaldone.net/node/p2739_1
China,https://www.wikidata.org/wiki/Q29520,https://digitalzibaldone.net/node/p2747_1
Venet.,https://www.wikidata.org/wiki/Q641,https://digitalzibaldone.net/node/p2757_1
Romae,https://www.wikidata.org/wiki/Q220,https://digitalzibaldone.net/node/p2757_1
Pad.,https://www.wikidata.org/wiki/Q617,https://digitalzibaldone.net/node/p2779_2
grecia,https://www.wikidata.org/wiki/Q11772,https://digitalzibaldone.net/node/p2781_1
italia,https://www.wikidata.org/wiki/Q38,https://digitalzibaldone.net/node/p2782_1
francia,https://www.wikidata.org/wiki/Q142,https://digitalzibaldone.net/node/p2782_1
italia,https://www.wikidata.org/wiki/Q38,https://digitalzibaldone.net/node/p2782_1
italia,https://www.wikidata.org/wiki/Q38,https://digitalzibaldone.net/node/p2782_1
francia,https://www.wikidata.org/wiki/Q142,https://digitalzibaldone.net/node/p2783_1
Amstel.,https://www.wikidata.org/wiki/Q727,https://digitalzibaldone.net/node/p2792_1
Tebe,https://www.wikidata.org/wiki/Q11225429,https://digitalzibaldone.net/node/p2804_1
Marca,https://www.wikidata.org/wiki/Q1279,https://digitalzibaldone.net/node/p2809_1
Torino,https://www.wikidata.org/wiki/Q495,https://digitalzibaldone.net/node/p2809_1
Venez.,https://www.wikidata.org/wiki/Q641,https://digitalzibaldone.net/node/p2809_1
Venez.,https://www.wikidata.org/wiki/Q641,https://digitalzibaldone.net/node/p2809_1
Ven.,https://www.wikidata.org/wiki/Q641,https://digitalzibaldone.net/node/p2809_1
Patav.,https://www.wikidata.org/wiki/Q617,https://digitalzibaldone.net/node/p2825_1
Francia,https://www.wikidata.org/wiki/Q142,https://digitalzibaldone.net/node/p2869_1
Provenza,https://www.wikidata.org/wiki/Q101081,https://digitalzibaldone.net/node/p2869_1
Francia,https://www.wikidata.org/wiki/Q142,https://digitalzibaldone.net/node/p2869_1
inghilterra,https://www.wikidata.org/wiki/Q21,https://digitalzibaldone.net/node/p2875_1
Germania,https://www.wikidata.org/wiki/Q183,https://digitalzibaldone.net/node/p2875_1
Rom.,https://www.wikidata.org/wiki/Q220,https://digitalzibaldone.net/node/p2876_2
Italia,https://www.wikidata.org/wiki/Q38,https://digitalzibaldone.net/node/p2879_2
italia,https://www.wikidata.org/wiki/Q38,https://digitalzibaldone.net/node/p2879_2
Milano,https://www.wikidata.org/wiki/Q490,https://digitalzibaldone.net/node/p2881_1
Argo,https://www.wikidata.org/wiki/Q189901,https://digitalzibaldone.net/node/p2881_1
Italia,https://www.wikidata.org/wiki/Q38,https://digitalzibaldone.net/node/p2881_1
Sicilia,https://www.wikidata.org/wiki/Q1460,https://digitalzibaldone.net/node/p2881_1
Ispagna,https://www.wikidata.org/wiki/Q29,https://digitalzibaldone.net/node/p2882_1
Parma,https://www.wikidata.org/wiki/Q2683,https://digitalzibaldone.net/node/p2884_1
Venez.,https://www.wikidata.org/wiki/Q641,https://digitalzibaldone.net/node/p2884_1
impero,https://www.wikidata.org/wiki/Q2277,https://digitalzibaldone.net/node/p2891_1
Francia,https://www.wikidata.org/wiki/Q142,https://digitalzibaldone.net/node/p2910_1
Francia,https://www.wikidata.org/wiki/Q142,https://digitalzibaldone.net/node/p2914_1
Lips.,https://www.wikidata.org/wiki/Q2079,https://digitalzibaldone.net/node/p2919_2
Attica,https://www.wikidata.org/wiki/Q122443,https://digitalzibaldone.net/node/p2923_3
italia,https://www.wikidata.org/wiki/Q38,https://digitalzibaldone.net/node/p2934_1
veneziano,https://www.wikidata.org/wiki/Q641,https://digitalzibaldone.net/node/p2934_1
Cremona,https://www.wikidata.org/wiki/Q6231,https://digitalzibaldone.net/node/p2977_1
Paris,https://www.wikidata.org/wiki/Q90,https://digitalzibaldone.net/node/p2977_1
Lips.,https://www.wikidata.org/wiki/Q2079,https://digitalzibaldone.net/node/p2995_2
