surface,wd_id,par_id
Napoli,Q2634,p4317_1
Troie,Q22647,p4317_1
Ionie,Q620874,p4317_1
Lips.,Q2079,p4464_1
Milano,Q490,p1109_2
Ven.,Q641,p3979_1
Venezia,Q641,p4020_2
Londra,Q84,p4020_2
Veientium,Q677935,p489_2
Veientium,Q677935,p489_2
Veii,Q677935,p489_2
Milano,Q490,p2881_1
Argo,Q189901,p2881_1
Italia,Q38,p2881_1
Sicilia,Q1460,p2881_1
Graecia,Q11772,p4345_1
Chio,Q160483,p4345_1
Syracusas,Q13670,p4345_1
Grecia,Q11772,p4345_1
grecia,Q11772,p4345_1
Asia,Q48,p4345_1
Gallia,Q38060,p4345_1
Recanati,Q83362,p4282_5
Rom.,Q220,p2739_1
Parigi,Q90,p101_1
Tracia,Q41741,p4225_2
Etolia,Q26857,p4225_2
Misia,Q622319,p4225_2
India,Q668,p4225_2
Bologna,Q1891,p4225_2
Termopile,Q194450,p2421_2
America,Q828,p3957_1
Messico,Q96,p3957_1
America,Q828,p3957_1
Perù,Q419,p3957_1
America,Q828,p3957_1
Cremona,Q6231,p3957_1
Messico,Q96,p3957_1
Bologna,Q1891,p4177_7
Bologna,Q1891,p4157_3
Bologna,Q1891,p4161_3
europa,Q46,p3400_1
europa,Q46,p4342_1
Asiae,Q48,p4342_1
europa,Q46,p4342_1
Asia,Q48,p4342_1
isola di Philae,Q245062,p4342_1
Égypte,Q11768,p4342_1
Affrica,Q15,p4342_1
Asia,Q48,p4342_1
europa,Q46,p4342_1
Fir.,Q2044,p4342_1
italia,Q38,p1329_1
italia,Q38,p1329_1
Basil.,Q78,p4226_1
Venet.,Q641,p4226_1
Francia,Q142,p4030_5
Milano,Q490,p4476_3
Firenze,Q2044,p4476_3
Roma,Q220,p4476_3
Italia,Q38,p4476_3
Toscana,Q1273,p24_3
Italia,Q38,p24_3
Cambrai,Q181285,p4044_6
italia,Q38,p1058_1
Italia,Q38,p4140_11
Milano,Q490,p4140_11
Venezia,Q641,p4119_9
Venezia,Q641,p1055_2
europa,Q46,p1238_2
italia,Q38,p1238_2
italia,Q38,p1238_2
Roma,Q1747689,p3344_1
italia,Q38,p3438_1
Roma,Q220,p3438_1
Graecia,Q11772,p4352_5
Germania,Q183,p4352_5
Verona,Q2028,p1084_2
Milano,Q490,p1084_2
Atene,Q844930,p3486_2
grecia,Q11772,p3486_2
Bologna,Q1891,p4146_5
Creta,Q34374,p6_1
Creta,Q34374,p6_1
Roma,Q1747689,p1911_2
Tibet,Q17269,p1911_2
Bologna,Q1891,p4146_1
Madrid,Q2807,p2387_1
america,Q828,p2387_1
Venez.,Q641,p2693_2
China,Q29520,p760_1
Venetia,Q641,p511_2
Asia,Q48,p4109_4
europa,Q46,p4109_4
Roma,Q1747689,p4109_4
Rom.,Q220,p4109_4
Lapponia,Q212640,p3643_1
Russia,Q159,p3643_1
italia,Q38,p1427_1
europa,Q46,p1427_1
Roma,Q1747689,p32_4
imperio romano,Q2277,p2120_1
Roma,Q1747689,p2120_1
Roma,Q1747689,p2120_1
Francia,Q142,p2120_1
Parigi,Q90,p2120_1
Francia,Q142,p2120_1
italia,Q38,p2120_1
Parigi,Q90,p2120_1
Francia,Q142,p2120_1
Roma,Q1747689,p2120_1
Roma,Q1747689,p2120_1
Roma,Q1747689,p2120_1
impero,Q2277,p2120_1
roma,Q1747689,p2120_1
Venet.,Q641,p2757_1
Romae,Q220,p2757_1
Bologna,Q1891,p4213_1
italia,Q38,p2608_2
Roma,Q220,p4173_6
Bologna,Q1891,p4173_6
Cremona,Q6231,p64_3
Costantinopoli,Q16869,p4382_2
Alessandria,Q87,p4382_2
italia,Q38,p58_4
Napoli,Q2634,p58_4
Ponto,Q302511,p4217_3
Eraclea,Q302511,p4217_3
Amiso,Q16330562,p4217_3
Bologna,Q1891,p4217_3
italia,Q38,p2718_1
Ven.,Q641,p4002_4
europa,Q46,p3579_1
Spagna,Q29,p3579_1
italia,Q38,p3579_1
Spagna,Q29,p3579_1
ispagna,Q29,p3579_1
spagna,Q29,p3579_1
spagna,Q29,p3579_1
ispagna,Q29,p3579_1
europa,Q46,p3579_1
europa,Q46,p3579_1
spagna,Q29,p3579_1
Roma,Q1747689,p331_1
Roma,Q1747689,p331_1
Roma,Q1747689,p331_1
Siena,Q2751,p2_1
Bologna,Q1891,p4211_3
îles Fœrœer,Q4628,p4339_1
îles Fœrœer,Q4628,p4339_1
îles Færœer,Q4628,p4339_1
Islande,Q189,p4339_1
Norvège,Q20,p4339_1
Danemark,Q35,p4339_1
Fœrœer,Q4628,p4339_1
Fœrœer,Q4628,p4339_1
Fœrœer,Q4628,p4339_1
Copenhague,Q1748,p4339_1
Grèce,Q11772,p2671_1
Lips.,Q2079,p4095_5
Tigur.,Q72,p4430_2
Lips.,Q2079,p4430_2
grecia,Q11772,p641_1
Roma,Q220,p4259_4
Europa latina,Q1064023,p2697_1
Bisanzio,Q23725,p2697_1
grecia,Q11772,p2697_1
italia,Q38,p2697_1
grecia,Q11772,p2697_1
italia,Q38,p2697_1
Gallie,Q38060,p2697_1
italia,Q38,p2697_1
Gallie,Q38060,p2697_1
Europa latina,Q1064023,p2697_1
Modena,Q279,p2662_2
Mil.,Q490,p4479_3
Ven.,Q641,p4243_2
Germania,Q183,p3680_1
Patav.,Q617,p2624_2
Pisa,Q13375,p4305_4
Paris,Q90,p309_1
Paris,Q90,p4483_6
grecia,Q11772,p961_1
Sicil.,Q1460,p4391_2
Magn. Gręciam,Q184313,p4391_2
Athenis,Q844930,p4391_2
Graecia,Q11772,p4391_2
Europę,Q46,p4391_2
Athen.,Q844930,p4391_2
Aegyptia,Q11768,p4391_2
Athenis,Q844930,p4391_2
Graecia,Q11772,p4391_2
Grecia,Q11772,p4391_2
Perù,Q419,p3795_2
Indie,Q668,p3795_2
Anvers,Q12892,p3795_2
Cantabrig.,Q350,p4139_12
Francia,Q142,p1932_2
francia,Q142,p1932_2
Francia,Q142,p1932_2
Francia,Q142,p1932_2
Maratona,Q212150,p4352_3
Fir.,Q2044,p4124_6
Roma,Q220,p4124_6
Roma,Q220,p4124_6
India,Q668,p334_3
Termopili,Q194450,p334_3
L'oriente,Q205653,p334_3
Cantabrig.,Q350,p3103_1
Mileto,Q169460,p3103_1
Bologna,Q1891,p3448_1
Paris,Q90,p4485_8
Torino,Q495,p4485_8
Roma,Q220,p2659_1
italia,Q38,p1021_2
francia,Q142,p1021_2
italia,Q38,p1021_2
Persia,Q83311,p264_1
