surface,_id,par_id
Apologia di Dante,viaf1849165326510516290005,https://digitalzibaldone.net/node/p2700_1
Saggio sugli errori popolari,viaf6764165271301010690009,https://digitalzibaldone.net/node/p2703_1
la Crusca,Q4015911,https://digitalzibaldone.net/node/p2703_1
la Crusca,Q4015911,https://digitalzibaldone.net/node/p2703_1
Forcellini,Q15851274,https://digitalzibaldone.net/node/p2703_1
Apologia di Dante,viaf1849165326510516290005,https://digitalzibaldone.net/node/p2705_1
Degli scrittori del 300,viaf34613848,https://digitalzibaldone.net/node/p2705_2
Trattati,viaf1849165326510516290005,https://digitalzibaldone.net/node/p2705_3
Proposta,Q42194678,https://digitalzibaldone.net/node/p2705_3
Degli Scritt. del 300,viaf34613848,https://digitalzibaldone.net/node/p2715_1
Degli Scritt. del 300,viaf34613848,https://digitalzibaldone.net/node/p2715_2
Apologia di Dante,viaf1849165326510516290005,https://digitalzibaldone.net/node/p2715_2
pp. 2630-32,seq152,https://digitalzibaldone.net/node/p2715_3
Fedro,Q555862,https://digitalzibaldone.net/node/p2717_1
Dialogo,Q555862,https://digitalzibaldone.net/node/p2717_1
Dialoghi,Q3026037,https://digitalzibaldone.net/node/p2717_1
Degli Scritt. del 300.,viaf34613848,https://digitalzibaldone.net/node/p2718_1
Degli Scritt. del Trecento,viaf34613848,https://digitalzibaldone.net/node/p2721_1
de finibus,Q1180629,https://digitalzibaldone.net/node/p2721_4
Lezioni sulle Doti di una colta favella,viaf90228090,https://digitalzibaldone.net/node/p2722_1
Lezioni,viaf90228090,https://digitalzibaldone.net/node/p2722_1
Vita del Cardinale Pallavicino,viaf4899893,https://digitalzibaldone.net/node/p2728_1
Astronomia,viaf1934165326510716290002,https://digitalzibaldone.net/node/p2728_1
Dial.i,viaf185573955,https://digitalzibaldone.net/node/p2731_1
Vite degli Augusti,Q722678,https://digitalzibaldone.net/node/p2731_2
una Dissert.,zibbibl022,https://digitalzibaldone.net/node/p2734_1
opp.,zibbibl134,https://digitalzibaldone.net/node/p2734_1
le Croniche,Q42187924,https://digitalzibaldone.net/node/p2734_1
Cronica,viaf2823954,https://digitalzibaldone.net/node/p2734_1
Orat. pro Archia poeta,Q3922215,https://digitalzibaldone.net/node/p2735_1
René,Q1097238,https://digitalzibaldone.net/node/p2738_1
de Repub.,Q656161,https://digitalzibaldone.net/node/p2739_1
la Crusca,Q4015911,https://digitalzibaldone.net/node/p2757_1
De artibus ac disciplinis liberalium litterarum.,Q3799231,https://digitalzibaldone.net/node/p2757_1
il Forcell.,Q15851274,https://digitalzibaldone.net/node/p2757_1
Il Glossario,Q1240983,https://digitalzibaldone.net/node/p2757_1
Il Torto e 'l diritto del non si può,viaf40159474182827661590,https://digitalzibaldone.net/node/p2757_2
Eneide,Q60220,https://digitalzibaldone.net/node/p2759_2
Martiri,Q3233736,https://digitalzibaldone.net/node/p2762_1
pp. 877. sgg.,seq153,https://digitalzibaldone.net/node/p2765_1
pp. 2252-55,seq154,https://digitalzibaldone.net/node/p2765_1
pp. 2639. sgg.,seq155,https://digitalzibaldone.net/node/p2771_3
Simpos.,Q278658,https://digitalzibaldone.net/node/p2771_3
pp. 2142. sgg.,seq156,https://digitalzibaldone.net/node/p2771_3
v. la pag. 3688. sqq.,seq157,https://digitalzibaldone.net/node/p2776_1
de Different. vocabulor.,viaf176524783,https://digitalzibaldone.net/node/p2778_1
epist.,viaf199730285,https://digitalzibaldone.net/node/p2778_1
pp. 2142-45,seq158,https://digitalzibaldone.net/node/p2779_2
la Gramm.,viaf39693486,https://digitalzibaldone.net/node/p2779_2
Forcellini,Q15851274,https://digitalzibaldone.net/node/p2780_1
Apologia,viaf1849165326510516290005,https://digitalzibaldone.net/node/p2783_1
pp. 2142-45,seq158,https://digitalzibaldone.net/node/p2784_1
odissea,Q35160,https://digitalzibaldone.net/node/p2786_1
teogonia,Q156498,https://digitalzibaldone.net/node/p2786_1
odissea,Q35160,https://digitalzibaldone.net/node/p2786_1
Teogonia,Q156498,https://digitalzibaldone.net/node/p2786_1
odissea,Q35160,https://digitalzibaldone.net/node/p2788_1
Odiss.,Q35160,https://digitalzibaldone.net/node/p2788_1
Iliade,Q8275,https://digitalzibaldone.net/node/p2788_1
la Crus.,Q4015911,https://digitalzibaldone.net/node/p2788_1
Teogonia,Q156498,https://digitalzibaldone.net/node/p2790_1
Iliade,Q8275,https://digitalzibaldone.net/node/p2790_1
Proposta,Q42194678,https://digitalzibaldone.net/node/p2790_1
odiss.,Q35160,https://digitalzibaldone.net/node/p2790_1
Iliade,Q8275,https://digitalzibaldone.net/node/p2790_1
odissea,Q35160,https://digitalzibaldone.net/node/p2790_1
odissea,Q35160,https://digitalzibaldone.net/node/p2791_1
odissea,Q35160,https://digitalzibaldone.net/node/p2792_1
Aen.,Q60220,https://digitalzibaldone.net/node/p2792_2
Orazione εἰς Σοῦμμον στρατηλάτην,viaf206698804,https://digitalzibaldone.net/node/p2793_2
B. G.,Q20552068,https://digitalzibaldone.net/node/p2793_2
Vita di Plotino,Q19239197,https://digitalzibaldone.net/node/p2793_2
de Vita et scriptis Porphyrii,viaf315674872,https://digitalzibaldone.net/node/p2793_2
pp. 1475-76,seq160,https://digitalzibaldone.net/node/p2795_1
Oratio funebris,viaf293823129,https://digitalzibaldone.net/node/p2796_1
B. G.,Q20552068,https://digitalzibaldone.net/node/p2796_1
libri,viaf37165272511710690008,https://digitalzibaldone.net/node/p2799_1
B. G.,Q20552068,https://digitalzibaldone.net/node/p2799_1
Codice Cizense,viaf199741195,https://digitalzibaldone.net/node/p2799_1
Viaggio d'Anacarsi,Q4010942,https://digitalzibaldone.net/node/p2804_1
art. poet.,Q677997,https://digitalzibaldone.net/node/p2804_1
Crusca,Q4015911,https://digitalzibaldone.net/node/p2809_1
lettera,viaf24159474312527662470,https://digitalzibaldone.net/node/p2809_1
Prose,zibbibl075,https://digitalzibaldone.net/node/p2809_1
Lettere di diversi eccellentissimi huomini,viaf2514434,https://digitalzibaldone.net/node/p2809_1
Lettere volgari di diversi nobilissimi huomini et eccellentissimi ingegni,viaf15159474314527662500,https://digitalzibaldone.net/node/p2809_1
Crusca,Q4015911,https://digitalzibaldone.net/node/p2809_1
Lettere di XIII Huomini illustri,viaf37059067,https://digitalzibaldone.net/node/p2809_1
il Magnifico,viaf8504161575650204730009,https://digitalzibaldone.net/node/p2809_1
᾽Aττικιστῇ,viaf7983159521647933070006,https://digitalzibaldone.net/node/p2811_2
B. G.,Q20552068,https://digitalzibaldone.net/node/p2811_2
pp. 1277-83,seq161,https://digitalzibaldone.net/node/p2811_3
pp. 1104. sgg.,seq162,https://digitalzibaldone.net/node/p2813_1
Aen.,Q60220,https://digitalzibaldone.net/node/p2813_1
Eneide,Q60220,https://digitalzibaldone.net/node/p2815_1
Georg.,Q674439,https://digitalzibaldone.net/node/p2815_1
Forcellini,Q15851274,https://digitalzibaldone.net/node/p2819_2
Forcell.,Q15851274,https://digitalzibaldone.net/node/p2819_2
il Glossar.,Q1240983,https://digitalzibaldone.net/node/p2819_2
pp. 1112-15,seq163,https://digitalzibaldone.net/node/p2820_2
Forcellini,Q15851274,https://digitalzibaldone.net/node/p2820_2
Forcellini,Q15851274,https://digitalzibaldone.net/node/p2820_3
Forcellini,Q15851274,https://digitalzibaldone.net/node/p2821_1
Apolog. di Dante,viaf1849165326510516290005,https://digitalzibaldone.net/node/p2823_1
De luminaribus Ecclesiae,Q119748603,https://digitalzibaldone.net/node/p2825_1
De Scriptoribus Ecclesiasticis,Q42187344,https://digitalzibaldone.net/node/p2825_1
Amoenitatum Philologicarum,viaf69681040,https://digitalzibaldone.net/node/p2825_1
memoriarum,Q42192848,https://digitalzibaldone.net/node/p2825_1
Bibl. lat. med. et inf. aetat.,Q42187344,https://digitalzibaldone.net/node/p2825_1
